predicted;measured
1782,3810825163391;1782,65
150,011794117647;152,047
361,0508692810458;359,218
132,42585130718948;132,929
247,86594117647053;249,496
316,83051715686264;322,768
242,54460130718957;241,005
192,53055392156855;197,181
197,68917156862744;201,242
418,5990980392156;416,829
140,04167892156855;139,437
343,1386339869281;342,111
265,1846053921568;264,819
2113,406953839869;2189,31
521,3914575163398;516,47
3466,9002626633983;3594,93
176,24816013071893;175,453
286,78003513071906;285,219
339,4194705882353;338,395
249,69994117647053;247,78
103,79782924836593;107,813
2470,9393913398685;2469,61
275,9344558823528;273,61
1774,8675163398698;1771,75
3128,8477001633987;3123,51
264,38741176470575;263,11
199,15208333333328;199,575
163,05181045751635;168,738
1787,166045751634;1787,08
341,3046339869281;346,022
1091,5810457516345;1090,99
316,0564575163399;315,293
494,3092810457516;493,759
223,06776470588227;225,245
104,57362336601294;106,113
214,27924836601306;213,575
168,92387009803912;173,899
377,63112745098033;376,741
298,14422222222225;296,932
210,40739215686267;210,115
1773,0335163398697;1839,8
476,3970457516339;472,824
116,17149509803914;110,421
241,5779215686274;241,655
148,60249468954243;148,221
314,62129411764704;314,243
258,7212446895426;258,533
242,62066176470557;241,138
224,90176470588227;223,301
251,23152941176454;249,992
2130,565953839869;2132,19
3484,0592626633984;3478,32
192,92652941176456;193,01
4141,4806964869285;4142,1
103,588;103,588
201,31514705882347;199,991
238,1613553921569;242,595
1447,0360457516344;1443,09
289,3478333333333;288,13
2457,780611928103;2549,32
320,7936936274509;321,204
296,31022222222225;302,136
1797,706082516339;1800,58
271,062045751634;270,212
449,31486928104573;449,987
198,269588235294;200,311
186,01389542483656;185,956
253,14981045751637;253,101
186,66895833333325;186,856
1432,66007883987;1487,98
431,40263398692804;431,754
120,95682924836592;120,324
230,66245424836606;229,038
289,8231176470588;289,353
298,4198529411764;300,714
217,98123529411737;217,579
200,103588235294;199,403
168,2553529411764;168,637
3802,0810089869283;3800,48
197,7135098039216;201,986
1106,9060457516343;1102,71
418,45006127450984;417,197
279,6523480392156;279,601
2117,1637369281043;2195,78
176,58047058823524;175,902
265,67527450980384;264,773
404,32045751633984;403,351
157,74854248366;159,269
433,0182810457517;437,056
162,93052450980383;162,318
386,40822222222215;388,281
313,5486638071897;311,805
362,30612745098034;361,14
342,16704575163396;348,124
375,4776127450979;373,557
4156,805696486928;4155,0
223,673544117647;226,306
143,5841764705882;143,21
3462,6813214869276;3463,07
157,2656642156863;160,125
151,84579411764702;151,52
377,6554656862745;378,01
238,5110024509803;240,639
242,00271568627448;241,809
1776,5468619281046;1846,37
319,7018700980392;322,867
3130,5270457516335;3245,85
346,58828104575167;343,022
359,32604575163396;359,615
537,5788692810457;539,357
268,47481045751636;267,551
233,29623774509798;233,592
285,0767483660132;282,787
118,91981045751635;122,949
321,33815686274505;321,423
297,1726339869281;302,957
333,98951715686263;333,623
286,9572892156863;292,542
3817,406008986928;3812,89
198,90711764705873;202,147
118,913;118,913
225,10988235294096;227,905
116,81781862745098;117,788
336,8608700980392;335,718
278,90727450980387;283,17
500,6840759803921;498,192
1435,9299869281053;1492,14
311,9073039215686;311,18
2790,3970457516334;2890,07
218,33015686274507;218,678
301,5938692810458;298,251
158,44407924836597;163,814
268,9759542483662;273,927
170,75787009803912;171,684
295,7682009803922;295,698
209,68955392156855;208,641
3805,1074795751642;3802,53
280,37018627450976;280,996
252,1782222222222;258,123
327,3406601307192;322,615
356,6642524509804;363,228
3478,0063214869274;3474,53
174,1406911764705;176,019
200,4387058823528;202,995
266,4464174836602;270,596
296,06627450980386;295,345
238,1126789215686;242,048
459,54273039215684;457,298
146,75286274509796;150,976
240,72525980392152;245,102
387,2706339869281;384,945
3803,273479575164;3951,83
257,3277156862745;257,116
314,4003071895427;314,128
434,8522810457517;430,706
130,59185130718947;135,351
240,71060130718956;246,171
255,3203553921569;255,081
300,2538529411764;297,809
171,83462745098035;172,229
3465,4643545751637;3460,78
239,40221568627442;239,464
207,18381045751633;212,176
333,189318627451;340,195
3138,606633986927;3143,16
281,62269362745093;279,83
167,170794117647;166,679
241,27983292483663;240,11
360,1010392156862;363,484
122,88267892156856;126,822
233,65515686274506;234,27
582,9180906862745;578,911
3463,6303545751634;3591,76
216,9868259803921;221,394
286,13495424836617;285,078
398,31932924836633;396,15
266,94005882352917;266,699
102,73962336601295;106,315
212,4452483660131;216,473
214,8725098039216;214,449
275,5191764705881;273,58
3820,432479575164;3817,85
3125,821229575163;3124,49
198,43424509803913;199,77
340,4422222222222;346,815
382,99432924836634;376,038
2444,4822589869264;2441,03
2134,322736928104;2133,63
1437,7639869281054;1434,01
493,44686928104574;493,089
222,3984852941175;223,693
2792,2310457516337;2783,73
212,8079174836601;212,948
318,9596936274509;322,406
541,4299950980391;538,862
193,24839215686268;197,777
115,74670098039208;116,237
3123,987229575163;3245,92
209,9825980392156;210,01
257,86960130718955;256,089
369,6408513071898;368,906
242,26888235294095;242,155
184,17989542483656;189,148
174,42466421568628;174,416
250,78449999999992;249,21
348,89264705882357;346,012
3480,7893545751635;3478,38
567,5930906862744;561,797
2786,178104575163;2783,54
200,82223529411738;202,756
319,90248039215675;318,465
200,74111764705873;199,83
401,4400980392156;405,486
241,41355392156856;247,049
2105,0825714869256;2103,1
1793,7058619281047;1796,46
1097,147111928106;1095,09
2452,101045751634;2445,99
626,7052810457516;626,52
448,45245751633985;446,979
184,33600204248353;185,723
295,28100204248375;293,713
499,9418995098038;497,801
186,3100392156862;185,38
169,50995833333326;173,847
2784,3441045751633;2886,91
229,60424836601308;228,533
340,96237336601325;339,504
315,57885294117636;314,74
155,91454248366;161,649
133,97681862745097;128,278
167,7448235294117;167,485
176,18280882352923;177,597
274,1004558823528;276,287
360,47212745098034;363,677
2459,807258986926;2457,13
217,60924509803914;221,63
175,97469117647051;174,8
358,49825245098043;357,218
1453,0889869281054;1454,18
390,7202810457517;387,376
756,5302369281063;755,845
403,45804575163396;404,448
581,7108692810457;581,69
266,3959616013072;266,188
458,45380392156846;457,451
145,77152450980384;150,043
162,63748039215676;162,486
2444,700979575163;2536,14
201,33889542483655;199,601
312,2838954248367;311,149
519,5574575163398;525,007
388,8862810457517;393,502
1441,52077001634;1442,06
143,0418970588235;142,309
240,832544117647;240,999
151,54338235294102;152,796
249,39752941176454;252,187
243,8601564542485;242,537
157,06795098039214;159,495
319,50415686274505;323,363
2120,4075714869255;2114,55
541,8010833333333;538,336
335,023318627451;334,134
3127,0137001633984;3241,05
193,80493627450974;197,555
1112,4721119281057;1111,95
345,7258692810458;343,236
415,91336192810707;416,52
358,4636339869281;357,698
536,7164575163398;534,299
185,44466380718953;190,021
237,51092116013064;239,383
406,04528104575166;406,849
565,4142810457516;568,539
416,9657083333332;418,073
122,03309068627442;126,892
136,94122222222225;136,746
315,194045751634;313,794
484,61689950980383;481,017
474,5630457516339;480,632
362,00805392156866;362,132
343,8918692810458;349,351
1100,660457516341;1101,24
216,06611764705872;215,395
126,90395588235288;126,258
224,69460294117636;226,854
216,21449101307195;214,97
278,53618627450976;282,807
500,48636274509795;500,296
170,00062745098035;174,832
217,971237745098;218,641
2787,1271376633986;2889,81
224,2324852941175;222,712
311,5483848039216;310,821
771,8552369281064;771,305
300,7314575163399;297,958
478,98428104575163;474,071
243,24755392156857;242,199
313,46922222222224;310,231
491,7220457516339;487,577
267,9177483660132;272,653
380,10212336601336;380,644
296,09061274509804;295,73
209,88022222222224;210,483
100,84649509803914;100,444
195,08239215686268;195,378
1098,826457516341;1145,8
270,1996339869281;270,1
251,31581045751636;257,167
443,1288039215685;440,92
429,56863398692803;436,101
321,38683333333336;321,621
298,8974575163399;305,323
202,65623529411738;201,285
1456,8457700163399;1460,33
759,8001450163416;761,665
191,2996911764705;190,135
102,26452941176468;100,795
199,99167647058812;202,767
188,56882557189545;187,884
237,56821568627444;241,937
459,1716421568627;457,832
146,19631862745092;150,166
288,0734509803921;287,19
2447,2405751633987;2536,45
336,2160465686275;336,461
426,1461638071899;422,33
239,44583292483662;243,668
351,2170829248368;354,278
