predicted;measured
2175,9096924019595;2249,17
143,4010007973857;143,739
298,66335784313713;280,92
326,59616904223236;304,24
388,859622677056;411,704
383,0233186274508;360,403
500,4277572775264;510,65
370,2841102187027;316,8
264,93701550326796;282,014
183,53579491503274;185,618
152,61674019607844;152,443
187,55100980392154;165,83
196,58686274509785;168,539
315,1016225490197;339,129
293,38424681738377;285,219
844,516357843137;806,62
354,2384901960783;356,911
367,16934551282054;384,169
304,60987745098015;299,603
519,4973725490196;547,3
198,6689583333332;196,06
1505,321199754902;1582,81
215,2283335162422;180,106
1855,2348504901952;1804,9
323,54838480392135;311,714
3213,8073504901963;3339,25
2543,6005122549022;2469,61
283,74493374811465;239,788
217,3192802091503;231,892
247,76663315032687;241,046
282,1393831503268;273,178
218,16309313725486;199,575
173,05411021870282;168,738
1859,8271666666665;1787,08
2863,0581666666667;2801,25
273,71286844444444;296,424
2517,1433799019605;2510,08
363,2726462540241;349,052
166,11797929470288;168,231
176,81120723587935;197,015
315,1682232221247;320,737
111,17783505267764;106,113
325,8614511633012;360,705
371,03734551282054;383,523
179,04887009803906;173,899
396,642137254902;376,741
308,1465219834086;296,932
220,53239215686256;210,115
1845,6946372549019;1839,8
1517,4010085784307;1525,43
372,32834551282053;377,164
592,5597572775263;602,584
320,80583903267967;314,243
543,2820049019608;537,468
348,1452949150326;350,416
278,57783007755353;284,493
183,6678390326798;186,054
315,60654491503266;304,788
255,4754566797386;260,205
187,45195483977164;195,734
209,4235743267974;214,334
109,77254491503281;103,588
110,58770098039219;105,588
1870,3672034313722;1800,58
459,3171690422323;449,987
337,6755269607841;320,403
268,11655801872996;273,712
237,26666593503072;229,038
221,68955392156846;219,481
337,6755269607841;321,889
246,7682450980389;243,058
380,9460490196079;364,926
216,72451960784318;201,986
1179,5671666666663;1102,71
437,46107107843153;417,197
2189,8248578431367;2195,78
284,46369362745065;303,589
502,33837254901965;518,605
292,01622138562084;281,339
181,15103921568613;182,51
341,05875727752647;355,675
173,05552450980383;162,318
348,219309620915;320,522
1169,808232843137;1104,36
2532,275732843137;2589,24
431,46593374811454;419,349
418,8177181372549;475,461
4229,466817401962;4155,0
289,4135539215682;319,324
192,45704656862716;177,245
2543,6005122549022;2574,14
355,722843137255;363,156
300,72857432679734;271,78
308,79128921568605;293,746
300,15068627450955;310,058
560,812093137255;571,645
234,0201102187028;212,835
1845,6946372549019;1875,11
344,9267572775265;322,337
356,59058080693825;343,022
205,6457917947029;191,066
338,71287990196083;386,912
369,32834551282053;359,615
3533,508442401961;3616,98
2177,74369240196;2210,16
566,4491690422323;561,62
135,96394197385632;129,799
342,53317047117355;324,729
421,542931372549;403,002
234,58161900058533;219,055
239,56480962091507;250,537
502,2617572775263;476,727
266,9319217515363;233,949
278,47711021870276;267,551
373,53462267705595;353,741
197,08710213637693;188,415
128,92211021870284;122,949
1162,4081666666661;1184,5
305,3791190005854;330,307
368,0317572775264;386,624
237,88811021870282;185,338
192,2645743267974;199,948
297,9182843137255;293,637
589,5541690422323;596,454
459,41052198340867;409,398
201,58885373856208;202,139
135,82882843137264;117,788
355,8718799019608;335,718
234,77334551282058;246,182
234,6689583333332;222,254
1508,5911078431373;1492,14
322,0323039215685;311,18
578,4165808069382;579,613
352,9673555750658;326,379
3196,648350490196;3340,7
396,6664754901962;426,843
841,7333247549016;787,495
200,69479491503273;202,155
325,1805219834087;325,553
112,75462419520036;114,311
228,98682598039193;233,541
314,756791794703;337,282
201,04042726797388;205,325
253,12358333333304;241,544
333,9448718173838;322,615
366,7892524509803;363,228
491,9865808069382;475,377
3550,667442401961;3474,53
503,89948284313704;472,012
156,87786274509784;150,976
277,23721243049454;267,166
293,77639969271286;316,382
3875,9346004901968;3951,83
305,7143831503268;311,862
438,0340890326796;435,187
247,31481299385428;246,171
274,33136519607854;255,081
237,34511021870279;235,272
418,8177181372549;417,166
306,43839785620906;297,809
185,8485743267974;179,068
504,37008578431386;483,732
194,40145875402393;203,922
1162,4081666666661;1100,22
173,35533903267984;166,679
504,17237254901966;509,104
379,1850637254903;377,267
340,0492360915032;327,573
260,16871568627425;278,577
145,23500079738568;130,146
404,9235409350308;396,15
488,57448284313705;427,549
4214,141817401962;4267,32
3893,093600490197;3817,85
240,53055392156847;257,294
350,44452198340866;346,815
379,5074754901962;397,982
219,1532802091503;207,573
142,03309068627448;143,214
264,9868259803919;291,8
177,36849754901957;177,573
228,5830302091504;223,693
168,03031862745087;153,54
219,4121291703248;212,948
257,9469860915033;250,038
435,10295875402414;440,814
2861,6222585784317;2804,55
275,54686844444444;245,48
381,1893186274508;407,916
284,82568627450956;269,508
337,9707034313725;322,406
560,4410049019608;538,862
110,00104491503282;105,401
276,44858333333303;282,621
3196,648350490196;3245,92
1502,5381666666667;1512,48
518,9529093137255;525,469
299,06993374811464;277,541
176,11567047117344;162,633
297,5471960784314;349,859
248,45342726797386;242,155
190,78410711150127;189,148
127,74670098039218;125,228
193,4356740196079;174,416
256,96904491503267;249,21
311,8997572775265;316,64
328,1963455128205;332,901
456,4049337481145;429,663
297,4643831503268;298,275
230,40739215686256;235,076
437,46107107843153;449,818
266,1521102187027;254,457
265,64864950980365;234,825
684,3825808069382;643,311
323,82589785620905;323,996
172,71667892156853;144,607
503,1241690422322;478,974
206,92566256209156;199,83
310,1749337481146;317,146
250,95755801872994;257,837
277,08837267705593;293,989
1845,6946372549019;1787,34
312,923769607843;310,556
281,06906862745075;266,672
322,1749337481146;339,052
289,57792156862723;263,914
167,0828684444445;173,342
1169,808232843137;1095,09
427,3542917947031;443,098
636,7075808069382;626,52
415,6282513535266;437,879
187,16954307506572;151,422
1164,9477622549016;1219,22
478,1826519607843;506,462
2854,7090674019605;3006,97
322,4044217515364;293,332
347,56658505267785;339,504
182,99351550326804;186,223
457,1581690422323;470,385
327,0145219834087;279,761
2206,983857843137;2283,97
1173,321578431372;1139,97
287,31599528094824;288,411
284,81354547117354;305,458
273,294067529997;285,108
175,92222138562104;164,997
425,6493114574189;432,61
437,1687893985953;460,597
379,48313725490203;363,677
2532,4683799019604;2457,13
547,5653455128205;558,029
297,3629860915033;319,796
192,7845219834088;161,369
259,0063651960785;243,022
443,4333455128205;446,562
477,46481372549016;457,451
2517,3621004901956;2536,14
362,0078778716711;347,588
217,7523978562092;191,632
2854,7090674019605;2794,64
398,8885808069383;393,502
175,91186274509784;172,829
1514,181890931372;1442,06
149,22644197385634;142,309
419,0475808069383;423,697
365,07589785620905;361,541
255,58207432679737;252,187
250,46436814091314;242,537
357,0033455128205;342,804
422,2851078431373;405,887
2187,902074754902;2182,01
519,6950857843138;515,96
488,57448284313705;416,52
546,7187572775263;534,299
146,94352198340877;136,746
4214,141817401962;4175,8
380,9460490196079;362,618
218,16309313725486;203,022
260,7252598039213;278,663
381,3414754901962;386,258
232,94164785620916;236,809
376,6642524509803;396,436
267,28154491503267;256,484
586,6041004901962;590,737
190,62304656862716;206,349
1525,750107843137;1517,28
296,0643455128206;303,982
297,5471960784314;282,807
519,4973725490196;500,296
246,14582598039192;243,096
338,5151666666667;354,056
2859,7882585784314;2889,81
517,5867572775263;535,614
370,4982524509803;357,234
253,37255392156823;242,199
2519,196100490196;2466,73
250,23816256209153;218,706
3877,768600490197;3991,87
205,20739215686257;195,378
534,2845808069382;535,447
3195,942754901961;3217,51
114,58862419520035;107,551
285,1846053921567;270,545
340,397843137255;321,621
308,8997572775265;305,323
202,87442726797389;172,285
832,4612659313724;761,665
215,08239215686257;200,526
206,31003921568612;208,027
396,642137254902;404,559
313,6481300299971;297,411
521,4547572775264;517,198
501,7939093137255;554,388
176,07896078431375;167,964
489,76695343137243;467,085
206,17622138562095;202,767
329,0002745098036;328,769
195,17303725856013;187,884
176,2766740196079;205,44
2180,015133578431;2218,15
3539,561383578432;3703,4
348,44783743049464;352,631
2547,600732843137;2533,16
305,135309620915;311,659
357,8212946115014;354,278
261,76337267705594;245,168
208,32723039215648;197,454
289,1611625620915;308,825
192,69349754901955;192,593
414,4161102187028;357,808
210,93052450980383;191,202
189,77893374811467;195,951
355,8718799019608;383,695
420,6517181372549;401,049
343,8737881182325;363,37
332,767435177056;352,216
184,20135373856212;176,429
411,3013455128205;423,763
560,4410049019608;593,803
1862,853637254902;1923,11
1842,6681666666664;1931,86
242,02235557506577;209,93
2193,0686924019597;2149,39
3550,667442401961;3686,21
2211,2275159313717;2289,31
2211,2275159313717;2234,17
271,89553020915037;266,638
193,29279698931802;186,37
354,7565808069383;350,245
203,8117917947029;222,845
353,68828572212476;387,087
157,73052450980381;148,515
342,78849528094827;351,019
295,764769607843;291,867
415,16934551282054;429,106
274,33136519607854;264,987
200,15251550326803;202,305
1855,2348504901952;1874,71
111,6964183128474;110,863
388,5403350526779;375,799
259,1554019607844;240,317
218,91093374811464;213,721
228,49615686274495;233,371
177,36849754901957;160,052
202,94859803921548;197,433
244,8932450980389;233,694
346,0827949150326;338,504
300,0512137291484;297,772
355,6741666666667;336,164
292,1177066797385;279,184
354,5666625620914;345,516
299,4542107843138;286,175
340,3491666666667;343,824
229,97123774509782;220,078
242,00458903267975;230,333
2521,7356960784314;2446,32
252,79155801872994;242,795
184,22173609150337;177,23
196,20787009803905;185,433
3205,0221666666675;3152,57
471,72993374811455;489,002
307,5138333333331;325,202
265,7639747585602;258,668
379,5074754901962;377,008
194,5138537385621;182,303
299,4542107843138;281,044
264,7677572775265;260,621
463,2530784313726;468,991
250,8677066797385;251,09
177,77893374811467;178,019
216,72451960784318;231,004
209,2078754938542;202,181
235,81464950980364;240,359
357,71438480392135;384,295
261,28487745098016;246,356
250,10064785620915;251,023
543,2820049019608;526,084
170,88267892156853;176,652
168,04595507755337;176,35
1522,4801997549016;1449,29
399,86016904223226;387,015
1507,1551997549018;1443,07
503,89948284313704;451,497
177,75622138562102;146,482
256,57922549019605;304,165
276,46369362745065;281,681
475,5979337481146;465,698
2868,648949754902;2942,45
300,073450980392;288,878
215,63893627450955;200,228
155,60348039215677;150,944
1838,075850490195;1854,84
197,28462745098022;186,934
601,9291004901961;611,143
257,3094566797386;250,534
278,1521102187027;255,252
296,54994197385616;289,847
136,1714950980392;124,428
274,33136519607854;278,037
389,05875727752647;376,685
506,1297572775263;466,397
149,31709068627447;139,344
324,8713455128205;303,043
334,59416831284756;320,859
386,7432109123501;405,281
246,4113096209151;238,942
263,7254566797386;278,686
195,60552450980381;166,348
396,0451625620914;419,966
314,7061960784314;335,111
353,2431919738561;347,896
143,92211021870284;136,531
327,3339337481146;329,732
365,44452198340866;376,033
501,7939093137255;496,61
235,19092726797385;227,599
1500,2420085784306;1533,49
1841,9625710784308;1767,85
323,3788684444444;323,335
282,0201102187028;229,312
309,31252198340866;313,291
250,51903963637696;258,305
134,35100980392153;125,467
216,48872138562092;231,75
1842,6681666666664;1785,73
260,39328444176186;284,748
249,90661900058535;267,774
324,3339337481146;313,25
248,402627871671;256,007
174,28167047117347;180,547
324,9844143985953;353,063
313,87806145741877;311,549
331,6288684444444;344,136
369,31252198340866;375,279
153,0902946115012;146,709
199,50883903267982;185,863
460,30581372549017;443,839
222,88252198340874;210,86
1169,808232843137;1131,52
841,7333247549016;766,649
221,77723039215647;210,582
314,52198609150327;300,32
1167,974232843137;1140,75
298,491495098039;288,664
185,33554307506574;170,086
347,4481127450979;335,267
208,40251550326803;213,608
340,3412213856208;331,844
307,5433390326797;299,68
258,41322549019606;241,191
504,37008578431386;482,294
486,29016904223226;480,646
2184,6321666666668;2110,61
303,6468390326797;299,206
305,6795188762073;295,638
175,35531862745086;172,543
621,3825808069382;605,067
401,8885808069383;404,319
135,82882843137264;121,584
276,2252468173838;272,897
545,1160049019608;549,431
400,16375727752643;403,028
182,20729093503067;175,101
221,6073455128206;210,684
2526,441512254902;2462,04
166,75286274509784;178,974
354,4161102187027;341,435
234,34511021870279;224,217
218,55851960784318;218,601
273,51875654814165;281,464
2179,5529754901954;2165,93
283,3506053921567;302,761
169,4273978562092;158,035
422,08739460784324;426,264
301,11210373856204;272,464
290,9951625620915;279,674
383,9482524509803;372,552
176,07896078431375;181,753
2195,902515931372;2142,69
339,3339337481146;351,043
2195,902515931372;2120,95
378,39421078431366;396,948
146,58770098039219;124,207
377,3296225490195;364,335
386,05316904223235;399,345
1164,242166666666;1100,7
2524,762166666667;2581,91
420,4511078431373;439,452
1855,042203431372;1847,11
263,88373448931804;267,323
429,7411102187028;384,327
607,5755808069382;628,25
233,48809313725488;213,048
288,16871568627425;317,522
486,74048284313704;430,014
251,40987745098016;241,605
191,3439583333332;176,67
314,29769362745066;291,082
299,77101550326796;269,376
308,073450980392;292,928
339,9020563725491;323,446
135,82882843137264;141,922
1840,128571078431;1863,57
314,4698684444444;336,918
233,85918137254905;234,35
202,70313002999697;188,774
533,4221690422322;535,974
422,08739460784324;400,891
396,3013455128205;392,313
343,20193374811464;326,422
3539,561383578432;3479,77
337,9707034313725;383,638
235,15962745098022;222,833
1504,3721666666665;1428,75
564,7243455128205;561,765
3199,6748210784317;3350,64
233,7045822358794;218,106
379,5074754901962;435,574
305,4501102187028;301,309
390,1171241952006;390,729
3893,093600490197;3894,73
3533,508442401961;3473,99
371,4182109123501;351,818
296,364450980392;290,949
1171,4875784313722;1179,13
337,84797303921545;326,242
223,65223039215647;219,99
315,608435177056;339,419
304,50208223587947;324,382
191,24351550326804;199,955
323,18222138562084;340,351
446,99216904223226;431,857
193,4356740196079;202,096
2868,648949754902;2885,82
126,50283505267765;120,012
131,61852198340878;122,984
234,08287009803905;211,136
396,2710490196079;421,622
233,04852198340873;246,698
223,78225079738567;217,636
486,74048284313704;472,49
232,23436844444447;225,404
2532,4683799019604;2555,73
279,7677572775265;292,037
284,1413776338893;274,919
1182,1067622549017;1149,22
2543,6005122549022;2633,06
463,22874019607855;443,464
311,8141300299971;331,967
464,9956239574189;488,199
453,2695835162424;459,323
282,3475007973855;287,646
232,25662028094814;222,621
258,76592726797384;264,215
242,74328572212465;268,0
377,0967063762073;369,355
236,91652198340876;232,722
442,1581690422323;437,114
2206,983857843137;2230,17
204,32825980392136;194,83
293,62269362745064;292,644
338,563843137255;335,29
420,30207107843154;406,788
2874,164225490196;2805,08
149,94352198340877;146,364
135,92057432679752;122,076
267,4782802091503;252,079
3874,7421299019616;3921,21
169,87995507755338;161,88
259,0063651960785;245,441
248,60497475856022;246,634
273,73822549019604;264,339
249,41458333333304;244,392
389,3952949150326;383,826
463,22874019607855;445,546
290,6346053921567;279,605
257,3214019607844;254,744
243,19406862745075;231,515
2177,718975490195;2179,25
406,21791831284764;409,913
259,45087745098016;277,793
144,21394197385632;131,693
354,7951625620914;360,76
265,5594566797386;254,016
3213,8073504901963;3266,04
422,2851078431373;426,654
293,47711021870276;287,895
592,5755808069382;582,615
229,74406862745076;218,443
213,80493627450954;231,721
240,19741421568585;223,848
379,1120490196079;399,761
218,32272138562092;207,222
265,1805219834087;268,759
264,1372377450978;289,801
1505,321199754902;1447,24
153,08504491503282;121,714
167,31248039215677;152,366
2856,543067401961;2807,77
250,236627871671;240,707
261,5311512291483;253,607
274,3988096209151;243,223
4214,141817401962;4341,18
1514,181890931372;1529,0
297,62021078431377;315,796
297,3451102187028;253,075
295,764769607843;328,533
2194,8779754901952;2119,95
487,2617572775263;472,023
314,7978333333331;303,483
193,2131102187028;191,1
218,62304656862716;242,414
378,39421078431366;376,722
235,78204656862715;226,495
355,2270563725491;349,546
249,62186844444443;251,05
229,68955392156846;231,632
192,9005188762072;190,593
167,4008741952004;175,727
437,4123946078432;444,193
352,11628921568604;352,045
171,86709068627448;143,087
229,5682450980389;218,675
355,8718799019608;345,6
135,93129461150122;134,618
146,61852198340878;126,776
289,12358333333304;260,525
374,5961690422324;331,591
320,4501102187028;315,083
208,01022138562095;201,045
152,61674019607844;161,055
2883,9739497549017;2871,17
157,55928963637686;156,75
232,74761900058536;253,693
222,26095355940885;237,676
333,1228374304946;321,479
274,58869362745065;270,308
118,76157432679751;111,004
371,700622677056;390,084
360,38770723587953;379,913
250,3192802091503;267,928
461,8885808069383;468,255
349,2698718173838;342,221
455,4333455128205;466,624
2199,9571666666666;2279,8
167,52737181738362;160,858
152,04167892156852;146,771
387,7645409350308;380,708
398,9977572775264;384,939
374,05316904223235;380,184
411,73552198340866;398,347
203,75931145741868;176,824
233,6477213856209;238,894
214,4525393985952;236,497
478,55374019607854;471,86
381,5151202809483;404,244
242,4235743267974;221,761
395,55321078431365;376,234
1840,128571078431;1835,71
299,5065007973855;299,575
364,11833903267967;354,811
223,33728595990638;232,651
421,542931372549;404,677
1185,1332328431372;1164,09
158,60436844444453;152,18
347,0233186274508;335,456
2856,543067401961;2780,57
2547,600732843137;2474,05
340,397843137255;325,947
359,6552946115014;347,891
218,53418137254903;200,735
173,91652198340873;168,712
391,9511241952005;375,55
380,9460490196079;383,148
132,06744197385635;126,927
112,23604093503062;106,364
398,3896919738561;369,5
330,40758505267786;328,066
189,5099583333332;204,236
1855,042203431372;1800,99
234,7371291703248;226,557
309,00893374811454;298,207
294,3395219834087;294,38
135,45774019607848;121,597
584,7701004901961;578,439
337,0794901960783;352,863
193,07751550326805;181,616
3541,3953835784323;3493,39
299,4542107843138;304,349
161,08111021870283;156,259
399,3013455128205;400,994
306,63662051873;312,258
562,5811690422322;579,973
347,72297303921545;359,703
371,95416256209137;372,776
2530,441732843137;2579,52
305,34645875402407;311,333
110,2830743267975;100,315
206,45223039215648;195,79
134,39200980392155;132,977
371,59058080693825;349,283
194,19631862745086;208,124
406,4982524509803;384,673
220,45704656862716;194,148
460,1795808069383;450,222
310,99168627450956;341,604
201,9168684444445;170,696
312,923769607843;294,439
619,5485808069382;612,211
214,36455392156844;198,633
295,9687859599064;303,827
395,55321078431365;403,444
328,15068627450955;329,277
312,8713455128205;299,637
3205,0221666666675;3277,9
1851,0419828431368;1836,7
261,79271610696514;263,646
175,53449754901956;202,277
237,91174681738372;229,336
2175,9096924019595;2197,9
386,47152198340865;366,057
259,0063651960785;240,585
219,77334551282058;214,899
1870,3672034313722;1882,61
123,9989572358793;110,04
830,6272659313723;825,145
241,9587066797385;258,453
216,72451960784318;267,228
