correctionTimer ; 137.356 ; 2.86159 ; setSolutionTimer ; 4.23337 ; 0.0881952 ; cycleWatch ; 5393.47 ; 674.183 ; setupWatch ; 33.1327 ; 33.1327 ; restrictionTimer ; 165.047 ; 3.43849 ; preSmoothTimer ; 2219.13 ; 46.2319 ; upResidualTimer ; 371.496 ; 7.7395 ; postSmoothTimer ; 2152.49 ; 44.8436 ; commTimer ; 2322.81 ; 2.78515 ; timeToSolveWatch ; 5534.63 ; 5534.63 ;
correctionTimer ; 139.775 ; 2.91197 ; setSolutionTimer ; 4.13222 ; 0.0860878 ; cycleWatch ; 5433.26 ; 679.158 ; setupWatch ; 33.1532 ; 33.1532 ; restrictionTimer ; 180.634 ; 3.76321 ; preSmoothTimer ; 2206.35 ; 45.9655 ; upResidualTimer ; 373.616 ; 7.78367 ; postSmoothTimer ; 2174.12 ; 45.2943 ; commTimer ; 2314.12 ; 2.77473 ; timeToSolveWatch ; 5534.25 ; 5534.25 ;
correctionTimer ; 140.042 ; 2.91754 ; setSolutionTimer ; 4.36089 ; 0.0908519 ; cycleWatch ; 5442.25 ; 680.282 ; setupWatch ; 32.9663 ; 32.9663 ; restrictionTimer ; 186.64 ; 3.88834 ; preSmoothTimer ; 2198.49 ; 45.8019 ; upResidualTimer ; 375.668 ; 7.82642 ; postSmoothTimer ; 2193.69 ; 45.7018 ; commTimer ; 2038.03 ; 2.44368 ; timeToSolveWatch ; 5534.25 ; 5534.25 ;
correctionTimer ; 140.031 ; 2.91731 ; setSolutionTimer ; 4.3309 ; 0.090227 ; cycleWatch ; 5436.45 ; 679.556 ; setupWatch ; 33.2262 ; 33.2262 ; restrictionTimer ; 179.36 ; 3.73667 ; preSmoothTimer ; 2205.05 ; 45.9384 ; upResidualTimer ; 376.324 ; 7.84009 ; postSmoothTimer ; 2189.01 ; 45.6044 ; commTimer ; 2044.41 ; 2.45134 ; timeToSolveWatch ; 5534.25 ; 5534.25 ;
correctionTimer ; 140.026 ; 2.91722 ; setSolutionTimer ; 4.20702 ; 0.0876463 ; cycleWatch ; 5441.89 ; 680.237 ; setupWatch ; 32.887 ; 32.887 ; restrictionTimer ; 185.48 ; 3.86417 ; preSmoothTimer ; 2199.76 ; 45.8282 ; upResidualTimer ; 375.869 ; 7.8306 ; postSmoothTimer ; 2192.9 ; 45.6854 ; commTimer ; 2035.64 ; 2.44081 ; timeToSolveWatch ; 5534.25 ; 5534.25 ;
correctionTimer ; 140.06 ; 2.91791 ; setSolutionTimer ; 4.347 ; 0.0905624 ; cycleWatch ; 5435.89 ; 679.486 ; setupWatch ; 33.0629 ; 33.0629 ; restrictionTimer ; 181.039 ; 3.77164 ; preSmoothTimer ; 2203.97 ; 45.916 ; upResidualTimer ; 375.855 ; 7.83031 ; postSmoothTimer ; 2187.48 ; 45.5724 ; commTimer ; 2041.56 ; 2.44791 ; timeToSolveWatch ; 5534.25 ; 5534.25 ;
correctionTimer ; 139.912 ; 2.91483 ; setSolutionTimer ; 4.00177 ; 0.0833703 ; cycleWatch ; 5437.89 ; 679.737 ; setupWatch ; 33.12 ; 33.12 ; restrictionTimer ; 186.216 ; 3.8795 ; preSmoothTimer ; 2201.28 ; 45.86 ; upResidualTimer ; 373.768 ; 7.78683 ; postSmoothTimer ; 2189.06 ; 45.6054 ; commTimer ; 2038.84 ; 2.44465 ; timeToSolveWatch ; 5534.25 ; 5534.25 ;
correctionTimer ; 139.936 ; 2.91534 ; setSolutionTimer ; 4.33286 ; 0.090268 ; cycleWatch ; 5431.46 ; 678.933 ; setupWatch ; 33.1978 ; 33.1978 ; restrictionTimer ; 186.918 ; 3.89413 ; preSmoothTimer ; 2203.76 ; 45.9117 ; upResidualTimer ; 370.113 ; 7.71068 ; postSmoothTimer ; 2185.83 ; 45.5382 ; commTimer ; 2042.05 ; 2.4485 ; timeToSolveWatch ; 5534.25 ; 5534.25 ;
correctionTimer ; 139.767 ; 2.91182 ; setSolutionTimer ; 3.93787 ; 0.082039 ; cycleWatch ; 5439.53 ; 679.941 ; setupWatch ; 33.0781 ; 33.0781 ; restrictionTimer ; 186.817 ; 3.89202 ; preSmoothTimer ; 2198.02 ; 45.7921 ; upResidualTimer ; 376.53 ; 7.84438 ; postSmoothTimer ; 2188.83 ; 45.6006 ; commTimer ; 2056.33 ; 2.46562 ; timeToSolveWatch ; 5534.25 ; 5534.25 ;
correctionTimer ; 139.867 ; 2.9139 ; setSolutionTimer ; 4.27674 ; 0.0890988 ; cycleWatch ; 5427.01 ; 678.377 ; setupWatch ; 33.193 ; 33.193 ; restrictionTimer ; 188.949 ; 3.93644 ; preSmoothTimer ; 2193.1 ; 45.6895 ; upResidualTimer ; 378.909 ; 7.89393 ; postSmoothTimer ; 2180.01 ; 45.4168 ; commTimer ; 2059.89 ; 2.46989 ; timeToSolveWatch ; 5534.25 ; 5534.25 ;
correctionTimer ; 140.078 ; 2.91828 ; setSolutionTimer ; 3.81809 ; 0.0795435 ; cycleWatch ; 5441.17 ; 680.146 ; setupWatch ; 33.1798 ; 33.1798 ; restrictionTimer ; 185.52 ; 3.86499 ; preSmoothTimer ; 2199.68 ; 45.8266 ; upResidualTimer ; 376.168 ; 7.83683 ; postSmoothTimer ; 2192.51 ; 45.6772 ; commTimer ; 2032.96 ; 2.43761 ; timeToSolveWatch ; 5534.25 ; 5534.25 ;
