correctionTimer ; 157.123 ; 2.90968 ; setSolutionTimer ; 4.18293 ; 0.0774617 ; cycleWatch ; 11299.3 ; 1255.48 ; setupWatch ; 36.0815 ; 36.0815 ; restrictionTimer ; 226.575 ; 4.19584 ; preSmoothTimer ; 5096.23 ; 94.3747 ; upResidualTimer ; 432.683 ; 8.01264 ; postSmoothTimer ; 4993.74 ; 92.4766 ; commTimer ; 1665.15 ; 2.5461 ; timeToSolveWatch ; 11532 ; 11532 ;
correctionTimer ; 165.33 ; 3.06167 ; setSolutionTimer ; 4.96733 ; 0.0919876 ; cycleWatch ; 11380.5 ; 1264.49 ; setupWatch ; 36.0713 ; 36.0713 ; restrictionTimer ; 205.187 ; 3.79976 ; preSmoothTimer ; 5078.15 ; 94.0398 ; upResidualTimer ; 476.342 ; 8.82114 ; postSmoothTimer ; 5003.54 ; 92.6582 ; commTimer ; 1663.16 ; 2.54305 ; timeToSolveWatch ; 11531.5 ; 11531.5 ;
correctionTimer ; 165.343 ; 3.06191 ; setSolutionTimer ; 4.82461 ; 0.0893446 ; cycleWatch ; 11394.2 ; 1266.02 ; setupWatch ; 36.0495 ; 36.0495 ; restrictionTimer ; 217.985 ; 4.03676 ; preSmoothTimer ; 5066.23 ; 93.8191 ; upResidualTimer ; 475.729 ; 8.80979 ; postSmoothTimer ; 5010.85 ; 92.7934 ; commTimer ; 1694.75 ; 2.59136 ; timeToSolveWatch ; 11531.5 ; 11531.5 ;
correctionTimer ; 165.449 ; 3.06387 ; setSolutionTimer ; 4.51558 ; 0.0836219 ; cycleWatch ; 11406.2 ; 1267.35 ; setupWatch ; 36.0604 ; 36.0604 ; restrictionTimer ; 223.38 ; 4.13667 ; preSmoothTimer ; 5056.89 ; 93.646 ; upResidualTimer ; 480.091 ; 8.89056 ; postSmoothTimer ; 5029.61 ; 93.1409 ; commTimer ; 1733.74 ; 2.65099 ; timeToSolveWatch ; 11531.5 ; 11531.5 ;
correctionTimer ; 165.393 ; 3.06283 ; setSolutionTimer ; 4.72986 ; 0.08759 ; cycleWatch ; 11428.4 ; 1269.83 ; setupWatch ; 36.197 ; 36.197 ; restrictionTimer ; 234.207 ; 4.33717 ; preSmoothTimer ; 5029.24 ; 93.134 ; upResidualTimer ; 496.81 ; 9.20018 ; postSmoothTimer ; 5036.36 ; 93.2659 ; commTimer ; 1677.28 ; 2.56464 ; timeToSolveWatch ; 11531.5 ; 11531.5 ;
correctionTimer ; 165.42 ; 3.06333 ; setSolutionTimer ; 5.03069 ; 0.0931608 ; cycleWatch ; 11405.9 ; 1267.32 ; setupWatch ; 36.1691 ; 36.1691 ; restrictionTimer ; 235.298 ; 4.35737 ; preSmoothTimer ; 5032.51 ; 93.1946 ; upResidualTimer ; 492.036 ; 9.11178 ; postSmoothTimer ; 5030.39 ; 93.1553 ; commTimer ; 1623.86 ; 2.48296 ; timeToSolveWatch ; 11531.5 ; 11531.5 ;
correctionTimer ; 165.542 ; 3.06559 ; setSolutionTimer ; 6.38309 ; 0.118205 ; cycleWatch ; 11416.8 ; 1268.54 ; setupWatch ; 36.1178 ; 36.1178 ; restrictionTimer ; 218.905 ; 4.05379 ; preSmoothTimer ; 5048.04 ; 93.4822 ; upResidualTimer ; 491.496 ; 9.10178 ; postSmoothTimer ; 5033.05 ; 93.2045 ; commTimer ; 1628.18 ; 2.48957 ; timeToSolveWatch ; 11531.5 ; 11531.5 ;
correctionTimer ; 165.395 ; 3.06286 ; setSolutionTimer ; 5.10078 ; 0.0944589 ; cycleWatch ; 11423.3 ; 1269.26 ; setupWatch ; 36.1389 ; 36.1389 ; restrictionTimer ; 225.876 ; 4.18288 ; preSmoothTimer ; 5036.67 ; 93.2718 ; upResidualTimer ; 497.311 ; 9.20946 ; postSmoothTimer ; 5038.87 ; 93.3124 ; commTimer ; 1642.22 ; 2.51104 ; timeToSolveWatch ; 11531.5 ; 11531.5 ;
correctionTimer ; 165.435 ; 3.06361 ; setSolutionTimer ; 4.9468 ; 0.0916073 ; cycleWatch ; 11424.3 ; 1269.36 ; setupWatch ; 36.041 ; 36.041 ; restrictionTimer ; 229.859 ; 4.25665 ; preSmoothTimer ; 5033.96 ; 93.2215 ; upResidualTimer ; 496.261 ; 9.19002 ; postSmoothTimer ; 5037.42 ; 93.2855 ; commTimer ; 1649.45 ; 2.5221 ; timeToSolveWatch ; 11531.5 ; 11531.5 ;
correctionTimer ; 165.423 ; 3.0634 ; setSolutionTimer ; 6.45372 ; 0.119513 ; cycleWatch ; 11416.7 ; 1268.52 ; setupWatch ; 36.093 ; 36.093 ; restrictionTimer ; 221.632 ; 4.1043 ; preSmoothTimer ; 5041.04 ; 93.3526 ; upResidualTimer ; 495.761 ; 9.18076 ; postSmoothTimer ; 5034.55 ; 93.2324 ; commTimer ; 1628.06 ; 2.48939 ; timeToSolveWatch ; 11531.5 ; 11531.5 ;
correctionTimer ; 165.401 ; 3.06298 ; setSolutionTimer ; 4.96442 ; 0.0919338 ; cycleWatch ; 11404.3 ; 1267.15 ; setupWatch ; 36.0949 ; 36.0949 ; restrictionTimer ; 242.134 ; 4.48397 ; preSmoothTimer ; 5031.63 ; 93.1782 ; upResidualTimer ; 486.187 ; 9.00347 ; postSmoothTimer ; 5031.82 ; 93.1819 ; commTimer ; 1621.63 ; 2.47956 ; timeToSolveWatch ; 11531.5 ; 11531.5 ;
