correctionTimer ; 228.15 ; 2.71607 ; setSolutionTimer ; 15.3256 ; 0.182447 ; cycleWatch ; 18137.6 ; 1295.54 ; setupWatch ; 126.252 ; 126.252 ; restrictionTimer ; 1176.49 ; 14.0059 ; preSmoothTimer ; 3913.57 ; 46.5902 ; upResidualTimer ; 2043.32 ; 24.3252 ; postSmoothTimer ; 3951 ; 47.0357 ; commTimer ; 12500.7 ; 13.2143 ; timeToSolveWatch ; 18459.4 ; 18459.4 ;
correctionTimer ; 238.257 ; 2.83639 ; setSolutionTimer ; 15.4937 ; 0.184449 ; cycleWatch ; 18167.8 ; 1297.7 ; setupWatch ; 128.433 ; 128.433 ; restrictionTimer ; 1188.31 ; 14.1466 ; preSmoothTimer ; 3940 ; 46.9047 ; upResidualTimer ; 2042.86 ; 24.3198 ; postSmoothTimer ; 3953.69 ; 47.0677 ; commTimer ; 12962.9 ; 13.7028 ; timeToSolveWatch ; 18458.9 ; 18458.9 ;
correctionTimer ; 239.412 ; 2.85014 ; setSolutionTimer ; 18.4412 ; 0.219539 ; cycleWatch ; 18199.1 ; 1299.94 ; setupWatch ; 139.08 ; 139.08 ; restrictionTimer ; 1188.34 ; 14.1469 ; preSmoothTimer ; 3920.01 ; 46.6667 ; upResidualTimer ; 2087.81 ; 24.8549 ; postSmoothTimer ; 3984.27 ; 47.4318 ; commTimer ; 13060.5 ; 13.806 ; timeToSolveWatch ; 18458.9 ; 18458.9 ;
correctionTimer ; 237.965 ; 2.83292 ; setSolutionTimer ; 16.5031 ; 0.196466 ; cycleWatch ; 18222.1 ; 1301.58 ; setupWatch ; 126.618 ; 126.618 ; restrictionTimer ; 1157.1 ; 13.775 ; preSmoothTimer ; 3989.06 ; 47.4888 ; upResidualTimer ; 2061.58 ; 24.5426 ; postSmoothTimer ; 3995.83 ; 47.5694 ; commTimer ; 13064.5 ; 13.8103 ; timeToSolveWatch ; 18458.9 ; 18458.9 ;
correctionTimer ; 237.91 ; 2.83227 ; setSolutionTimer ; 15.5865 ; 0.185553 ; cycleWatch ; 18236.5 ; 1302.61 ; setupWatch ; 128.167 ; 128.167 ; restrictionTimer ; 1153.43 ; 13.7313 ; preSmoothTimer ; 3989.88 ; 47.4985 ; upResidualTimer ; 2071.27 ; 24.6579 ; postSmoothTimer ; 4012.81 ; 47.7716 ; commTimer ; 13080.8 ; 13.8275 ; timeToSolveWatch ; 18458.9 ; 18458.9 ;
correctionTimer ; 239.933 ; 2.85634 ; setSolutionTimer ; 16.538 ; 0.196881 ; cycleWatch ; 18223.7 ; 1301.69 ; setupWatch ; 129.352 ; 129.352 ; restrictionTimer ; 1153.05 ; 13.7268 ; preSmoothTimer ; 3967.46 ; 47.2317 ; upResidualTimer ; 2088.61 ; 24.8644 ; postSmoothTimer ; 3994.63 ; 47.5551 ; commTimer ; 13187.5 ; 13.9403 ; timeToSolveWatch ; 18458.9 ; 18458.9 ;
correctionTimer ; 240.211 ; 2.85965 ; setSolutionTimer ; 15.6233 ; 0.185991 ; cycleWatch ; 18214.6 ; 1301.04 ; setupWatch ; 136.919 ; 136.919 ; restrictionTimer ; 1163.89 ; 13.8559 ; preSmoothTimer ; 3993.91 ; 47.5465 ; upResidualTimer ; 2068.41 ; 24.624 ; postSmoothTimer ; 3988.13 ; 47.4778 ; commTimer ; 13125.8 ; 13.8751 ; timeToSolveWatch ; 18458.9 ; 18458.9 ;
correctionTimer ; 238.873 ; 2.84373 ; setSolutionTimer ; 17.7077 ; 0.210806 ; cycleWatch ; 18217.4 ; 1301.24 ; setupWatch ; 127.609 ; 127.609 ; restrictionTimer ; 1158.57 ; 13.7925 ; preSmoothTimer ; 3987.08 ; 47.4653 ; upResidualTimer ; 2094.92 ; 24.9395 ; postSmoothTimer ; 4006.58 ; 47.6974 ; commTimer ; 13173.1 ; 13.925 ; timeToSolveWatch ; 18458.9 ; 18458.9 ;
correctionTimer ; 241.035 ; 2.86947 ; setSolutionTimer ; 17.0708 ; 0.203224 ; cycleWatch ; 18204.7 ; 1300.34 ; setupWatch ; 126.305 ; 126.305 ; restrictionTimer ; 1187.36 ; 14.1353 ; preSmoothTimer ; 3970.63 ; 47.2694 ; upResidualTimer ; 2084.4 ; 24.8143 ; postSmoothTimer ; 3991.69 ; 47.5201 ; commTimer ; 13081.6 ; 13.8283 ; timeToSolveWatch ; 18458.9 ; 18458.9 ;
correctionTimer ; 240.88 ; 2.86762 ; setSolutionTimer ; 18.5615 ; 0.220971 ; cycleWatch ; 18191.6 ; 1299.4 ; setupWatch ; 129.602 ; 129.602 ; restrictionTimer ; 1212.95 ; 14.4399 ; preSmoothTimer ; 3996.37 ; 47.5759 ; upResidualTimer ; 2043.99 ; 24.3333 ; postSmoothTimer ; 3971.89 ; 47.2844 ; commTimer ; 13074.9 ; 13.8213 ; timeToSolveWatch ; 18458.9 ; 18458.9 ;
correctionTimer ; 238.357 ; 2.83758 ; setSolutionTimer ; 16.3896 ; 0.195114 ; cycleWatch ; 18187.8 ; 1299.13 ; setupWatch ; 127.709 ; 127.709 ; restrictionTimer ; 1119.81 ; 13.331 ; preSmoothTimer ; 4005.88 ; 47.6891 ; upResidualTimer ; 2110.23 ; 25.1218 ; postSmoothTimer ; 3982.94 ; 47.4159 ; commTimer ; 13046.3 ; 13.791 ; timeToSolveWatch ; 18458.9 ; 18458.9 ;
