correctionTimer ; 122.366 ; 2.54929 ; setSolutionTimer ; 3.55976 ; 0.0741616 ; cycleWatch ; 4746 ; 593.25 ; setupWatch ; 89.2767 ; 89.2767 ; restrictionTimer ; 177.572 ; 3.69941 ; preSmoothTimer ; 1869.09 ; 38.9393 ; upResidualTimer ; 326.95 ; 6.81147 ; postSmoothTimer ; 1847.06 ; 38.4804 ; commTimer ; 2408.33 ; 2.88769 ; timeToSolveWatch ; 4879.46 ; 4879.46 ;
correctionTimer ; 128.516 ; 2.67741 ; setSolutionTimer ; 3.74927 ; 0.0781098 ; cycleWatch ; 4753.38 ; 594.172 ; setupWatch ; 89.8721 ; 89.8721 ; restrictionTimer ; 175.032 ; 3.64651 ; preSmoothTimer ; 1877.94 ; 39.1237 ; upResidualTimer ; 324.772 ; 6.76609 ; postSmoothTimer ; 1844.81 ; 38.4335 ; commTimer ; 2388.57 ; 2.86399 ; timeToSolveWatch ; 4879.09 ; 4879.09 ;
correctionTimer ; 128.54 ; 2.67792 ; setSolutionTimer ; 3.73254 ; 0.0777613 ; cycleWatch ; 4753.8 ; 594.226 ; setupWatch ; 88.9374 ; 88.9374 ; restrictionTimer ; 175.687 ; 3.66015 ; preSmoothTimer ; 1875.4 ; 39.0708 ; upResidualTimer ; 327.159 ; 6.81581 ; postSmoothTimer ; 1843.05 ; 38.3968 ; commTimer ; 2399.87 ; 2.87754 ; timeToSolveWatch ; 4879.09 ; 4879.09 ;
correctionTimer ; 128.538 ; 2.67788 ; setSolutionTimer ; 3.8074 ; 0.0793209 ; cycleWatch ; 4752.1 ; 594.013 ; setupWatch ; 88.9234 ; 88.9234 ; restrictionTimer ; 174.496 ; 3.63532 ; preSmoothTimer ; 1875.86 ; 39.0804 ; upResidualTimer ; 327.592 ; 6.82484 ; postSmoothTimer ; 1842.87 ; 38.3932 ; commTimer ; 2397.25 ; 2.8744 ; timeToSolveWatch ; 4879.09 ; 4879.09 ;
correctionTimer ; 128.558 ; 2.6783 ; setSolutionTimer ; 3.96242 ; 0.0825505 ; cycleWatch ; 4752.78 ; 594.098 ; setupWatch ; 89.6659 ; 89.6659 ; restrictionTimer ; 177.493 ; 3.69776 ; preSmoothTimer ; 1874.8 ; 39.0582 ; upResidualTimer ; 325.678 ; 6.78496 ; postSmoothTimer ; 1843.09 ; 38.3977 ; commTimer ; 2395.75 ; 2.8726 ; timeToSolveWatch ; 4879.09 ; 4879.09 ;
correctionTimer ; 128.563 ; 2.6784 ; setSolutionTimer ; 3.85409 ; 0.0802936 ; cycleWatch ; 4757.09 ; 594.636 ; setupWatch ; 88.9484 ; 88.9484 ; restrictionTimer ; 178.072 ; 3.70983 ; preSmoothTimer ; 1872.88 ; 39.0183 ; upResidualTimer ; 326.946 ; 6.81137 ; postSmoothTimer ; 1845.54 ; 38.4488 ; commTimer ; 2404.27 ; 2.88281 ; timeToSolveWatch ; 4879.09 ; 4879.09 ;
correctionTimer ; 128.589 ; 2.67895 ; setSolutionTimer ; 3.66184 ; 0.0762883 ; cycleWatch ; 4759.69 ; 594.961 ; setupWatch ; 89.6548 ; 89.6548 ; restrictionTimer ; 175.489 ; 3.65603 ; preSmoothTimer ; 1874.03 ; 39.0423 ; upResidualTimer ; 328.845 ; 6.85094 ; postSmoothTimer ; 1848.3 ; 38.5063 ; commTimer ; 2417.92 ; 2.89919 ; timeToSolveWatch ; 4879.09 ; 4879.09 ;
correctionTimer ; 128.588 ; 2.67891 ; setSolutionTimer ; 3.61116 ; 0.0752325 ; cycleWatch ; 4762.19 ; 595.274 ; setupWatch ; 89.1227 ; 89.1227 ; restrictionTimer ; 173.456 ; 3.61366 ; preSmoothTimer ; 1874.98 ; 39.0622 ; upResidualTimer ; 329.782 ; 6.87046 ; postSmoothTimer ; 1852.07 ; 38.5849 ; commTimer ; 2433.86 ; 2.9183 ; timeToSolveWatch ; 4879.09 ; 4879.09 ;
correctionTimer ; 128.552 ; 2.67817 ; setSolutionTimer ; 3.67039 ; 0.0764665 ; cycleWatch ; 4763.75 ; 595.469 ; setupWatch ; 88.9943 ; 88.9943 ; restrictionTimer ; 175.708 ; 3.66058 ; preSmoothTimer ; 1874.52 ; 39.0524 ; upResidualTimer ; 327.923 ; 6.83174 ; postSmoothTimer ; 1854.53 ; 38.636 ; commTimer ; 2433.2 ; 2.91751 ; timeToSolveWatch ; 4879.09 ; 4879.09 ;
correctionTimer ; 128.576 ; 2.67867 ; setSolutionTimer ; 3.77922 ; 0.0787337 ; cycleWatch ; 4765.35 ; 595.668 ; setupWatch ; 89.0766 ; 89.0766 ; restrictionTimer ; 175.264 ; 3.65134 ; preSmoothTimer ; 1875.34 ; 39.0696 ; upResidualTimer ; 327.272 ; 6.81818 ; postSmoothTimer ; 1855.27 ; 38.6514 ; commTimer ; 2428.75 ; 2.91217 ; timeToSolveWatch ; 4879.09 ; 4879.09 ;
correctionTimer ; 128.529 ; 2.67769 ; setSolutionTimer ; 3.86523 ; 0.0805255 ; cycleWatch ; 4763.08 ; 595.385 ; setupWatch ; 89.4479 ; 89.4479 ; restrictionTimer ; 178.902 ; 3.72712 ; preSmoothTimer ; 1871.78 ; 38.9954 ; upResidualTimer ; 327.023 ; 6.81299 ; postSmoothTimer ; 1853.84 ; 38.6217 ; commTimer ; 2433.9 ; 2.91834 ; timeToSolveWatch ; 4879.09 ; 4879.09 ;
