correctionTimer ; 163.699 ; 3.03147 ; setSolutionTimer ; 20.684 ; 0.383038 ; cycleWatch ; 17019.1 ; 1891.01 ; setupWatch ; 97.449 ; 97.449 ; restrictionTimer ; 900.743 ; 16.6804 ; preSmoothTimer ; 4539.92 ; 84.0725 ; upResidualTimer ; 1530.57 ; 28.3439 ; postSmoothTimer ; 4534.88 ; 83.9793 ; commTimer ; 13340 ; 20.7144 ; timeToSolveWatch ; 17287.2 ; 17287.2 ;
correctionTimer ; 163.771 ; 3.0328 ; setSolutionTimer ; 21.9958 ; 0.407329 ; cycleWatch ; 17034.2 ; 1892.69 ; setupWatch ; 96.6775 ; 96.6775 ; restrictionTimer ; 898.771 ; 16.6439 ; preSmoothTimer ; 4549.47 ; 84.2494 ; upResidualTimer ; 1536.51 ; 28.4539 ; postSmoothTimer ; 4538.05 ; 84.038 ; commTimer ; 13517.5 ; 20.99 ; timeToSolveWatch ; 17286.8 ; 17286.8 ;
correctionTimer ; 162.807 ; 3.01494 ; setSolutionTimer ; 20.3562 ; 0.376967 ; cycleWatch ; 17041 ; 1893.44 ; setupWatch ; 95.0839 ; 95.0839 ; restrictionTimer ; 889.99 ; 16.4813 ; preSmoothTimer ; 4566.63 ; 84.5673 ; upResidualTimer ; 1528.41 ; 28.3039 ; postSmoothTimer ; 4542.75 ; 84.1249 ; commTimer ; 13490.4 ; 20.9479 ; timeToSolveWatch ; 17286.8 ; 17286.8 ;
correctionTimer ; 160.419 ; 2.97071 ; setSolutionTimer ; 22.7928 ; 0.422089 ; cycleWatch ; 17024.7 ; 1891.63 ; setupWatch ; 98.6607 ; 98.6607 ; restrictionTimer ; 906.184 ; 16.7812 ; preSmoothTimer ; 4535.93 ; 83.9988 ; upResidualTimer ; 1535.34 ; 28.4322 ; postSmoothTimer ; 4511.84 ; 83.5526 ; commTimer ; 13211.4 ; 20.5145 ; timeToSolveWatch ; 17286.8 ; 17286.8 ;
correctionTimer ; 166.806 ; 3.089 ; setSolutionTimer ; 28.0544 ; 0.519526 ; cycleWatch ; 17049.8 ; 1894.42 ; setupWatch ; 95.5566 ; 95.5566 ; restrictionTimer ; 912.846 ; 16.9045 ; preSmoothTimer ; 4529.6 ; 83.8815 ; upResidualTimer ; 1547.2 ; 28.6519 ; postSmoothTimer ; 4556.43 ; 84.3783 ; commTimer ; 13581.8 ; 21.0898 ; timeToSolveWatch ; 17286.8 ; 17286.8 ;
correctionTimer ; 168.802 ; 3.12597 ; setSolutionTimer ; 27.3086 ; 0.505714 ; cycleWatch ; 17064.9 ; 1896.1 ; setupWatch ; 96.5426 ; 96.5426 ; restrictionTimer ; 892.132 ; 16.521 ; preSmoothTimer ; 4561.53 ; 84.4729 ; upResidualTimer ; 1550.18 ; 28.7071 ; postSmoothTimer ; 4560.93 ; 84.4616 ; commTimer ; 13726.9 ; 21.3151 ; timeToSolveWatch ; 17286.8 ; 17286.8 ;
correctionTimer ; 167.754 ; 3.10656 ; setSolutionTimer ; 28.0959 ; 0.520295 ; cycleWatch ; 17067.1 ; 1896.35 ; setupWatch ; 97.2705 ; 97.2705 ; restrictionTimer ; 888.928 ; 16.4616 ; preSmoothTimer ; 4564.91 ; 84.5353 ; upResidualTimer ; 1553.07 ; 28.7605 ; postSmoothTimer ; 4565.3 ; 84.5426 ; commTimer ; 13731.3 ; 21.322 ; timeToSolveWatch ; 17286.8 ; 17286.8 ;
correctionTimer ; 166.52 ; 3.0837 ; setSolutionTimer ; 27.5044 ; 0.509341 ; cycleWatch ; 17050.4 ; 1894.49 ; setupWatch ; 99.4392 ; 99.4392 ; restrictionTimer ; 898.456 ; 16.6381 ; preSmoothTimer ; 4543.54 ; 84.1396 ; upResidualTimer ; 1556.73 ; 28.8283 ; postSmoothTimer ; 4538.86 ; 84.0529 ; commTimer ; 13479.2 ; 20.9304 ; timeToSolveWatch ; 17286.8 ; 17286.8 ;
correctionTimer ; 168.123 ; 3.11339 ; setSolutionTimer ; 30.2318 ; 0.559848 ; cycleWatch ; 17061.1 ; 1895.68 ; setupWatch ; 96.5005 ; 96.5005 ; restrictionTimer ; 896.116 ; 16.5947 ; preSmoothTimer ; 4543.33 ; 84.1358 ; upResidualTimer ; 1555.84 ; 28.8118 ; postSmoothTimer ; 4560.75 ; 84.4584 ; commTimer ; 13611.4 ; 21.1357 ; timeToSolveWatch ; 17286.8 ; 17286.8 ;
correctionTimer ; 166.282 ; 3.07929 ; setSolutionTimer ; 29.4583 ; 0.545525 ; cycleWatch ; 17076.2 ; 1897.35 ; setupWatch ; 98.5138 ; 98.5138 ; restrictionTimer ; 891.319 ; 16.5059 ; preSmoothTimer ; 4542.55 ; 84.1212 ; upResidualTimer ; 1571.8 ; 29.1074 ; postSmoothTimer ; 4576.49 ; 84.7499 ; commTimer ; 13784.1 ; 21.4039 ; timeToSolveWatch ; 17286.8 ; 17286.8 ;
correctionTimer ; 169.546 ; 3.13973 ; setSolutionTimer ; 26.9232 ; 0.498578 ; cycleWatch ; 17072.9 ; 1896.99 ; setupWatch ; 95.9936 ; 95.9936 ; restrictionTimer ; 885.818 ; 16.404 ; preSmoothTimer ; 4557.81 ; 84.4038 ; upResidualTimer ; 1567.35 ; 29.0249 ; postSmoothTimer ; 4569.76 ; 84.6251 ; commTimer ; 13746.1 ; 21.3449 ; timeToSolveWatch ; 17286.8 ; 17286.8 ;
