correctionTimer ; 258.195 ; 3.07376 ; setSolutionTimer ; 40.8961 ; 0.486858 ; cycleWatch ; 21441 ; 1531.5 ; setupWatch ; 126.787 ; 126.787 ; restrictionTimer ; 1462.1 ; 17.4059 ; preSmoothTimer ; 4689.55 ; 55.828 ; upResidualTimer ; 2570.18 ; 30.5973 ; postSmoothTimer ; 4682.76 ; 55.7471 ; commTimer ; 15775.1 ; 16.6756 ; timeToSolveWatch ; 21843.9 ; 21843.9 ;
correctionTimer ; 256.65 ; 3.05536 ; setSolutionTimer ; 38.6434 ; 0.46004 ; cycleWatch ; 21463.4 ; 1533.1 ; setupWatch ; 130.485 ; 130.485 ; restrictionTimer ; 1464.37 ; 17.433 ; preSmoothTimer ; 4685.7 ; 55.7821 ; upResidualTimer ; 2596.02 ; 30.905 ; postSmoothTimer ; 4699.97 ; 55.952 ; commTimer ; 16012 ; 16.926 ; timeToSolveWatch ; 21843.2 ; 21843.2 ;
correctionTimer ; 258.811 ; 3.08108 ; setSolutionTimer ; 38.3108 ; 0.456081 ; cycleWatch ; 21462.7 ; 1533.05 ; setupWatch ; 130.632 ; 130.632 ; restrictionTimer ; 1443.9 ; 17.1893 ; preSmoothTimer ; 4710.29 ; 56.0749 ; upResidualTimer ; 2586.28 ; 30.7891 ; postSmoothTimer ; 4700.06 ; 55.9531 ; commTimer ; 16028.2 ; 16.9431 ; timeToSolveWatch ; 21843.2 ; 21843.2 ;
correctionTimer ; 256.312 ; 3.05134 ; setSolutionTimer ; 37.6149 ; 0.447797 ; cycleWatch ; 21438 ; 1531.29 ; setupWatch ; 130.333 ; 130.333 ; restrictionTimer ; 1429.49 ; 17.0178 ; preSmoothTimer ; 4723.45 ; 56.2316 ; upResidualTimer ; 2578.14 ; 30.6922 ; postSmoothTimer ; 4683.25 ; 55.753 ; commTimer ; 15647.7 ; 16.5409 ; timeToSolveWatch ; 21843.2 ; 21843.2 ;
correctionTimer ; 270.839 ; 3.22427 ; setSolutionTimer ; 50.445 ; 0.600536 ; cycleWatch ; 21500.9 ; 1535.78 ; setupWatch ; 132.455 ; 132.455 ; restrictionTimer ; 1450.64 ; 17.2695 ; preSmoothTimer ; 4758.61 ; 56.6502 ; upResidualTimer ; 2545.69 ; 30.3059 ; postSmoothTimer ; 4726.16 ; 56.2638 ; commTimer ; 16078.3 ; 16.9961 ; timeToSolveWatch ; 21843.2 ; 21843.2 ;
correctionTimer ; 268.704 ; 3.19886 ; setSolutionTimer ; 49.4345 ; 0.588506 ; cycleWatch ; 21521.6 ; 1537.26 ; setupWatch ; 131.11 ; 131.11 ; restrictionTimer ; 1449.91 ; 17.2609 ; preSmoothTimer ; 4767.74 ; 56.7588 ; upResidualTimer ; 2555.15 ; 30.4184 ; postSmoothTimer ; 4749.96 ; 56.5472 ; commTimer ; 16337.9 ; 17.2705 ; timeToSolveWatch ; 21843.2 ; 21843.2 ;
correctionTimer ; 268.028 ; 3.19081 ; setSolutionTimer ; 48.502 ; 0.577404 ; cycleWatch ; 21513.4 ; 1536.67 ; setupWatch ; 132.503 ; 132.503 ; restrictionTimer ; 1440.85 ; 17.153 ; preSmoothTimer ; 4763.51 ; 56.7084 ; upResidualTimer ; 2556.36 ; 30.4329 ; postSmoothTimer ; 4745.54 ; 56.4946 ; commTimer ; 16318.3 ; 17.2498 ; timeToSolveWatch ; 21843.2 ; 21843.2 ;
correctionTimer ; 265.738 ; 3.16355 ; setSolutionTimer ; 50.7408 ; 0.604058 ; cycleWatch ; 21484.6 ; 1534.61 ; setupWatch ; 127.298 ; 127.298 ; restrictionTimer ; 1425.14 ; 16.966 ; preSmoothTimer ; 4759.63 ; 56.6622 ; upResidualTimer ; 2570.68 ; 30.6033 ; postSmoothTimer ; 4722.8 ; 56.2238 ; commTimer ; 15949.2 ; 16.8597 ; timeToSolveWatch ; 21843.2 ; 21843.2 ;
correctionTimer ; 267.163 ; 3.18052 ; setSolutionTimer ; 52.5845 ; 0.626006 ; cycleWatch ; 21520.4 ; 1537.17 ; setupWatch ; 127.576 ; 127.576 ; restrictionTimer ; 1471.95 ; 17.5233 ; preSmoothTimer ; 4776.59 ; 56.8642 ; upResidualTimer ; 2530.07 ; 30.1199 ; postSmoothTimer ; 4757.04 ; 56.6315 ; commTimer ; 16153 ; 17.0751 ; timeToSolveWatch ; 21843.2 ; 21843.2 ;
correctionTimer ; 270.008 ; 3.21438 ; setSolutionTimer ; 49.768 ; 0.592476 ; cycleWatch ; 21544.5 ; 1538.89 ; setupWatch ; 128.151 ; 128.151 ; restrictionTimer ; 1453.21 ; 17.3001 ; preSmoothTimer ; 4791.94 ; 57.0469 ; upResidualTimer ; 2548.96 ; 30.3448 ; postSmoothTimer ; 4777.13 ; 56.8706 ; commTimer ; 16385.6 ; 17.3209 ; timeToSolveWatch ; 21843.2 ; 21843.2 ;
correctionTimer ; 271.17 ; 3.22821 ; setSolutionTimer ; 48.147 ; 0.573178 ; cycleWatch ; 21531.6 ; 1537.97 ; setupWatch ; 129.407 ; 129.407 ; restrictionTimer ; 1434.07 ; 17.0722 ; preSmoothTimer ; 4782.17 ; 56.9306 ; upResidualTimer ; 2569.84 ; 30.5933 ; postSmoothTimer ; 4759.93 ; 56.6658 ; commTimer ; 16374.9 ; 17.3096 ; timeToSolveWatch ; 21843.2 ; 21843.2 ;
