correctionTimer ; 128.953 ; 2.68651 ; setSolutionTimer ; 5.9704 ; 0.124383 ; cycleWatch ; 11333.8 ; 1416.73 ; setupWatch ; 93.1517 ; 93.1517 ; restrictionTimer ; 424.994 ; 8.85405 ; preSmoothTimer ; 4338.57 ; 90.3869 ; upResidualTimer ; 724.95 ; 15.1031 ; postSmoothTimer ; 4289.48 ; 89.3641 ; commTimer ; 8770.79 ; 10.5165 ; timeToSolveWatch ; 11506 ; 11506 ;
correctionTimer ; 129.835 ; 2.70489 ; setSolutionTimer ; 5.8619 ; 0.122123 ; cycleWatch ; 11359 ; 1419.87 ; setupWatch ; 88.4668 ; 88.4668 ; restrictionTimer ; 415.948 ; 8.66558 ; preSmoothTimer ; 4344.94 ; 90.5196 ; upResidualTimer ; 736.466 ; 15.3431 ; postSmoothTimer ; 4313.11 ; 89.8564 ; commTimer ; 8716.15 ; 10.451 ; timeToSolveWatch ; 11505.6 ; 11505.6 ;
correctionTimer ; 128.926 ; 2.68595 ; setSolutionTimer ; 6.10985 ; 0.127289 ; cycleWatch ; 11363.8 ; 1420.47 ; setupWatch ; 91.8169 ; 91.8169 ; restrictionTimer ; 424.159 ; 8.83665 ; preSmoothTimer ; 4348.78 ; 90.5995 ; upResidualTimer ; 733.855 ; 15.2886 ; postSmoothTimer ; 4311.63 ; 89.8257 ; commTimer ; 8774.57 ; 10.5211 ; timeToSolveWatch ; 11505.6 ; 11505.6 ;
correctionTimer ; 129.043 ; 2.68839 ; setSolutionTimer ; 6.55179 ; 0.136496 ; cycleWatch ; 11381.8 ; 1422.73 ; setupWatch ; 91.8112 ; 91.8112 ; restrictionTimer ; 424.77 ; 8.84937 ; preSmoothTimer ; 4344.7 ; 90.5146 ; upResidualTimer ; 736.961 ; 15.3533 ; postSmoothTimer ; 4332.99 ; 90.2705 ; commTimer ; 8766.04 ; 10.5108 ; timeToSolveWatch ; 11505.6 ; 11505.6 ;
correctionTimer ; 129.208 ; 2.69184 ; setSolutionTimer ; 6.20986 ; 0.129372 ; cycleWatch ; 11390.6 ; 1423.82 ; setupWatch ; 90.4937 ; 90.4937 ; restrictionTimer ; 428.249 ; 8.92184 ; preSmoothTimer ; 4338.53 ; 90.386 ; upResidualTimer ; 744.646 ; 15.5135 ; postSmoothTimer ; 4331.8 ; 90.2457 ; commTimer ; 8768.7 ; 10.514 ; timeToSolveWatch ; 11505.6 ; 11505.6 ;
correctionTimer ; 129.003 ; 2.68755 ; setSolutionTimer ; 5.90738 ; 0.123071 ; cycleWatch ; 11393.9 ; 1424.24 ; setupWatch ; 94.4789 ; 94.4789 ; restrictionTimer ; 427.226 ; 8.90053 ; preSmoothTimer ; 4339.55 ; 90.4072 ; upResidualTimer ; 745.222 ; 15.5255 ; postSmoothTimer ; 4335.65 ; 90.3261 ; commTimer ; 8761.9 ; 10.5059 ; timeToSolveWatch ; 11505.6 ; 11505.6 ;
correctionTimer ; 129.939 ; 2.70707 ; setSolutionTimer ; 5.83789 ; 0.121623 ; cycleWatch ; 11377 ; 1422.12 ; setupWatch ; 89.5711 ; 89.5711 ; restrictionTimer ; 415.176 ; 8.64951 ; preSmoothTimer ; 4364.29 ; 90.9227 ; upResidualTimer ; 731.18 ; 15.2329 ; postSmoothTimer ; 4339.44 ; 90.4049 ; commTimer ; 8706.75 ; 10.4397 ; timeToSolveWatch ; 11505.6 ; 11505.6 ;
correctionTimer ; 128.166 ; 2.67013 ; setSolutionTimer ; 5.88896 ; 0.122687 ; cycleWatch ; 11339.5 ; 1417.43 ; setupWatch ; 92.2699 ; 92.2699 ; restrictionTimer ; 430.441 ; 8.96752 ; preSmoothTimer ; 4346.78 ; 90.5579 ; upResidualTimer ; 733.271 ; 15.2765 ; postSmoothTimer ; 4286.67 ; 89.3057 ; commTimer ; 8848.8 ; 10.6101 ; timeToSolveWatch ; 11505.6 ; 11505.6 ;
correctionTimer ; 132.007 ; 2.75014 ; setSolutionTimer ; 6.76008 ; 0.140835 ; cycleWatch ; 11346.5 ; 1418.31 ; setupWatch ; 94.4824 ; 94.4824 ; restrictionTimer ; 425.951 ; 8.87398 ; preSmoothTimer ; 4348.31 ; 90.5898 ; upResidualTimer ; 725.949 ; 15.1239 ; postSmoothTimer ; 4294.32 ; 89.4651 ; commTimer ; 8723.5 ; 10.4598 ; timeToSolveWatch ; 11505.6 ; 11505.6 ;
correctionTimer ; 132.586 ; 2.7622 ; setSolutionTimer ; 6.70285 ; 0.139643 ; cycleWatch ; 11367.8 ; 1420.97 ; setupWatch ; 94.4824 ; 94.4824 ; restrictionTimer ; 419.033 ; 8.72985 ; preSmoothTimer ; 4349.03 ; 90.6048 ; upResidualTimer ; 736.513 ; 15.344 ; postSmoothTimer ; 4320.62 ; 90.0129 ; commTimer ; 8651.83 ; 10.3739 ; timeToSolveWatch ; 11505.6 ; 11505.6 ;
correctionTimer ; 131.618 ; 2.74204 ; setSolutionTimer ; 6.81787 ; 0.142039 ; cycleWatch ; 11370.3 ; 1421.29 ; setupWatch ; 92.7791 ; 92.7791 ; restrictionTimer ; 425.769 ; 8.87018 ; preSmoothTimer ; 4352.99 ; 90.6873 ; upResidualTimer ; 735.602 ; 15.325 ; postSmoothTimer ; 4317.46 ; 89.947 ; commTimer ; 8727.38 ; 10.4645 ; timeToSolveWatch ; 11505.6 ; 11505.6 ;
