correctionTimer ; 224.713 ; 2.67516 ; setSolutionTimer ; 10.4348 ; 0.124224 ; cycleWatch ; 9890.72 ; 706.48 ; setupWatch ; 120.449 ; 120.449 ; restrictionTimer ; 730.419 ; 8.69547 ; preSmoothTimer ; 2698.74 ; 32.1279 ; upResidualTimer ; 1248.85 ; 14.8673 ; postSmoothTimer ; 2693.51 ; 32.0656 ; commTimer ; 6545.46 ; 6.91909 ; timeToSolveWatch ; 10130 ; 10130 ;
correctionTimer ; 225.789 ; 2.68796 ; setSolutionTimer ; 10.4823 ; 0.124789 ; cycleWatch ; 9901.29 ; 707.235 ; setupWatch ; 120.45 ; 120.45 ; restrictionTimer ; 731.405 ; 8.7072 ; preSmoothTimer ; 2703.01 ; 32.1787 ; upResidualTimer ; 1250.84 ; 14.8909 ; postSmoothTimer ; 2690.75 ; 32.0328 ; commTimer ; 6518.24 ; 6.89032 ; timeToSolveWatch ; 10129.6 ; 10129.6 ;
correctionTimer ; 228.76 ; 2.72334 ; setSolutionTimer ; 10.9651 ; 0.130537 ; cycleWatch ; 9910.62 ; 707.901 ; setupWatch ; 115.053 ; 115.053 ; restrictionTimer ; 732.704 ; 8.72266 ; preSmoothTimer ; 2715.82 ; 32.3312 ; upResidualTimer ; 1250.68 ; 14.889 ; postSmoothTimer ; 2702.35 ; 32.1709 ; commTimer ; 6782.97 ; 7.17015 ; timeToSolveWatch ; 10129.6 ; 10129.6 ;
correctionTimer ; 230.227 ; 2.74079 ; setSolutionTimer ; 11.084 ; 0.131952 ; cycleWatch ; 9913.81 ; 708.129 ; setupWatch ; 115.956 ; 115.956 ; restrictionTimer ; 735.169 ; 8.75201 ; preSmoothTimer ; 2717.92 ; 32.3562 ; upResidualTimer ; 1247.12 ; 14.8466 ; postSmoothTimer ; 2698.29 ; 32.1225 ; commTimer ; 6759.33 ; 7.14516 ; timeToSolveWatch ; 10129.6 ; 10129.6 ;
correctionTimer ; 228.64 ; 2.72191 ; setSolutionTimer ; 10.5442 ; 0.125526 ; cycleWatch ; 9907.69 ; 707.692 ; setupWatch ; 114.77 ; 114.77 ; restrictionTimer ; 733.925 ; 8.7372 ; preSmoothTimer ; 2715.29 ; 32.3248 ; upResidualTimer ; 1251.73 ; 14.9015 ; postSmoothTimer ; 2700.17 ; 32.1449 ; commTimer ; 6725.59 ; 7.1095 ; timeToSolveWatch ; 10129.6 ; 10129.6 ;
correctionTimer ; 230.425 ; 2.74316 ; setSolutionTimer ; 11.9099 ; 0.141785 ; cycleWatch ; 9910.04 ; 707.86 ; setupWatch ; 116.93 ; 116.93 ; restrictionTimer ; 733.469 ; 8.73178 ; preSmoothTimer ; 2718.82 ; 32.367 ; upResidualTimer ; 1248.97 ; 14.8687 ; postSmoothTimer ; 2697.54 ; 32.1136 ; commTimer ; 6682.7 ; 7.06416 ; timeToSolveWatch ; 10129.6 ; 10129.6 ;
correctionTimer ; 228.683 ; 2.72242 ; setSolutionTimer ; 10.9159 ; 0.129951 ; cycleWatch ; 9900.61 ; 707.187 ; setupWatch ; 117.135 ; 117.135 ; restrictionTimer ; 735.965 ; 8.76149 ; preSmoothTimer ; 2716.56 ; 32.34 ; upResidualTimer ; 1249.77 ; 14.8782 ; postSmoothTimer ; 2697.26 ; 32.1102 ; commTimer ; 6723.3 ; 7.10708 ; timeToSolveWatch ; 10129.6 ; 10129.6 ;
correctionTimer ; 230.75 ; 2.74702 ; setSolutionTimer ; 11.3557 ; 0.135187 ; cycleWatch ; 9904.37 ; 707.455 ; setupWatch ; 117.146 ; 117.146 ; restrictionTimer ; 730.142 ; 8.69216 ; preSmoothTimer ; 2717.2 ; 32.3477 ; upResidualTimer ; 1256.49 ; 14.9582 ; postSmoothTimer ; 2695.39 ; 32.088 ; commTimer ; 6689.59 ; 7.07144 ; timeToSolveWatch ; 10129.6 ; 10129.6 ;
correctionTimer ; 228.624 ; 2.72171 ; setSolutionTimer ; 11.2161 ; 0.133525 ; cycleWatch ; 9898 ; 707 ; setupWatch ; 119.365 ; 119.365 ; restrictionTimer ; 729.129 ; 8.68011 ; preSmoothTimer ; 2722.82 ; 32.4146 ; upResidualTimer ; 1253.71 ; 14.9252 ; postSmoothTimer ; 2695.21 ; 32.0858 ; commTimer ; 6723.63 ; 7.10743 ; timeToSolveWatch ; 10129.6 ; 10129.6 ;
correctionTimer ; 229.34 ; 2.73024 ; setSolutionTimer ; 11.3327 ; 0.134914 ; cycleWatch ; 9900.98 ; 707.213 ; setupWatch ; 118.181 ; 118.181 ; restrictionTimer ; 731.016 ; 8.70257 ; preSmoothTimer ; 2723.32 ; 32.4204 ; upResidualTimer ; 1252.73 ; 14.9135 ; postSmoothTimer ; 2693.09 ; 32.0606 ; commTimer ; 6684.69 ; 7.06627 ; timeToSolveWatch ; 10129.6 ; 10129.6 ;
correctionTimer ; 228.491 ; 2.72013 ; setSolutionTimer ; 10.906 ; 0.129833 ; cycleWatch ; 9900.84 ; 707.203 ; setupWatch ; 118.007 ; 118.007 ; restrictionTimer ; 735.241 ; 8.75287 ; preSmoothTimer ; 2715.43 ; 32.3265 ; upResidualTimer ; 1253.84 ; 14.9267 ; postSmoothTimer ; 2695.16 ; 32.0853 ; commTimer ; 6723.17 ; 7.10694 ; timeToSolveWatch ; 10129.6 ; 10129.6 ;
