correctionTimer ; 146.61 ; 3.05438 ; setSolutionTimer ; 19.7703 ; 0.411881 ; cycleWatch ; 21799 ; 2724.88 ; setupWatch ; 98.0719 ; 98.0719 ; restrictionTimer ; 746.129 ; 15.5444 ; preSmoothTimer ; 7715.47 ; 160.739 ; upResidualTimer ; 1325.5 ; 27.6146 ; postSmoothTimer ; 7765.5 ; 161.781 ; commTimer ; 17655 ; 21.169 ; timeToSolveWatch ; 21976.9 ; 21976.9 ;
correctionTimer ; 146.364 ; 3.04925 ; setSolutionTimer ; 19.3797 ; 0.403744 ; cycleWatch ; 21806.2 ; 2725.77 ; setupWatch ; 100.708 ; 100.708 ; restrictionTimer ; 765.102 ; 15.9396 ; preSmoothTimer ; 7724.91 ; 160.936 ; upResidualTimer ; 1308.03 ; 27.2506 ; postSmoothTimer ; 7761.03 ; 161.688 ; commTimer ; 17667 ; 21.1834 ; timeToSolveWatch ; 21976.4 ; 21976.4 ;
correctionTimer ; 148.205 ; 3.08761 ; setSolutionTimer ; 19.2517 ; 0.401077 ; cycleWatch ; 21813.2 ; 2726.65 ; setupWatch ; 97.7784 ; 97.7784 ; restrictionTimer ; 738.471 ; 15.3848 ; preSmoothTimer ; 7777.31 ; 162.027 ; upResidualTimer ; 1300.09 ; 27.0852 ; postSmoothTimer ; 7775.46 ; 161.989 ; commTimer ; 17917.9 ; 21.4843 ; timeToSolveWatch ; 21976.4 ; 21976.4 ;
correctionTimer ; 146.915 ; 3.06072 ; setSolutionTimer ; 19.3314 ; 0.402737 ; cycleWatch ; 21816.3 ; 2727.04 ; setupWatch ; 98.3252 ; 98.3252 ; restrictionTimer ; 743.008 ; 15.4793 ; preSmoothTimer ; 7769.3 ; 161.86 ; upResidualTimer ; 1303.61 ; 27.1586 ; postSmoothTimer ; 7769.01 ; 161.854 ; commTimer ; 17935.1 ; 21.5049 ; timeToSolveWatch ; 21976.4 ; 21976.4 ;
correctionTimer ; 145.249 ; 3.02603 ; setSolutionTimer ; 20.4485 ; 0.426011 ; cycleWatch ; 21809.7 ; 2726.21 ; setupWatch ; 96.3547 ; 96.3547 ; restrictionTimer ; 752.997 ; 15.6874 ; preSmoothTimer ; 7746.26 ; 161.38 ; upResidualTimer ; 1318.1 ; 27.4603 ; postSmoothTimer ; 7771.39 ; 161.904 ; commTimer ; 17976.5 ; 21.5545 ; timeToSolveWatch ; 21976.4 ; 21976.4 ;
correctionTimer ; 147.976 ; 3.08283 ; setSolutionTimer ; 18.6272 ; 0.388066 ; cycleWatch ; 21811.1 ; 2726.39 ; setupWatch ; 98.4752 ; 98.4752 ; restrictionTimer ; 743.507 ; 15.4897 ; preSmoothTimer ; 7756.56 ; 161.595 ; upResidualTimer ; 1316.77 ; 27.4328 ; postSmoothTimer ; 7767.69 ; 161.827 ; commTimer ; 17969.3 ; 21.5459 ; timeToSolveWatch ; 21976.4 ; 21976.4 ;
correctionTimer ; 145.847 ; 3.03849 ; setSolutionTimer ; 20.7343 ; 0.431964 ; cycleWatch ; 21797.4 ; 2724.67 ; setupWatch ; 95.1064 ; 95.1064 ; restrictionTimer ; 747.691 ; 15.5769 ; preSmoothTimer ; 7750.28 ; 161.464 ; upResidualTimer ; 1309.53 ; 27.2819 ; postSmoothTimer ; 7752.92 ; 161.519 ; commTimer ; 17760.3 ; 21.2953 ; timeToSolveWatch ; 21976.4 ; 21976.4 ;
correctionTimer ; 144.666 ; 3.01388 ; setSolutionTimer ; 18.6546 ; 0.388637 ; cycleWatch ; 21798.1 ; 2724.77 ; setupWatch ; 97.6485 ; 97.6485 ; restrictionTimer ; 751.368 ; 15.6535 ; preSmoothTimer ; 7748.59 ; 161.429 ; upResidualTimer ; 1308.68 ; 27.2643 ; postSmoothTimer ; 7756.62 ; 161.596 ; commTimer ; 17763.2 ; 21.2988 ; timeToSolveWatch ; 21976.4 ; 21976.4 ;
correctionTimer ; 148.91 ; 3.10228 ; setSolutionTimer ; 22.1756 ; 0.461991 ; cycleWatch ; 21820.1 ; 2727.52 ; setupWatch ; 97.1511 ; 97.1511 ; restrictionTimer ; 778.587 ; 16.2206 ; preSmoothTimer ; 7749.67 ; 161.452 ; upResidualTimer ; 1300.47 ; 27.0932 ; postSmoothTimer ; 7775.03 ; 161.98 ; commTimer ; 17812.7 ; 21.3582 ; timeToSolveWatch ; 21976.4 ; 21976.4 ;
correctionTimer ; 149.396 ; 3.11241 ; setSolutionTimer ; 20.3688 ; 0.424349 ; cycleWatch ; 21817.8 ; 2727.22 ; setupWatch ; 95.7281 ; 95.7281 ; restrictionTimer ; 783.218 ; 16.317 ; preSmoothTimer ; 7744.68 ; 161.347 ; upResidualTimer ; 1303.26 ; 27.1512 ; postSmoothTimer ; 7775 ; 161.979 ; commTimer ; 17809.2 ; 21.354 ; timeToSolveWatch ; 21976.4 ; 21976.4 ;
correctionTimer ; 147.12 ; 3.065 ; setSolutionTimer ; 19.5702 ; 0.407712 ; cycleWatch ; 21830.7 ; 2728.83 ; setupWatch ; 96.4301 ; 96.4301 ; restrictionTimer ; 778.561 ; 16.22 ; preSmoothTimer ; 7771.91 ; 161.915 ; upResidualTimer ; 1294.75 ; 26.9739 ; postSmoothTimer ; 7785.63 ; 162.201 ; commTimer ; 18057.4 ; 21.6515 ; timeToSolveWatch ; 21976.4 ; 21976.4 ;
