correctionTimer ; 255.414 ; 3.04064 ; setSolutionTimer ; 33.5078 ; 0.398902 ; cycleWatch ; 19293 ; 1378.07 ; setupWatch ; 128.899 ; 128.899 ; restrictionTimer ; 1315.63 ; 15.6622 ; preSmoothTimer ; 4360 ; 51.9047 ; upResidualTimer ; 2322.1 ; 27.644 ; postSmoothTimer ; 4328.05 ; 51.5244 ; commTimer ; 14095.7 ; 14.9003 ; timeToSolveWatch ; 19586.9 ; 19586.9 ;
correctionTimer ; 254.278 ; 3.02712 ; setSolutionTimer ; 32.4097 ; 0.38583 ; cycleWatch ; 19300.7 ; 1378.62 ; setupWatch ; 128.97 ; 128.97 ; restrictionTimer ; 1310.12 ; 15.5967 ; preSmoothTimer ; 4402.29 ; 52.4082 ; upResidualTimer ; 2299.05 ; 27.3696 ; postSmoothTimer ; 4337.51 ; 51.637 ; commTimer ; 14070.3 ; 14.8735 ; timeToSolveWatch ; 19586.5 ; 19586.5 ;
correctionTimer ; 254.181 ; 3.02596 ; setSolutionTimer ; 31.6075 ; 0.37628 ; cycleWatch ; 19329.5 ; 1380.68 ; setupWatch ; 125 ; 125 ; restrictionTimer ; 1326.85 ; 15.7958 ; preSmoothTimer ; 4397.04 ; 52.3458 ; upResidualTimer ; 2311.41 ; 27.5168 ; postSmoothTimer ; 4358.81 ; 51.8905 ; commTimer ; 14432.3 ; 15.2561 ; timeToSolveWatch ; 19586.5 ; 19586.5 ;
correctionTimer ; 256.364 ; 3.05196 ; setSolutionTimer ; 30.1196 ; 0.358566 ; cycleWatch ; 19328.1 ; 1380.58 ; setupWatch ; 127.398 ; 127.398 ; restrictionTimer ; 1322.21 ; 15.7406 ; preSmoothTimer ; 4413.21 ; 52.5382 ; upResidualTimer ; 2290.16 ; 27.2638 ; postSmoothTimer ; 4367.33 ; 51.992 ; commTimer ; 14432.4 ; 15.2563 ; timeToSolveWatch ; 19586.5 ; 19586.5 ;
correctionTimer ; 253.03 ; 3.01226 ; setSolutionTimer ; 31.4734 ; 0.374683 ; cycleWatch ; 19339.2 ; 1381.37 ; setupWatch ; 126.466 ; 126.466 ; restrictionTimer ; 1306.81 ; 15.5572 ; preSmoothTimer ; 4402.77 ; 52.414 ; upResidualTimer ; 2326.91 ; 27.7013 ; postSmoothTimer ; 4371.72 ; 52.0443 ; commTimer ; 14545 ; 15.3753 ; timeToSolveWatch ; 19586.5 ; 19586.5 ;
correctionTimer ; 257.147 ; 3.06127 ; setSolutionTimer ; 29.0978 ; 0.346402 ; cycleWatch ; 19335.3 ; 1381.09 ; setupWatch ; 124.698 ; 124.698 ; restrictionTimer ; 1315.18 ; 15.6569 ; preSmoothTimer ; 4450.54 ; 52.9826 ; upResidualTimer ; 2272.96 ; 27.059 ; postSmoothTimer ; 4373.33 ; 52.0635 ; commTimer ; 14521.2 ; 15.3501 ; timeToSolveWatch ; 19586.5 ; 19586.5 ;
correctionTimer ; 253.312 ; 3.01562 ; setSolutionTimer ; 32.3303 ; 0.384884 ; cycleWatch ; 19350.7 ; 1382.19 ; setupWatch ; 128.066 ; 128.066 ; restrictionTimer ; 1299.31 ; 15.468 ; preSmoothTimer ; 4404.25 ; 52.4315 ; upResidualTimer ; 2344.48 ; 27.9105 ; postSmoothTimer ; 4381.76 ; 52.1638 ; commTimer ; 14561.8 ; 15.393 ; timeToSolveWatch ; 19586.5 ; 19586.5 ;
correctionTimer ; 256.455 ; 3.05304 ; setSolutionTimer ; 32.0525 ; 0.381577 ; cycleWatch ; 19342.8 ; 1381.63 ; setupWatch ; 125.293 ; 125.293 ; restrictionTimer ; 1312.11 ; 15.6204 ; preSmoothTimer ; 4388.61 ; 52.2454 ; upResidualTimer ; 2348.92 ; 27.9634 ; postSmoothTimer ; 4376.08 ; 52.0962 ; commTimer ; 14529.9 ; 15.3593 ; timeToSolveWatch ; 19586.5 ; 19586.5 ;
correctionTimer ; 255.501 ; 3.04167 ; setSolutionTimer ; 35.5476 ; 0.423185 ; cycleWatch ; 19347.1 ; 1381.94 ; setupWatch ; 128.371 ; 128.371 ; restrictionTimer ; 1292.53 ; 15.3873 ; preSmoothTimer ; 4440.35 ; 52.8613 ; upResidualTimer ; 2331.49 ; 27.7558 ; postSmoothTimer ; 4386.13 ; 52.2158 ; commTimer ; 14489.3 ; 15.3164 ; timeToSolveWatch ; 19586.5 ; 19586.5 ;
correctionTimer ; 256.964 ; 3.0591 ; setSolutionTimer ; 31.7497 ; 0.377972 ; cycleWatch ; 19345 ; 1381.79 ; setupWatch ; 128.33 ; 128.33 ; restrictionTimer ; 1322.38 ; 15.7426 ; preSmoothTimer ; 4408.54 ; 52.4826 ; upResidualTimer ; 2340.64 ; 27.8648 ; postSmoothTimer ; 4382.88 ; 52.1772 ; commTimer ; 14478 ; 15.3045 ; timeToSolveWatch ; 19586.5 ; 19586.5 ;
correctionTimer ; 254.07 ; 3.02465 ; setSolutionTimer ; 29.7106 ; 0.353697 ; cycleWatch ; 19355.5 ; 1382.53 ; setupWatch ; 125.636 ; 125.636 ; restrictionTimer ; 1286.16 ; 15.3114 ; preSmoothTimer ; 4451.96 ; 52.9995 ; upResidualTimer ; 2342.79 ; 27.8904 ; postSmoothTimer ; 4388.71 ; 52.2465 ; commTimer ; 14523 ; 15.352 ; timeToSolveWatch ; 19586.5 ; 19586.5 ;
