correctionTimer ; 250.247 ; 2.97913 ; setSolutionTimer ; 31.4153 ; 0.373991 ; cycleWatch ; 18070.6 ; 1290.76 ; setupWatch ; 127.238 ; 127.238 ; restrictionTimer ; 1209.53 ; 14.3992 ; preSmoothTimer ; 4054.16 ; 48.2638 ; upResidualTimer ; 2171.92 ; 25.8562 ; postSmoothTimer ; 4012.1 ; 47.7631 ; commTimer ; 12533.8 ; 13.2493 ; timeToSolveWatch ; 18350.1 ; 18350.1 ;
correctionTimer ; 251.659 ; 2.99594 ; setSolutionTimer ; 30.9925 ; 0.368959 ; cycleWatch ; 18094.9 ; 1292.5 ; setupWatch ; 130.281 ; 130.281 ; restrictionTimer ; 1227.47 ; 14.6128 ; preSmoothTimer ; 4072.69 ; 48.4844 ; upResidualTimer ; 2156.67 ; 25.6746 ; postSmoothTimer ; 4027.47 ; 47.9461 ; commTimer ; 12875.7 ; 13.6107 ; timeToSolveWatch ; 18349.7 ; 18349.7 ;
correctionTimer ; 251.55 ; 2.99465 ; setSolutionTimer ; 32.0477 ; 0.38152 ; cycleWatch ; 18107.4 ; 1293.39 ; setupWatch ; 125.588 ; 125.588 ; restrictionTimer ; 1202.62 ; 14.317 ; preSmoothTimer ; 4064.2 ; 48.3833 ; upResidualTimer ; 2190.55 ; 26.0779 ; postSmoothTimer ; 4038.8 ; 48.0809 ; commTimer ; 12934 ; 13.6723 ; timeToSolveWatch ; 18349.7 ; 18349.7 ;
correctionTimer ; 255.814 ; 3.0454 ; setSolutionTimer ; 31.8285 ; 0.378911 ; cycleWatch ; 18096.2 ; 1292.59 ; setupWatch ; 126.533 ; 126.533 ; restrictionTimer ; 1211.05 ; 14.4172 ; preSmoothTimer ; 4081.6 ; 48.5905 ; upResidualTimer ; 2148.31 ; 25.5751 ; postSmoothTimer ; 4027.4 ; 47.9452 ; commTimer ; 12674.2 ; 13.3977 ; timeToSolveWatch ; 18349.7 ; 18349.7 ;
correctionTimer ; 253.922 ; 3.02288 ; setSolutionTimer ; 28.2807 ; 0.336675 ; cycleWatch ; 18097.4 ; 1292.67 ; setupWatch ; 128.797 ; 128.797 ; restrictionTimer ; 1210.46 ; 14.4103 ; preSmoothTimer ; 4084.01 ; 48.6192 ; upResidualTimer ; 2173.89 ; 25.8796 ; postSmoothTimer ; 4033.62 ; 48.0193 ; commTimer ; 13045.2 ; 13.7898 ; timeToSolveWatch ; 18349.7 ; 18349.7 ;
correctionTimer ; 253.193 ; 3.01421 ; setSolutionTimer ; 29.2405 ; 0.348102 ; cycleWatch ; 18109.3 ; 1293.52 ; setupWatch ; 126.398 ; 126.398 ; restrictionTimer ; 1205.75 ; 14.3542 ; preSmoothTimer ; 4092.35 ; 48.7184 ; upResidualTimer ; 2181.52 ; 25.9705 ; postSmoothTimer ; 4037.96 ; 48.0709 ; commTimer ; 13356.6 ; 14.119 ; timeToSolveWatch ; 18349.7 ; 18349.7 ;
correctionTimer ; 249.275 ; 2.96756 ; setSolutionTimer ; 35.9834 ; 0.428374 ; cycleWatch ; 18121 ; 1294.36 ; setupWatch ; 130.586 ; 130.586 ; restrictionTimer ; 1200.38 ; 14.2902 ; preSmoothTimer ; 4077.62 ; 48.5431 ; upResidualTimer ; 2199.52 ; 26.1848 ; postSmoothTimer ; 4055.05 ; 48.2745 ; commTimer ; 13398 ; 14.1627 ; timeToSolveWatch ; 18349.7 ; 18349.7 ;
correctionTimer ; 255.115 ; 3.03709 ; setSolutionTimer ; 33.1604 ; 0.394767 ; cycleWatch ; 18107.6 ; 1293.4 ; setupWatch ; 128.928 ; 128.928 ; restrictionTimer ; 1212.86 ; 14.4388 ; preSmoothTimer ; 4081.37 ; 48.5878 ; upResidualTimer ; 2176.9 ; 25.9155 ; postSmoothTimer ; 4045.33 ; 48.1587 ; commTimer ; 13189.4 ; 13.9423 ; timeToSolveWatch ; 18349.7 ; 18349.7 ;
correctionTimer ; 254.017 ; 3.02402 ; setSolutionTimer ; 30.8256 ; 0.366972 ; cycleWatch ; 18103.9 ; 1293.14 ; setupWatch ; 127.928 ; 127.928 ; restrictionTimer ; 1212.5 ; 14.4345 ; preSmoothTimer ; 4077.14 ; 48.5374 ; upResidualTimer ; 2173.86 ; 25.8792 ; postSmoothTimer ; 4033.2 ; 48.0143 ; commTimer ; 13163.2 ; 13.9146 ; timeToSolveWatch ; 18349.7 ; 18349.7 ;
correctionTimer ; 255.527 ; 3.04199 ; setSolutionTimer ; 30.0616 ; 0.357876 ; cycleWatch ; 18111.6 ; 1293.68 ; setupWatch ; 133.614 ; 133.614 ; restrictionTimer ; 1220 ; 14.5239 ; preSmoothTimer ; 4082.07 ; 48.596 ; upResidualTimer ; 2186.88 ; 26.0343 ; postSmoothTimer ; 4036.63 ; 48.0551 ; commTimer ; 13417.5 ; 14.1834 ; timeToSolveWatch ; 18349.7 ; 18349.7 ;
correctionTimer ; 254.855 ; 3.03399 ; setSolutionTimer ; 29.903 ; 0.355988 ; cycleWatch ; 18116 ; 1294 ; setupWatch ; 127.627 ; 127.627 ; restrictionTimer ; 1194.32 ; 14.2181 ; preSmoothTimer ; 4079.89 ; 48.5701 ; upResidualTimer ; 2216.24 ; 26.3838 ; postSmoothTimer ; 4046.58 ; 48.1735 ; commTimer ; 13472.3 ; 14.2413 ; timeToSolveWatch ; 18349.7 ; 18349.7 ;
