correctionTimer ; 147 ; 3.0625 ; setSolutionTimer ; 18.7566 ; 0.390763 ; cycleWatch ; 19179.8 ; 2397.47 ; setupWatch ; 96.0562 ; 96.0562 ; restrictionTimer ; 659.8 ; 13.7458 ; preSmoothTimer ; 6712.65 ; 139.847 ; upResidualTimer ; 1140.39 ; 23.7582 ; postSmoothTimer ; 6784.28 ; 141.339 ; commTimer ; 14874.6 ; 17.8353 ; timeToSolveWatch ; 19367.6 ; 19367.6 ;
correctionTimer ; 147.858 ; 3.08037 ; setSolutionTimer ; 15.9293 ; 0.33186 ; cycleWatch ; 19198.1 ; 2399.76 ; setupWatch ; 98.1068 ; 98.1068 ; restrictionTimer ; 637.329 ; 13.2777 ; preSmoothTimer ; 6743.76 ; 140.495 ; upResidualTimer ; 1158.45 ; 24.1343 ; postSmoothTimer ; 6802.96 ; 141.728 ; commTimer ; 15113.4 ; 18.1216 ; timeToSolveWatch ; 19367.2 ; 19367.2 ;
correctionTimer ; 146.42 ; 3.05042 ; setSolutionTimer ; 21.7447 ; 0.453015 ; cycleWatch ; 19215.5 ; 2401.93 ; setupWatch ; 96.5748 ; 96.5748 ; restrictionTimer ; 663.991 ; 13.8332 ; preSmoothTimer ; 6755.83 ; 140.746 ; upResidualTimer ; 1127.16 ; 23.4825 ; postSmoothTimer ; 6811.8 ; 141.913 ; commTimer ; 15205.7 ; 18.2323 ; timeToSolveWatch ; 19367.2 ; 19367.2 ;
correctionTimer ; 144.508 ; 3.01058 ; setSolutionTimer ; 19.7253 ; 0.410945 ; cycleWatch ; 19218.6 ; 2402.32 ; setupWatch ; 95.5153 ; 95.5153 ; restrictionTimer ; 652.899 ; 13.6021 ; preSmoothTimer ; 6752.45 ; 140.676 ; upResidualTimer ; 1152.23 ; 24.0048 ; postSmoothTimer ; 6818.26 ; 142.047 ; commTimer ; 15286.8 ; 18.3295 ; timeToSolveWatch ; 19367.2 ; 19367.2 ;
correctionTimer ; 146.373 ; 3.04943 ; setSolutionTimer ; 17.9143 ; 0.373214 ; cycleWatch ; 19212.4 ; 2401.55 ; setupWatch ; 99.2461 ; 99.2461 ; restrictionTimer ; 649.058 ; 13.5221 ; preSmoothTimer ; 6768.45 ; 141.009 ; upResidualTimer ; 1143.1 ; 23.8147 ; postSmoothTimer ; 6817.9 ; 142.04 ; commTimer ; 15255.5 ; 18.292 ; timeToSolveWatch ; 19367.2 ; 19367.2 ;
correctionTimer ; 144.148 ; 3.00308 ; setSolutionTimer ; 18.4693 ; 0.384777 ; cycleWatch ; 19201.9 ; 2400.23 ; setupWatch ; 96.9079 ; 96.9079 ; restrictionTimer ; 638.978 ; 13.312 ; preSmoothTimer ; 6797.01 ; 141.604 ; upResidualTimer ; 1127.5 ; 23.4895 ; postSmoothTimer ; 6817.58 ; 142.033 ; commTimer ; 15243.3 ; 18.2773 ; timeToSolveWatch ; 19367.2 ; 19367.2 ;
correctionTimer ; 145.781 ; 3.03711 ; setSolutionTimer ; 19.7529 ; 0.411519 ; cycleWatch ; 19194.5 ; 2399.31 ; setupWatch ; 97.2985 ; 97.2985 ; restrictionTimer ; 606.248 ; 12.6302 ; preSmoothTimer ; 6799.58 ; 141.658 ; upResidualTimer ; 1164.64 ; 24.2634 ; postSmoothTimer ; 6799.61 ; 141.659 ; commTimer ; 15169.7 ; 18.1891 ; timeToSolveWatch ; 19367.2 ; 19367.2 ;
correctionTimer ; 142.089 ; 2.9602 ; setSolutionTimer ; 19.2067 ; 0.40014 ; cycleWatch ; 19169.6 ; 2396.2 ; setupWatch ; 96.6386 ; 96.6386 ; restrictionTimer ; 631.442 ; 13.155 ; preSmoothTimer ; 6788.35 ; 141.424 ; upResidualTimer ; 1150.36 ; 23.9659 ; postSmoothTimer ; 6786.93 ; 141.394 ; commTimer ; 15020.1 ; 18.0097 ; timeToSolveWatch ; 19367.2 ; 19367.2 ;
correctionTimer ; 147.603 ; 3.07507 ; setSolutionTimer ; 20.6574 ; 0.430364 ; cycleWatch ; 19198 ; 2399.75 ; setupWatch ; 96.9661 ; 96.9661 ; restrictionTimer ; 661.298 ; 13.777 ; preSmoothTimer ; 6738.07 ; 140.376 ; upResidualTimer ; 1132.12 ; 23.5859 ; postSmoothTimer ; 6798.4 ; 141.633 ; commTimer ; 15046.4 ; 18.0412 ; timeToSolveWatch ; 19367.2 ; 19367.2 ;
correctionTimer ; 146.574 ; 3.05363 ; setSolutionTimer ; 19.8631 ; 0.413815 ; cycleWatch ; 19210.6 ; 2401.33 ; setupWatch ; 98.348 ; 98.348 ; restrictionTimer ; 640.422 ; 13.3421 ; preSmoothTimer ; 6761.06 ; 140.855 ; upResidualTimer ; 1151.7 ; 23.9937 ; postSmoothTimer ; 6815.87 ; 141.997 ; commTimer ; 15277.8 ; 18.3187 ; timeToSolveWatch ; 19367.2 ; 19367.2 ;
correctionTimer ; 146.919 ; 3.06081 ; setSolutionTimer ; 19.52 ; 0.406667 ; cycleWatch ; 19224.4 ; 2403.05 ; setupWatch ; 98.5756 ; 98.5756 ; restrictionTimer ; 643.315 ; 13.4024 ; preSmoothTimer ; 6769.36 ; 141.028 ; upResidualTimer ; 1147.59 ; 23.9082 ; postSmoothTimer ; 6821.22 ; 142.109 ; commTimer ; 15373.5 ; 18.4335 ; timeToSolveWatch ; 19367.2 ; 19367.2 ;
correctionTimer ; 149.601 ; 3.11669 ; setSolutionTimer ; 20.5883 ; 0.428923 ; cycleWatch ; 19231.3 ; 2403.91 ; setupWatch ; 96.5938 ; 96.5938 ; restrictionTimer ; 634.264 ; 13.2138 ; preSmoothTimer ; 6776.84 ; 141.184 ; upResidualTimer ; 1161.74 ; 24.2028 ; postSmoothTimer ; 6831 ; 142.312 ; commTimer ; 15416.6 ; 18.4851 ; timeToSolveWatch ; 19367.2 ; 19367.2 ;
correctionTimer ; 145.29 ; 3.02687 ; setSolutionTimer ; 23.2741 ; 0.484877 ; cycleWatch ; 19225.3 ; 2403.16 ; setupWatch ; 95.8143 ; 95.8143 ; restrictionTimer ; 621.96 ; 12.9575 ; preSmoothTimer ; 6785.42 ; 141.363 ; upResidualTimer ; 1166.6 ; 24.3042 ; postSmoothTimer ; 6832.63 ; 142.346 ; commTimer ; 15386.9 ; 18.4496 ; timeToSolveWatch ; 19367.2 ; 19367.2 ;
correctionTimer ; 150.855 ; 3.14282 ; setSolutionTimer ; 22.3977 ; 0.466619 ; cycleWatch ; 19225.4 ; 2403.17 ; setupWatch ; 96.4151 ; 96.4151 ; restrictionTimer ; 635.135 ; 13.232 ; preSmoothTimer ; 6825.14 ; 142.19 ; upResidualTimer ; 1121.21 ; 23.3586 ; postSmoothTimer ; 6826.45 ; 142.218 ; commTimer ; 15380 ; 18.4413 ; timeToSolveWatch ; 19367.2 ; 19367.2 ;
