correctionTimer ; 147.24 ; 2.72667 ; setSolutionTimer ; 7.28543 ; 0.134915 ; cycleWatch ; 6004.48 ; 667.165 ; setupWatch ; 93.1532 ; 93.1532 ; restrictionTimer ; 359.469 ; 6.65683 ; preSmoothTimer ; 1833.15 ; 33.9471 ; upResidualTimer ; 643.421 ; 11.9152 ; postSmoothTimer ; 1784.82 ; 33.0523 ; commTimer ; 4205.93 ; 6.53094 ; timeToSolveWatch ; 6189.74 ; 6189.74 ;
correctionTimer ; 147.308 ; 2.72793 ; setSolutionTimer ; 6.87117 ; 0.127244 ; cycleWatch ; 6039.8 ; 671.089 ; setupWatch ; 87.7606 ; 87.7606 ; restrictionTimer ; 356.121 ; 6.59483 ; preSmoothTimer ; 1843.49 ; 34.1387 ; upResidualTimer ; 644.555 ; 11.9362 ; postSmoothTimer ; 1814.65 ; 33.6047 ; commTimer ; 4241.99 ; 6.58694 ; timeToSolveWatch ; 6189.31 ; 6189.31 ;
correctionTimer ; 147.516 ; 2.73178 ; setSolutionTimer ; 7.17661 ; 0.1329 ; cycleWatch ; 6064.28 ; 673.808 ; setupWatch ; 94.2052 ; 94.2052 ; restrictionTimer ; 358.85 ; 6.64538 ; preSmoothTimer ; 1853.19 ; 34.3184 ; upResidualTimer ; 638.036 ; 11.8155 ; postSmoothTimer ; 1843.49 ; 34.1388 ; commTimer ; 4184.21 ; 6.49722 ; timeToSolveWatch ; 6189.31 ; 6189.31 ;
correctionTimer ; 147.046 ; 2.72308 ; setSolutionTimer ; 7.13225 ; 0.132079 ; cycleWatch ; 6070.7 ; 674.522 ; setupWatch ; 94.2053 ; 94.2053 ; restrictionTimer ; 362.637 ; 6.71551 ; preSmoothTimer ; 1846.04 ; 34.1858 ; upResidualTimer ; 641.836 ; 11.8858 ; postSmoothTimer ; 1848.66 ; 34.2345 ; commTimer ; 4199.14 ; 6.5204 ; timeToSolveWatch ; 6189.31 ; 6189.31 ;
correctionTimer ; 147.366 ; 2.72901 ; setSolutionTimer ; 6.83312 ; 0.126539 ; cycleWatch ; 6055.78 ; 672.865 ; setupWatch ; 94.3974 ; 94.3974 ; restrictionTimer ; 359.867 ; 6.6642 ; preSmoothTimer ; 1850.29 ; 34.2646 ; upResidualTimer ; 639.639 ; 11.8452 ; postSmoothTimer ; 1841.31 ; 34.0984 ; commTimer ; 4232.99 ; 6.57296 ; timeToSolveWatch ; 6189.31 ; 6189.31 ;
correctionTimer ; 147.048 ; 2.72312 ; setSolutionTimer ; 7.47631 ; 0.13845 ; cycleWatch ; 6038.35 ; 670.928 ; setupWatch ; 94.397 ; 94.397 ; restrictionTimer ; 366.088 ; 6.77942 ; preSmoothTimer ; 1852.93 ; 34.3135 ; upResidualTimer ; 630.15 ; 11.6694 ; postSmoothTimer ; 1829.21 ; 33.8743 ; commTimer ; 4210.56 ; 6.53814 ; timeToSolveWatch ; 6189.31 ; 6189.31 ;
correctionTimer ; 147.609 ; 2.7335 ; setSolutionTimer ; 6.78894 ; 0.125721 ; cycleWatch ; 6010.42 ; 667.824 ; setupWatch ; 90.2733 ; 90.2733 ; restrictionTimer ; 359.067 ; 6.64939 ; preSmoothTimer ; 1856.81 ; 34.3854 ; upResidualTimer ; 631.067 ; 11.6864 ; postSmoothTimer ; 1806.88 ; 33.4607 ; commTimer ; 4222.73 ; 6.55703 ; timeToSolveWatch ; 6189.31 ; 6189.31 ;
correctionTimer ; 147.604 ; 2.73341 ; setSolutionTimer ; 7.25306 ; 0.134316 ; cycleWatch ; 5975.54 ; 663.949 ; setupWatch ; 91.7602 ; 91.7602 ; restrictionTimer ; 356.689 ; 6.60535 ; preSmoothTimer ; 1858.95 ; 34.4249 ; upResidualTimer ; 631.484 ; 11.6942 ; postSmoothTimer ; 1761.9 ; 32.6278 ; commTimer ; 4214.68 ; 6.54454 ; timeToSolveWatch ; 6189.31 ; 6189.31 ;
correctionTimer ; 147.467 ; 2.73087 ; setSolutionTimer ; 7.09227 ; 0.131338 ; cycleWatch ; 6010.83 ; 667.87 ; setupWatch ; 92.4187 ; 92.4187 ; restrictionTimer ; 351.652 ; 6.51207 ; preSmoothTimer ; 1844.7 ; 34.1611 ; upResidualTimer ; 645.191 ; 11.948 ; postSmoothTimer ; 1786.68 ; 33.0867 ; commTimer ; 4235.96 ; 6.57757 ; timeToSolveWatch ; 6189.31 ; 6189.31 ;
correctionTimer ; 147.108 ; 2.72423 ; setSolutionTimer ; 6.91447 ; 0.128046 ; cycleWatch ; 6040.84 ; 671.205 ; setupWatch ; 95.0278 ; 95.0278 ; restrictionTimer ; 356.344 ; 6.59895 ; preSmoothTimer ; 1845.18 ; 34.17 ; upResidualTimer ; 643.504 ; 11.9167 ; postSmoothTimer ; 1817.13 ; 33.6506 ; commTimer ; 4253.69 ; 6.60511 ; timeToSolveWatch ; 6189.31 ; 6189.31 ;
correctionTimer ; 147.388 ; 2.72941 ; setSolutionTimer ; 7.31523 ; 0.135467 ; cycleWatch ; 6063.18 ; 673.687 ; setupWatch ; 91.8664 ; 91.8664 ; restrictionTimer ; 355.858 ; 6.58996 ; preSmoothTimer ; 1854.88 ; 34.3496 ; upResidualTimer ; 640.139 ; 11.8544 ; postSmoothTimer ; 1844.63 ; 34.1598 ; commTimer ; 4232.54 ; 6.57226 ; timeToSolveWatch ; 6189.31 ; 6189.31 ;
correctionTimer ; 147.06 ; 2.72334 ; setSolutionTimer ; 6.99013 ; 0.129447 ; cycleWatch ; 6072.58 ; 674.731 ; setupWatch ; 94.2494 ; 94.2494 ; restrictionTimer ; 359.296 ; 6.65363 ; preSmoothTimer ; 1847.81 ; 34.2187 ; upResidualTimer ; 644.874 ; 11.9421 ; postSmoothTimer ; 1850.02 ; 34.2596 ; commTimer ; 4245.15 ; 6.59184 ; timeToSolveWatch ; 6189.31 ; 6189.31 ;
correctionTimer ; 147.294 ; 2.72766 ; setSolutionTimer ; 6.7421 ; 0.124854 ; cycleWatch ; 6056.08 ; 672.898 ; setupWatch ; 92.9601 ; 92.9601 ; restrictionTimer ; 359.533 ; 6.65802 ; preSmoothTimer ; 1853.4 ; 34.3222 ; upResidualTimer ; 638.603 ; 11.826 ; postSmoothTimer ; 1842.06 ; 34.1121 ; commTimer ; 4260.63 ; 6.61588 ; timeToSolveWatch ; 6189.31 ; 6189.31 ;
correctionTimer ; 147.096 ; 2.724 ; setSolutionTimer ; 7.33081 ; 0.135756 ; cycleWatch ; 6041.7 ; 671.3 ; setupWatch ; 92.9559 ; 92.9559 ; restrictionTimer ; 364.43 ; 6.74871 ; preSmoothTimer ; 1853.37 ; 34.3216 ; upResidualTimer ; 633.38 ; 11.7293 ; postSmoothTimer ; 1830.74 ; 33.9026 ; commTimer ; 4241.49 ; 6.58616 ; timeToSolveWatch ; 6189.31 ; 6189.31 ;
correctionTimer ; 148.036 ; 2.74142 ; setSolutionTimer ; 6.77907 ; 0.125538 ; cycleWatch ; 6011.49 ; 667.944 ; setupWatch ; 89.2351 ; 89.2351 ; restrictionTimer ; 360.095 ; 6.66842 ; preSmoothTimer ; 1860.41 ; 34.452 ; upResidualTimer ; 627.761 ; 11.6252 ; postSmoothTimer ; 1808.86 ; 33.4973 ; commTimer ; 4248.43 ; 6.59693 ; timeToSolveWatch ; 6189.31 ; 6189.31 ;
