correctionTimer ; 173.359 ; 3.21035 ; setSolutionTimer ; 11.0777 ; 0.205143 ; cycleWatch ; 37149.6 ; 4127.73 ; setupWatch ; 40.6722 ; 40.6722 ; restrictionTimer ; 291.421 ; 5.39668 ; preSmoothTimer ; 17590 ; 325.741 ; upResidualTimer ; 817.931 ; 15.1469 ; postSmoothTimer ; 17570.8 ; 325.385 ; commTimer ; 3578.74 ; 5.38157 ; timeToSolveWatch ; 37276.5 ; 37276.5 ;
correctionTimer ; 180.415 ; 3.34101 ; setSolutionTimer ; 12.1551 ; 0.225094 ; cycleWatch ; 37175.3 ; 4130.59 ; setupWatch ; 39.0315 ; 39.0315 ; restrictionTimer ; 295.177 ; 5.46624 ; preSmoothTimer ; 17780.1 ; 329.26 ; upResidualTimer ; 628.081 ; 11.6311 ; postSmoothTimer ; 17756.2 ; 328.818 ; commTimer ; 2504.82 ; 3.76665 ; timeToSolveWatch ; 37275.8 ; 37275.8 ;
correctionTimer ; 179.857 ; 3.33068 ; setSolutionTimer ; 13.6419 ; 0.252629 ; cycleWatch ; 37173.4 ; 4130.38 ; setupWatch ; 40.4187 ; 40.4187 ; restrictionTimer ; 291.744 ; 5.40267 ; preSmoothTimer ; 17777 ; 329.204 ; upResidualTimer ; 633.031 ; 11.7228 ; postSmoothTimer ; 17753.3 ; 328.765 ; commTimer ; 2499.21 ; 3.75822 ; timeToSolveWatch ; 37275.8 ; 37275.8 ;
correctionTimer ; 178.845 ; 3.31195 ; setSolutionTimer ; 12.0193 ; 0.22258 ; cycleWatch ; 37172.3 ; 4130.26 ; setupWatch ; 40.3777 ; 40.3777 ; restrictionTimer ; 286.837 ; 5.3118 ; preSmoothTimer ; 17786.1 ; 329.371 ; upResidualTimer ; 630.6 ; 11.6778 ; postSmoothTimer ; 17751.7 ; 328.736 ; commTimer ; 2505.88 ; 3.76824 ; timeToSolveWatch ; 37275.8 ; 37275.8 ;
correctionTimer ; 177.815 ; 3.29287 ; setSolutionTimer ; 12.8541 ; 0.23804 ; cycleWatch ; 37173.9 ; 4130.44 ; setupWatch ; 40.5387 ; 40.5387 ; restrictionTimer ; 298.737 ; 5.53217 ; preSmoothTimer ; 17777.9 ; 329.221 ; upResidualTimer ; 626.016 ; 11.5929 ; postSmoothTimer ; 17753.9 ; 328.775 ; commTimer ; 2503.8 ; 3.76511 ; timeToSolveWatch ; 37275.8 ; 37275.8 ;
correctionTimer ; 180.66 ; 3.34555 ; setSolutionTimer ; 12.7453 ; 0.236024 ; cycleWatch ; 37183.6 ; 4131.51 ; setupWatch ; 39.4714 ; 39.4714 ; restrictionTimer ; 297.734 ; 5.51359 ; preSmoothTimer ; 17774.4 ; 329.156 ; upResidualTimer ; 630.716 ; 11.6799 ; postSmoothTimer ; 17756.9 ; 328.831 ; commTimer ; 2513.3 ; 3.77939 ; timeToSolveWatch ; 37275.8 ; 37275.8 ;
correctionTimer ; 180.631 ; 3.34502 ; setSolutionTimer ; 12.9815 ; 0.240398 ; cycleWatch ; 37192.1 ; 4132.45 ; setupWatch ; 39.5248 ; 39.5248 ; restrictionTimer ; 293.213 ; 5.42988 ; preSmoothTimer ; 17777.2 ; 329.208 ; upResidualTimer ; 632.247 ; 11.7083 ; postSmoothTimer ; 17764.2 ; 328.966 ; commTimer ; 2519.55 ; 3.7888 ; timeToSolveWatch ; 37275.8 ; 37275.8 ;
correctionTimer ; 178.704 ; 3.30934 ; setSolutionTimer ; 11.4122 ; 0.211337 ; cycleWatch ; 37183.8 ; 4131.53 ; setupWatch ; 39.8643 ; 39.8643 ; restrictionTimer ; 295.965 ; 5.48083 ; preSmoothTimer ; 17777 ; 329.204 ; upResidualTimer ; 631.313 ; 11.691 ; postSmoothTimer ; 17758.5 ; 328.862 ; commTimer ; 2516.63 ; 3.78441 ; timeToSolveWatch ; 37275.8 ; 37275.8 ;
correctionTimer ; 182.068 ; 3.37162 ; setSolutionTimer ; 13.2291 ; 0.244984 ; cycleWatch ; 37181.7 ; 4131.3 ; setupWatch ; 39.7371 ; 39.7371 ; restrictionTimer ; 293.646 ; 5.43789 ; preSmoothTimer ; 17776.7 ; 329.197 ; upResidualTimer ; 632.171 ; 11.7069 ; postSmoothTimer ; 17754.6 ; 328.788 ; commTimer ; 2508.27 ; 3.77183 ; timeToSolveWatch ; 37275.8 ; 37275.8 ;
correctionTimer ; 179.569 ; 3.32536 ; setSolutionTimer ; 14.1693 ; 0.262394 ; cycleWatch ; 37179.7 ; 4131.07 ; setupWatch ; 40.171 ; 40.171 ; restrictionTimer ; 297.286 ; 5.5053 ; preSmoothTimer ; 17776.3 ; 329.191 ; upResidualTimer ; 628.014 ; 11.6299 ; postSmoothTimer ; 17758 ; 328.851 ; commTimer ; 2507.3 ; 3.77038 ; timeToSolveWatch ; 37275.8 ; 37275.8 ;
correctionTimer ; 180.078 ; 3.33478 ; setSolutionTimer ; 11.48 ; 0.212593 ; cycleWatch ; 37176.5 ; 4130.73 ; setupWatch ; 38.8465 ; 38.8465 ; restrictionTimer ; 290.796 ; 5.3851 ; preSmoothTimer ; 17784.8 ; 329.349 ; upResidualTimer ; 628.677 ; 11.6422 ; postSmoothTimer ; 17753.5 ; 328.768 ; commTimer ; 2506.32 ; 3.7689 ; timeToSolveWatch ; 37275.8 ; 37275.8 ;
correctionTimer ; 179.099 ; 3.31664 ; setSolutionTimer ; 12.8889 ; 0.238684 ; cycleWatch ; 37175.4 ; 4130.6 ; setupWatch ; 40.3174 ; 40.3174 ; restrictionTimer ; 293.164 ; 5.42896 ; preSmoothTimer ; 17781.2 ; 329.281 ; upResidualTimer ; 628.555 ; 11.6399 ; postSmoothTimer ; 17750.8 ; 328.719 ; commTimer ; 2508.5 ; 3.77219 ; timeToSolveWatch ; 37275.8 ; 37275.8 ;
correctionTimer ; 178.634 ; 3.30804 ; setSolutionTimer ; 12.6119 ; 0.233553 ; cycleWatch ; 37180 ; 4131.11 ; setupWatch ; 40.0955 ; 40.0955 ; restrictionTimer ; 294.144 ; 5.44711 ; preSmoothTimer ; 17775.7 ; 329.18 ; upResidualTimer ; 633.325 ; 11.7282 ; postSmoothTimer ; 17754.6 ; 328.789 ; commTimer ; 2508.51 ; 3.7722 ; timeToSolveWatch ; 37275.8 ; 37275.8 ;
correctionTimer ; 180.357 ; 3.33994 ; setSolutionTimer ; 12.5567 ; 0.232531 ; cycleWatch ; 37188.3 ; 4132.03 ; setupWatch ; 39.6498 ; 39.6498 ; restrictionTimer ; 294.535 ; 5.45434 ; preSmoothTimer ; 17775.2 ; 329.17 ; upResidualTimer ; 633.499 ; 11.7315 ; postSmoothTimer ; 17760.3 ; 328.894 ; commTimer ; 2517.74 ; 3.78607 ; timeToSolveWatch ; 37275.8 ; 37275.8 ;
correctionTimer ; 177.971 ; 3.29577 ; setSolutionTimer ; 13.1535 ; 0.243583 ; cycleWatch ; 37197.1 ; 4133.01 ; setupWatch ; 40.1748 ; 40.1748 ; restrictionTimer ; 292.782 ; 5.42189 ; preSmoothTimer ; 17779.7 ; 329.253 ; upResidualTimer ; 630.115 ; 11.6688 ; postSmoothTimer ; 17772.2 ; 329.115 ; commTimer ; 2530.62 ; 3.80544 ; timeToSolveWatch ; 37275.8 ; 37275.8 ;
correctionTimer ; 169.259 ; 3.13442 ; setSolutionTimer ; 12.3275 ; 0.228286 ; cycleWatch ; 37170.2 ; 4130.02 ; setupWatch ; 37.8244 ; 37.8244 ; restrictionTimer ; 292.939 ; 5.42479 ; preSmoothTimer ; 17692.6 ; 327.642 ; upResidualTimer ; 717.682 ; 13.2904 ; postSmoothTimer ; 17693.4 ; 327.655 ; commTimer ; 3049.61 ; 4.58588 ; timeToSolveWatch ; 37275.8 ; 37275.8 ;
correctionTimer ; 171.039 ; 3.16739 ; setSolutionTimer ; 11.3511 ; 0.210206 ; cycleWatch ; 37162.6 ; 4129.17 ; setupWatch ; 40.2229 ; 40.2229 ; restrictionTimer ; 292.74 ; 5.4211 ; preSmoothTimer ; 17616.5 ; 326.231 ; upResidualTimer ; 795.045 ; 14.723 ; postSmoothTimer ; 17598.3 ; 325.895 ; commTimer ; 3465.6 ; 5.21143 ; timeToSolveWatch ; 37275.8 ; 37275.8 ;
correctionTimer ; 179.641 ; 3.32668 ; setSolutionTimer ; 13.255 ; 0.245462 ; cycleWatch ; 37183.6 ; 4131.51 ; setupWatch ; 39.9208 ; 39.9208 ; restrictionTimer ; 294.097 ; 5.44624 ; preSmoothTimer ; 17801.8 ; 329.663 ; upResidualTimer ; 606.616 ; 11.2336 ; postSmoothTimer ; 17782.3 ; 329.302 ; commTimer ; 2381.16 ; 3.58068 ; timeToSolveWatch ; 37275.8 ; 37275.8 ;
