correctionTimer ; 242.107 ; 2.88222 ; setSolutionTimer ; 8.54863 ; 0.101769 ; cycleWatch ; 5822.52 ; 415.894 ; setupWatch ; 48.2363 ; 48.2363 ; restrictionTimer ; 361.4 ; 4.30238 ; preSmoothTimer ; 1993.17 ; 23.7282 ; upResidualTimer ; 709.74 ; 8.44928 ; postSmoothTimer ; 1833.07 ; 21.8223 ; commTimer ; 2046 ; 2.16967 ; timeToSolveWatch ; 6118.3 ; 6118.3 ;
correctionTimer ; 253.665 ; 3.01982 ; setSolutionTimer ; 8.69567 ; 0.10352 ; cycleWatch ; 5934.92 ; 423.923 ; setupWatch ; 48.1629 ; 48.1629 ; restrictionTimer ; 356.929 ; 4.24916 ; preSmoothTimer ; 1973.87 ; 23.4984 ; upResidualTimer ; 741.184 ; 8.82362 ; postSmoothTimer ; 1891.03 ; 22.5122 ; commTimer ; 2390.89 ; 2.53541 ; timeToSolveWatch ; 6117.88 ; 6117.88 ;
correctionTimer ; 253.754 ; 3.02088 ; setSolutionTimer ; 9.62873 ; 0.114628 ; cycleWatch ; 5953.32 ; 425.237 ; setupWatch ; 45.0968 ; 45.0968 ; restrictionTimer ; 351.126 ; 4.18007 ; preSmoothTimer ; 1931.25 ; 22.9911 ; upResidualTimer ; 788.937 ; 9.39211 ; postSmoothTimer ; 1931.97 ; 22.9996 ; commTimer ; 2077.21 ; 2.20277 ; timeToSolveWatch ; 6117.88 ; 6117.88 ;
correctionTimer ; 253.697 ; 3.0202 ; setSolutionTimer ; 9.40453 ; 0.111959 ; cycleWatch ; 5931.32 ; 423.666 ; setupWatch ; 47.2064 ; 47.2064 ; restrictionTimer ; 332.78 ; 3.96167 ; preSmoothTimer ; 1966.65 ; 23.4125 ; upResidualTimer ; 772.258 ; 9.19355 ; postSmoothTimer ; 1933.71 ; 23.0204 ; commTimer ; 2109.49 ; 2.237 ; timeToSolveWatch ; 6117.88 ; 6117.88 ;
correctionTimer ; 253.972 ; 3.02348 ; setSolutionTimer ; 9.71463 ; 0.11565 ; cycleWatch ; 5941.65 ; 424.404 ; setupWatch ; 44.9124 ; 44.9124 ; restrictionTimer ; 327.86 ; 3.9031 ; preSmoothTimer ; 2011.57 ; 23.9473 ; upResidualTimer ; 732.184 ; 8.71648 ; postSmoothTimer ; 1920.92 ; 22.8681 ; commTimer ; 1904.42 ; 2.01953 ; timeToSolveWatch ; 6117.88 ; 6117.88 ;
correctionTimer ; 253.537 ; 3.0183 ; setSolutionTimer ; 9.73844 ; 0.115934 ; cycleWatch ; 5965.43 ; 426.102 ; setupWatch ; 47.1851 ; 47.1851 ; restrictionTimer ; 338.443 ; 4.02908 ; preSmoothTimer ; 1941.25 ; 23.1102 ; upResidualTimer ; 791.948 ; 9.42795 ; postSmoothTimer ; 1953.71 ; 23.2585 ; commTimer ; 1961.44 ; 2.08 ; timeToSolveWatch ; 6117.88 ; 6117.88 ;
correctionTimer ; 253.854 ; 3.02207 ; setSolutionTimer ; 9.85299 ; 0.117297 ; cycleWatch ; 5966.47 ; 426.176 ; setupWatch ; 48.3105 ; 48.3105 ; restrictionTimer ; 322.136 ; 3.83495 ; preSmoothTimer ; 1995.77 ; 23.7591 ; upResidualTimer ; 753.822 ; 8.97407 ; postSmoothTimer ; 1962.56 ; 23.3638 ; commTimer ; 1790.21 ; 1.89842 ; timeToSolveWatch ; 6117.88 ; 6117.88 ;
correctionTimer ; 253.687 ; 3.02008 ; setSolutionTimer ; 10.1203 ; 0.12048 ; cycleWatch ; 5982.06 ; 427.29 ; setupWatch ; 48.3217 ; 48.3217 ; restrictionTimer ; 328.632 ; 3.91229 ; preSmoothTimer ; 1997.82 ; 23.7836 ; upResidualTimer ; 744.948 ; 8.86843 ; postSmoothTimer ; 1969.32 ; 23.4443 ; commTimer ; 1803.3 ; 1.9123 ; timeToSolveWatch ; 6117.88 ; 6117.88 ;
correctionTimer ; 253.712 ; 3.02038 ; setSolutionTimer ; 9.56452 ; 0.113863 ; cycleWatch ; 5983.03 ; 427.36 ; setupWatch ; 45.2964 ; 45.2964 ; restrictionTimer ; 321.341 ; 3.82549 ; preSmoothTimer ; 1987.81 ; 23.6645 ; upResidualTimer ; 762.898 ; 9.08212 ; postSmoothTimer ; 1972.81 ; 23.4859 ; commTimer ; 1823.91 ; 1.93415 ; timeToSolveWatch ; 6117.88 ; 6117.88 ;
correctionTimer ; 253.575 ; 3.01875 ; setSolutionTimer ; 10.283 ; 0.122416 ; cycleWatch ; 5982.6 ; 427.329 ; setupWatch ; 47.192 ; 47.192 ; restrictionTimer ; 320.021 ; 3.80977 ; preSmoothTimer ; 1999.96 ; 23.8091 ; upResidualTimer ; 751.235 ; 8.94328 ; postSmoothTimer ; 1976.79 ; 23.5332 ; commTimer ; 1799.6 ; 1.90837 ; timeToSolveWatch ; 6117.88 ; 6117.88 ;
correctionTimer ; 253.9 ; 3.02262 ; setSolutionTimer ; 9.6013 ; 0.114301 ; cycleWatch ; 5994.08 ; 428.148 ; setupWatch ; 48.2762 ; 48.2762 ; restrictionTimer ; 323.175 ; 3.84732 ; preSmoothTimer ; 1928.23 ; 22.9551 ; upResidualTimer ; 820.445 ; 9.7672 ; postSmoothTimer ; 1964.93 ; 23.392 ; commTimer ; 1952.48 ; 2.0705 ; timeToSolveWatch ; 6117.88 ; 6117.88 ;
