correctionTimer ; 172.228 ; 3.18941 ; setSolutionTimer ; 12.0958 ; 0.223996 ; cycleWatch ; 36323 ; 4035.89 ; setupWatch ; 39.9873 ; 39.9873 ; restrictionTimer ; 292.284 ; 5.41267 ; preSmoothTimer ; 17203.2 ; 318.577 ; upResidualTimer ; 782.663 ; 14.4938 ; postSmoothTimer ; 17198.9 ; 318.497 ; commTimer ; 3322.22 ; 5.02606 ; timeToSolveWatch ; 36436.3 ; 36436.3 ;
correctionTimer ; 179.381 ; 3.32188 ; setSolutionTimer ; 12.7741 ; 0.236557 ; cycleWatch ; 36350.5 ; 4038.95 ; setupWatch ; 39.5734 ; 39.5734 ; restrictionTimer ; 296.037 ; 5.48216 ; preSmoothTimer ; 17401.6 ; 322.252 ; upResidualTimer ; 585.001 ; 10.8333 ; postSmoothTimer ; 17382.3 ; 321.895 ; commTimer ; 2190.08 ; 3.31328 ; timeToSolveWatch ; 36435.6 ; 36435.6 ;
correctionTimer ; 181.135 ; 3.35435 ; setSolutionTimer ; 14.7879 ; 0.27385 ; cycleWatch ; 36355.4 ; 4039.49 ; setupWatch ; 39.4451 ; 39.4451 ; restrictionTimer ; 295.671 ; 5.47539 ; preSmoothTimer ; 17399.6 ; 322.215 ; upResidualTimer ; 585.253 ; 10.838 ; postSmoothTimer ; 17385.5 ; 321.953 ; commTimer ; 2192.11 ; 3.31636 ; timeToSolveWatch ; 36435.6 ; 36435.6 ;
correctionTimer ; 178.136 ; 3.29881 ; setSolutionTimer ; 13.1196 ; 0.242955 ; cycleWatch ; 36351.7 ; 4039.07 ; setupWatch ; 39.9657 ; 39.9657 ; restrictionTimer ; 295.696 ; 5.47584 ; preSmoothTimer ; 17400.4 ; 322.229 ; upResidualTimer ; 586.058 ; 10.8529 ; postSmoothTimer ; 17383.4 ; 321.915 ; commTimer ; 2194.65 ; 3.3202 ; timeToSolveWatch ; 36435.6 ; 36435.6 ;
correctionTimer ; 178.963 ; 3.31413 ; setSolutionTimer ; 12.614 ; 0.233593 ; cycleWatch ; 36352.1 ; 4039.12 ; setupWatch ; 39.888 ; 39.888 ; restrictionTimer ; 295.85 ; 5.4787 ; preSmoothTimer ; 17401.5 ; 322.249 ; upResidualTimer ; 585.326 ; 10.8394 ; postSmoothTimer ; 17383.4 ; 321.915 ; commTimer ; 2194.21 ; 3.31954 ; timeToSolveWatch ; 36435.6 ; 36435.6 ;
correctionTimer ; 180.01 ; 3.33351 ; setSolutionTimer ; 13.2238 ; 0.244885 ; cycleWatch ; 36353.4 ; 4039.26 ; setupWatch ; 38.449 ; 38.449 ; restrictionTimer ; 294.315 ; 5.45028 ; preSmoothTimer ; 17400.7 ; 322.235 ; upResidualTimer ; 587.02 ; 10.8707 ; postSmoothTimer ; 17385.4 ; 321.951 ; commTimer ; 2195.81 ; 3.32195 ; timeToSolveWatch ; 36435.6 ; 36435.6 ;
correctionTimer ; 179.625 ; 3.32639 ; setSolutionTimer ; 12.3043 ; 0.227857 ; cycleWatch ; 36352.8 ; 4039.2 ; setupWatch ; 39.5642 ; 39.5642 ; restrictionTimer ; 294.225 ; 5.44861 ; preSmoothTimer ; 17405 ; 322.315 ; upResidualTimer ; 583.765 ; 10.8105 ; postSmoothTimer ; 17384.8 ; 321.942 ; commTimer ; 2195.64 ; 3.3217 ; timeToSolveWatch ; 36435.6 ; 36435.6 ;
correctionTimer ; 180.126 ; 3.33566 ; setSolutionTimer ; 13.0216 ; 0.24114 ; cycleWatch ; 36349.3 ; 4038.81 ; setupWatch ; 40.7561 ; 40.7561 ; restrictionTimer ; 293.629 ; 5.43757 ; preSmoothTimer ; 17404.7 ; 322.309 ; upResidualTimer ; 584.041 ; 10.8156 ; postSmoothTimer ; 17380.2 ; 321.856 ; commTimer ; 2188.48 ; 3.31087 ; timeToSolveWatch ; 36435.6 ; 36435.6 ;
correctionTimer ; 179.443 ; 3.32303 ; setSolutionTimer ; 12.5696 ; 0.232771 ; cycleWatch ; 36350.3 ; 4038.92 ; setupWatch ; 39.9036 ; 39.9036 ; restrictionTimer ; 295.383 ; 5.47006 ; preSmoothTimer ; 17399.3 ; 322.21 ; upResidualTimer ; 588.105 ; 10.8908 ; postSmoothTimer ; 17381.6 ; 321.881 ; commTimer ; 2190.33 ; 3.31366 ; timeToSolveWatch ; 36435.6 ; 36435.6 ;
correctionTimer ; 178.243 ; 3.3008 ; setSolutionTimer ; 13.8868 ; 0.257163 ; cycleWatch ; 36354.9 ; 4039.43 ; setupWatch ; 40.8101 ; 40.8101 ; restrictionTimer ; 294.585 ; 5.45529 ; preSmoothTimer ; 17398.5 ; 322.194 ; upResidualTimer ; 588.442 ; 10.8971 ; postSmoothTimer ; 17388 ; 322 ; commTimer ; 2192.45 ; 3.31687 ; timeToSolveWatch ; 36435.6 ; 36435.6 ;
correctionTimer ; 180.178 ; 3.33664 ; setSolutionTimer ; 12.5285 ; 0.23201 ; cycleWatch ; 36360.5 ; 4040.05 ; setupWatch ; 38.1389 ; 38.1389 ; restrictionTimer ; 294.721 ; 5.45779 ; preSmoothTimer ; 17401.4 ; 322.249 ; upResidualTimer ; 586.717 ; 10.8651 ; postSmoothTimer ; 17391.3 ; 322.061 ; commTimer ; 2200.32 ; 3.32878 ; timeToSolveWatch ; 36435.6 ; 36435.6 ;
correctionTimer ; 179.997 ; 3.33328 ; setSolutionTimer ; 12.9094 ; 0.239063 ; cycleWatch ; 36353.9 ; 4039.32 ; setupWatch ; 40.9223 ; 40.9223 ; restrictionTimer ; 294.672 ; 5.45688 ; preSmoothTimer ; 17399.9 ; 322.22 ; upResidualTimer ; 587.893 ; 10.8869 ; postSmoothTimer ; 17383.8 ; 321.923 ; commTimer ; 2192.36 ; 3.31673 ; timeToSolveWatch ; 36435.6 ; 36435.6 ;
correctionTimer ; 180.163 ; 3.33636 ; setSolutionTimer ; 11.8508 ; 0.21946 ; cycleWatch ; 36353.8 ; 4039.31 ; setupWatch ; 39.9948 ; 39.9948 ; restrictionTimer ; 294.096 ; 5.44623 ; preSmoothTimer ; 17402.6 ; 322.27 ; upResidualTimer ; 586.798 ; 10.8666 ; postSmoothTimer ; 17384.2 ; 321.929 ; commTimer ; 2196.41 ; 3.32286 ; timeToSolveWatch ; 36435.6 ; 36435.6 ;
correctionTimer ; 179.452 ; 3.32318 ; setSolutionTimer ; 12.1744 ; 0.225452 ; cycleWatch ; 36354.3 ; 4039.37 ; setupWatch ; 40.1375 ; 40.1375 ; restrictionTimer ; 294.905 ; 5.4612 ; preSmoothTimer ; 17401.5 ; 322.25 ; upResidualTimer ; 586.64 ; 10.8637 ; postSmoothTimer ; 17386.1 ; 321.965 ; commTimer ; 2195.91 ; 3.3221 ; timeToSolveWatch ; 36435.6 ; 36435.6 ;
correctionTimer ; 178.035 ; 3.29695 ; setSolutionTimer ; 13.0481 ; 0.241632 ; cycleWatch ; 36358.6 ; 4039.84 ; setupWatch ; 40.7838 ; 40.7838 ; restrictionTimer ; 292.115 ; 5.40954 ; preSmoothTimer ; 17403.9 ; 322.294 ; upResidualTimer ; 586.173 ; 10.8551 ; postSmoothTimer ; 17390.5 ; 322.047 ; commTimer ; 2198.16 ; 3.3255 ; timeToSolveWatch ; 36435.6 ; 36435.6 ;
correctionTimer ; 171.769 ; 3.18091 ; setSolutionTimer ; 11.8363 ; 0.21919 ; cycleWatch ; 36332.9 ; 4036.99 ; setupWatch ; 39.3086 ; 39.3086 ; restrictionTimer ; 293.754 ; 5.43989 ; preSmoothTimer ; 17331.8 ; 320.959 ; upResidualTimer ; 657.647 ; 12.1786 ; postSmoothTimer ; 17316.5 ; 320.676 ; commTimer ; 2636.55 ; 3.98872 ; timeToSolveWatch ; 36435.6 ; 36435.6 ;
correctionTimer ; 173.35 ; 3.21018 ; setSolutionTimer ; 11.8828 ; 0.220052 ; cycleWatch ; 36328 ; 4036.44 ; setupWatch ; 40.2406 ; 40.2406 ; restrictionTimer ; 291.726 ; 5.40233 ; preSmoothTimer ; 17207.4 ; 318.656 ; upResidualTimer ; 784.139 ; 14.5211 ; postSmoothTimer ; 17197.8 ; 318.478 ; commTimer ; 3327.96 ; 5.03474 ; timeToSolveWatch ; 36435.6 ; 36435.6 ;
correctionTimer ; 180.468 ; 3.342 ; setSolutionTimer ; 13.2027 ; 0.244494 ; cycleWatch ; 36350.5 ; 4038.94 ; setupWatch ; 40.2683 ; 40.2683 ; restrictionTimer ; 296.198 ; 5.48514 ; preSmoothTimer ; 17400 ; 322.222 ; upResidualTimer ; 586.037 ; 10.8525 ; postSmoothTimer ; 17381.3 ; 321.875 ; commTimer ; 2190.86 ; 3.31447 ; timeToSolveWatch ; 36435.6 ; 36435.6 ;
correctionTimer ; 179.942 ; 3.33225 ; setSolutionTimer ; 13.7589 ; 0.254795 ; cycleWatch ; 36355.5 ; 4039.5 ; setupWatch ; 39.7842 ; 39.7842 ; restrictionTimer ; 294.559 ; 5.4548 ; preSmoothTimer ; 17400 ; 322.223 ; upResidualTimer ; 586.947 ; 10.8694 ; postSmoothTimer ; 17386.8 ; 321.977 ; commTimer ; 2193.59 ; 3.31859 ; timeToSolveWatch ; 36435.6 ; 36435.6 ;
correctionTimer ; 178.639 ; 3.30814 ; setSolutionTimer ; 13.1443 ; 0.243413 ; cycleWatch ; 36351.4 ; 4039.05 ; setupWatch ; 37.9081 ; 37.9081 ; restrictionTimer ; 296.438 ; 5.4896 ; preSmoothTimer ; 17401.9 ; 322.257 ; upResidualTimer ; 583.792 ; 10.811 ; postSmoothTimer ; 17382.9 ; 321.906 ; commTimer ; 2195.38 ; 3.32131 ; timeToSolveWatch ; 36435.6 ; 36435.6 ;
correctionTimer ; 180.205 ; 3.33713 ; setSolutionTimer ; 14.4472 ; 0.26754 ; cycleWatch ; 36352.2 ; 4039.13 ; setupWatch ; 39.8758 ; 39.8758 ; restrictionTimer ; 295.635 ; 5.47473 ; preSmoothTimer ; 17398.7 ; 322.198 ; upResidualTimer ; 586.503 ; 10.8612 ; postSmoothTimer ; 17382.2 ; 321.893 ; commTimer ; 2191.54 ; 3.31549 ; timeToSolveWatch ; 36435.6 ; 36435.6 ;
correctionTimer ; 180.416 ; 3.34104 ; setSolutionTimer ; 11.7996 ; 0.218512 ; cycleWatch ; 36353.4 ; 4039.27 ; setupWatch ; 40.7121 ; 40.7121 ; restrictionTimer ; 294.106 ; 5.44641 ; preSmoothTimer ; 17402.2 ; 322.263 ; upResidualTimer ; 587.179 ; 10.8737 ; postSmoothTimer ; 17385 ; 321.945 ; commTimer ; 2192.6 ; 3.31709 ; timeToSolveWatch ; 36435.6 ; 36435.6 ;
correctionTimer ; 179.166 ; 3.3179 ; setSolutionTimer ; 13.133 ; 0.243204 ; cycleWatch ; 36352.9 ; 4039.21 ; setupWatch ; 40.3945 ; 40.3945 ; restrictionTimer ; 293.915 ; 5.44287 ; preSmoothTimer ; 17403.7 ; 322.29 ; upResidualTimer ; 584.543 ; 10.8249 ; postSmoothTimer ; 17385.4 ; 321.952 ; commTimer ; 2195.44 ; 3.3214 ; timeToSolveWatch ; 36435.6 ; 36435.6 ;
correctionTimer ; 177.741 ; 3.29151 ; setSolutionTimer ; 12.1912 ; 0.225763 ; cycleWatch ; 36349.1 ; 4038.79 ; setupWatch ; 40.8387 ; 40.8387 ; restrictionTimer ; 293.547 ; 5.43605 ; preSmoothTimer ; 17405.9 ; 322.331 ; upResidualTimer ; 583.762 ; 10.8104 ; postSmoothTimer ; 17382.6 ; 321.9 ; commTimer ; 2194.69 ; 3.32026 ; timeToSolveWatch ; 36435.6 ; 36435.6 ;
correctionTimer ; 178.344 ; 3.30266 ; setSolutionTimer ; 12.3206 ; 0.228159 ; cycleWatch ; 36350.2 ; 4038.91 ; setupWatch ; 40.7387 ; 40.7387 ; restrictionTimer ; 294.313 ; 5.45024 ; preSmoothTimer ; 17398.8 ; 322.2 ; upResidualTimer ; 590.01 ; 10.9261 ; postSmoothTimer ; 17382.7 ; 321.902 ; commTimer ; 2193.83 ; 3.31896 ; timeToSolveWatch ; 36435.6 ; 36435.6 ;
correctionTimer ; 179.239 ; 3.31925 ; setSolutionTimer ; 11.9647 ; 0.221569 ; cycleWatch ; 36354.9 ; 4039.44 ; setupWatch ; 40.0672 ; 40.0672 ; restrictionTimer ; 294.66 ; 5.45667 ; preSmoothTimer ; 17399.5 ; 322.213 ; upResidualTimer ; 589.288 ; 10.9127 ; postSmoothTimer ; 17386.9 ; 321.98 ; commTimer ; 2198.71 ; 3.32634 ; timeToSolveWatch ; 36435.6 ; 36435.6 ;
correctionTimer ; 178.067 ; 3.29753 ; setSolutionTimer ; 12.2121 ; 0.22615 ; cycleWatch ; 36360.5 ; 4040.06 ; setupWatch ; 40.6656 ; 40.6656 ; restrictionTimer ; 294.151 ; 5.44724 ; preSmoothTimer ; 17402.2 ; 322.262 ; upResidualTimer ; 586.905 ; 10.8686 ; postSmoothTimer ; 17393.5 ; 322.102 ; commTimer ; 2201.24 ; 3.33016 ; timeToSolveWatch ; 36435.6 ; 36435.6 ;
correctionTimer ; 178.877 ; 3.31254 ; setSolutionTimer ; 12.9838 ; 0.24044 ; cycleWatch ; 36353.9 ; 4039.33 ; setupWatch ; 40.8203 ; 40.8203 ; restrictionTimer ; 295.218 ; 5.467 ; preSmoothTimer ; 17400.7 ; 322.236 ; upResidualTimer ; 586.444 ; 10.8601 ; postSmoothTimer ; 17385 ; 321.944 ; commTimer ; 2194.88 ; 3.32055 ; timeToSolveWatch ; 36435.6 ; 36435.6 ;
correctionTimer ; 177.153 ; 3.28061 ; setSolutionTimer ; 12.7543 ; 0.236191 ; cycleWatch ; 36353.7 ; 4039.3 ; setupWatch ; 40.8313 ; 40.8313 ; restrictionTimer ; 293.52 ; 5.43556 ; preSmoothTimer ; 17401.1 ; 322.243 ; upResidualTimer ; 587.966 ; 10.8883 ; postSmoothTimer ; 17387.1 ; 321.984 ; commTimer ; 2194.59 ; 3.3201 ; timeToSolveWatch ; 36435.6 ; 36435.6 ;
correctionTimer ; 180.944 ; 3.35082 ; setSolutionTimer ; 12.5689 ; 0.232758 ; cycleWatch ; 36354.4 ; 4039.37 ; setupWatch ; 39.9947 ; 39.9947 ; restrictionTimer ; 294.951 ; 5.46206 ; preSmoothTimer ; 17401.2 ; 322.245 ; upResidualTimer ; 586.556 ; 10.8621 ; postSmoothTimer ; 17384.7 ; 321.938 ; commTimer ; 2190.9 ; 3.31452 ; timeToSolveWatch ; 36435.6 ; 36435.6 ;
correctionTimer ; 179.735 ; 3.32842 ; setSolutionTimer ; 12.0236 ; 0.222659 ; cycleWatch ; 36358.5 ; 4039.84 ; setupWatch ; 40.9914 ; 40.9914 ; restrictionTimer ; 292.645 ; 5.41934 ; preSmoothTimer ; 17404.9 ; 322.312 ; upResidualTimer ; 585.715 ; 10.8466 ; postSmoothTimer ; 17388.9 ; 322.017 ; commTimer ; 2198.35 ; 3.32579 ; timeToSolveWatch ; 36435.6 ; 36435.6 ;
correctionTimer ; 171.174 ; 3.16988 ; setSolutionTimer ; 11.3719 ; 0.21059 ; cycleWatch ; 36332.5 ; 4036.94 ; setupWatch ; 40.4412 ; 40.4412 ; restrictionTimer ; 294.167 ; 5.44754 ; preSmoothTimer ; 17332.8 ; 320.978 ; upResidualTimer ; 656.726 ; 12.1616 ; postSmoothTimer ; 17316.7 ; 320.68 ; commTimer ; 2640.96 ; 3.9954 ; timeToSolveWatch ; 36435.6 ; 36435.6 ;
correctionTimer ; 170.11 ; 3.15018 ; setSolutionTimer ; 11.0616 ; 0.204845 ; cycleWatch ; 36328.2 ; 4036.47 ; setupWatch ; 39.6007 ; 39.6007 ; restrictionTimer ; 291.509 ; 5.39831 ; preSmoothTimer ; 17208.6 ; 318.677 ; upResidualTimer ; 784.113 ; 14.5206 ; postSmoothTimer ; 17201 ; 318.537 ; commTimer ; 3334.5 ; 5.04463 ; timeToSolveWatch ; 36435.6 ; 36435.6 ;
correctionTimer ; 178.361 ; 3.30299 ; setSolutionTimer ; 12.6207 ; 0.233716 ; cycleWatch ; 36350.3 ; 4038.92 ; setupWatch ; 38.711 ; 38.711 ; restrictionTimer ; 295.863 ; 5.47894 ; preSmoothTimer ; 17401.8 ; 322.256 ; upResidualTimer ; 585.161 ; 10.8363 ; postSmoothTimer ; 17383.3 ; 321.914 ; commTimer ; 2191.86 ; 3.31597 ; timeToSolveWatch ; 36435.6 ; 36435.6 ;
correctionTimer ; 177.077 ; 3.27921 ; setSolutionTimer ; 14.6911 ; 0.272057 ; cycleWatch ; 36355.2 ; 4039.46 ; setupWatch ; 39.9671 ; 39.9671 ; restrictionTimer ; 295.176 ; 5.46623 ; preSmoothTimer ; 17399.5 ; 322.212 ; upResidualTimer ; 586.005 ; 10.8519 ; postSmoothTimer ; 17389.5 ; 322.029 ; commTimer ; 2197.9 ; 3.32511 ; timeToSolveWatch ; 36435.6 ; 36435.6 ;
correctionTimer ; 180.281 ; 3.33854 ; setSolutionTimer ; 13.1229 ; 0.243016 ; cycleWatch ; 36351.4 ; 4039.04 ; setupWatch ; 40.4745 ; 40.4745 ; restrictionTimer ; 296.877 ; 5.49772 ; preSmoothTimer ; 17400.7 ; 322.236 ; upResidualTimer ; 584.521 ; 10.8245 ; postSmoothTimer ; 17381.3 ; 321.875 ; commTimer ; 2190.9 ; 3.31453 ; timeToSolveWatch ; 36435.6 ; 36435.6 ;
correctionTimer ; 180.789 ; 3.34794 ; setSolutionTimer ; 12.1712 ; 0.225393 ; cycleWatch ; 36351.9 ; 4039.1 ; setupWatch ; 40.5358 ; 40.5358 ; restrictionTimer ; 294.712 ; 5.45762 ; preSmoothTimer ; 17401.9 ; 322.257 ; upResidualTimer ; 586.509 ; 10.8613 ; postSmoothTimer ; 17381.6 ; 321.882 ; commTimer ; 2191.63 ; 3.31563 ; timeToSolveWatch ; 36435.6 ; 36435.6 ;
correctionTimer ; 180.379 ; 3.34035 ; setSolutionTimer ; 12.3623 ; 0.228932 ; cycleWatch ; 36352.9 ; 4039.21 ; setupWatch ; 39.0621 ; 39.0621 ; restrictionTimer ; 294.459 ; 5.45294 ; preSmoothTimer ; 17401.9 ; 322.257 ; upResidualTimer ; 586.588 ; 10.8627 ; postSmoothTimer ; 17385 ; 321.944 ; commTimer ; 2194.32 ; 3.31969 ; timeToSolveWatch ; 36435.6 ; 36435.6 ;
correctionTimer ; 180.026 ; 3.33382 ; setSolutionTimer ; 12.9856 ; 0.240473 ; cycleWatch ; 36353.2 ; 4039.24 ; setupWatch ; 40.7551 ; 40.7551 ; restrictionTimer ; 294.513 ; 5.45394 ; preSmoothTimer ; 17404 ; 322.296 ; upResidualTimer ; 583.865 ; 10.8123 ; postSmoothTimer ; 17384.4 ; 321.934 ; commTimer ; 2192.5 ; 3.31694 ; timeToSolveWatch ; 36435.6 ; 36435.6 ;
correctionTimer ; 179.349 ; 3.32127 ; setSolutionTimer ; 12.9501 ; 0.239818 ; cycleWatch ; 36349.1 ; 4038.78 ; setupWatch ; 40.9818 ; 40.9818 ; restrictionTimer ; 293.749 ; 5.4398 ; preSmoothTimer ; 17404.6 ; 322.308 ; upResidualTimer ; 584.099 ; 10.8167 ; postSmoothTimer ; 17381 ; 321.87 ; commTimer ; 2189.69 ; 3.31269 ; timeToSolveWatch ; 36435.6 ; 36435.6 ;
correctionTimer ; 181.003 ; 3.35191 ; setSolutionTimer ; 13.5713 ; 0.251321 ; cycleWatch ; 36350.3 ; 4038.92 ; setupWatch ; 40.9795 ; 40.9795 ; restrictionTimer ; 295.962 ; 5.48079 ; preSmoothTimer ; 17399.3 ; 322.209 ; upResidualTimer ; 586.598 ; 10.8629 ; postSmoothTimer ; 17380 ; 321.852 ; commTimer ; 2189.36 ; 3.3122 ; timeToSolveWatch ; 36435.6 ; 36435.6 ;
correctionTimer ; 180.411 ; 3.34094 ; setSolutionTimer ; 13.5507 ; 0.25094 ; cycleWatch ; 36355 ; 4039.45 ; setupWatch ; 40.1284 ; 40.1284 ; restrictionTimer ; 293.104 ; 5.42786 ; preSmoothTimer ; 17398.7 ; 322.197 ; upResidualTimer ; 590.067 ; 10.9272 ; postSmoothTimer ; 17385.9 ; 321.96 ; commTimer ; 2192.05 ; 3.31626 ; timeToSolveWatch ; 36435.6 ; 36435.6 ;
correctionTimer ; 180.011 ; 3.33354 ; setSolutionTimer ; 13.0086 ; 0.240901 ; cycleWatch ; 36360.6 ; 4040.06 ; setupWatch ; 37.8991 ; 37.8991 ; restrictionTimer ; 295.733 ; 5.47653 ; preSmoothTimer ; 17400.6 ; 322.233 ; upResidualTimer ; 586.082 ; 10.8534 ; postSmoothTimer ; 17391.5 ; 322.064 ; commTimer ; 2204.01 ; 3.33435 ; timeToSolveWatch ; 36435.6 ; 36435.6 ;
