correctionTimer ; 167.52 ; 3.10223 ; setSolutionTimer ; 12.8591 ; 0.238132 ; cycleWatch ; 38634.7 ; 4292.75 ; setupWatch ; 37.3801 ; 37.3801 ; restrictionTimer ; 278.101 ; 5.15001 ; preSmoothTimer ; 18562.1 ; 343.743 ; upResidualTimer ; 600.531 ; 11.1209 ; postSmoothTimer ; 18532 ; 343.185 ; commTimer ; 2477.31 ; 3.71968 ; timeToSolveWatch ; 38742.5 ; 38742.5 ;
correctionTimer ; 171.841 ; 3.18224 ; setSolutionTimer ; 13.4868 ; 0.249756 ; cycleWatch ; 38641.9 ; 4293.54 ; setupWatch ; 38.1306 ; 38.1306 ; restrictionTimer ; 273.545 ; 5.06564 ; preSmoothTimer ; 18546.4 ; 343.452 ; upResidualTimer ; 625.261 ; 11.5789 ; postSmoothTimer ; 18481.9 ; 342.257 ; commTimer ; 2646.58 ; 3.97385 ; timeToSolveWatch ; 38742.1 ; 38742.1 ;
correctionTimer ; 171.993 ; 3.18506 ; setSolutionTimer ; 13.0758 ; 0.242144 ; cycleWatch ; 38641.8 ; 4293.53 ; setupWatch ; 37.268 ; 37.268 ; restrictionTimer ; 279.441 ; 5.17484 ; preSmoothTimer ; 18542.2 ; 343.375 ; upResidualTimer ; 623.835 ; 11.5525 ; postSmoothTimer ; 18483.3 ; 342.284 ; commTimer ; 2649.27 ; 3.97789 ; timeToSolveWatch ; 38742.1 ; 38742.1 ;
correctionTimer ; 172.098 ; 3.18699 ; setSolutionTimer ; 14.236 ; 0.263629 ; cycleWatch ; 38599.1 ; 4288.79 ; setupWatch ; 39.2733 ; 39.2733 ; restrictionTimer ; 314.046 ; 5.81566 ; preSmoothTimer ; 18501.6 ; 342.623 ; upResidualTimer ; 628.6 ; 11.6407 ; postSmoothTimer ; 18441.7 ; 341.512 ; commTimer ; 2601.4 ; 3.906 ; timeToSolveWatch ; 38742.1 ; 38742.1 ;
correctionTimer ; 173.172 ; 3.20689 ; setSolutionTimer ; 14.2459 ; 0.263814 ; cycleWatch ; 38597.1 ; 4288.57 ; setupWatch ; 38.8409 ; 38.8409 ; restrictionTimer ; 283.647 ; 5.25272 ; preSmoothTimer ; 18535.1 ; 343.242 ; upResidualTimer ; 625.478 ; 11.5829 ; postSmoothTimer ; 18435 ; 341.388 ; commTimer ; 2599.57 ; 3.90326 ; timeToSolveWatch ; 38742.1 ; 38742.1 ;
correctionTimer ; 174.172 ; 3.22541 ; setSolutionTimer ; 12.7013 ; 0.23521 ; cycleWatch ; 38552.3 ; 4283.59 ; setupWatch ; 40.1266 ; 40.1266 ; restrictionTimer ; 318.101 ; 5.89076 ; preSmoothTimer ; 18504 ; 342.666 ; upResidualTimer ; 623.696 ; 11.5499 ; postSmoothTimer ; 18407.8 ; 340.885 ; commTimer ; 2554.86 ; 3.83612 ; timeToSolveWatch ; 38742.1 ; 38742.1 ;
correctionTimer ; 171.303 ; 3.17228 ; setSolutionTimer ; 12.6798 ; 0.234812 ; cycleWatch ; 38546.6 ; 4282.95 ; setupWatch ; 39.1228 ; 39.1228 ; restrictionTimer ; 276.641 ; 5.12299 ; preSmoothTimer ; 18548.6 ; 343.493 ; upResidualTimer ; 620.615 ; 11.4929 ; postSmoothTimer ; 18411 ; 340.944 ; commTimer ; 2553.27 ; 3.83374 ; timeToSolveWatch ; 38742.1 ; 38742.1 ;
correctionTimer ; 167.583 ; 3.10338 ; setSolutionTimer ; 12.6785 ; 0.234787 ; cycleWatch ; 38526.6 ; 4280.73 ; setupWatch ; 38.2571 ; 38.2571 ; restrictionTimer ; 311.093 ; 5.76098 ; preSmoothTimer ; 18491 ; 342.425 ; upResidualTimer ; 643.651 ; 11.9195 ; postSmoothTimer ; 18364 ; 340.073 ; commTimer ; 2868.99 ; 4.30779 ; timeToSolveWatch ; 38742.1 ; 38742.1 ;
correctionTimer ; 170.021 ; 3.14854 ; setSolutionTimer ; 12.6782 ; 0.234782 ; cycleWatch ; 38656.5 ; 4295.16 ; setupWatch ; 37.2032 ; 37.2032 ; restrictionTimer ; 277.626 ; 5.14122 ; preSmoothTimer ; 18612.5 ; 344.677 ; upResidualTimer ; 555.932 ; 10.295 ; postSmoothTimer ; 18583.3 ; 344.135 ; commTimer ; 2207.01 ; 3.31383 ; timeToSolveWatch ; 38742.1 ; 38742.1 ;
correctionTimer ; 172.929 ; 3.20239 ; setSolutionTimer ; 12.402 ; 0.229667 ; cycleWatch ; 38659.1 ; 4295.45 ; setupWatch ; 40.0027 ; 40.0027 ; restrictionTimer ; 275.257 ; 5.09735 ; preSmoothTimer ; 18587.6 ; 344.214 ; upResidualTimer ; 583.785 ; 10.8108 ; postSmoothTimer ; 18534.4 ; 343.229 ; commTimer ; 2385.18 ; 3.58135 ; timeToSolveWatch ; 38742.1 ; 38742.1 ;
correctionTimer ; 173.664 ; 3.21601 ; setSolutionTimer ; 12.823 ; 0.237463 ; cycleWatch ; 38658.3 ; 4295.36 ; setupWatch ; 38.9454 ; 38.9454 ; restrictionTimer ; 282.227 ; 5.22643 ; preSmoothTimer ; 18583.7 ; 344.142 ; upResidualTimer ; 580.221 ; 10.7448 ; postSmoothTimer ; 18535.6 ; 343.251 ; commTimer ; 2382.65 ; 3.57755 ; timeToSolveWatch ; 38742.1 ; 38742.1 ;
correctionTimer ; 173.356 ; 3.21029 ; setSolutionTimer ; 14.3662 ; 0.266041 ; cycleWatch ; 38615.5 ; 4290.61 ; setupWatch ; 40.0208 ; 40.0208 ; restrictionTimer ; 315.769 ; 5.84757 ; preSmoothTimer ; 18544.3 ; 343.413 ; upResidualTimer ; 584.391 ; 10.822 ; postSmoothTimer ; 18494.2 ; 342.486 ; commTimer ; 2335.63 ; 3.50695 ; timeToSolveWatch ; 38742.1 ; 38742.1 ;
correctionTimer ; 174.384 ; 3.22933 ; setSolutionTimer ; 12.2461 ; 0.22678 ; cycleWatch ; 38615.1 ; 4290.57 ; setupWatch ; 39.2346 ; 39.2346 ; restrictionTimer ; 286.972 ; 5.3143 ; preSmoothTimer ; 18578.6 ; 344.048 ; upResidualTimer ; 580.986 ; 10.759 ; postSmoothTimer ; 18487.2 ; 342.355 ; commTimer ; 2336.18 ; 3.50777 ; timeToSolveWatch ; 38742.1 ; 38742.1 ;
correctionTimer ; 174.467 ; 3.23087 ; setSolutionTimer ; 15.7803 ; 0.292228 ; cycleWatch ; 38568.1 ; 4285.34 ; setupWatch ; 37.2244 ; 37.2244 ; restrictionTimer ; 320.507 ; 5.93532 ; preSmoothTimer ; 18544.5 ; 343.416 ; upResidualTimer ; 578.049 ; 10.7046 ; postSmoothTimer ; 18460.2 ; 341.856 ; commTimer ; 2284.89 ; 3.43076 ; timeToSolveWatch ; 38742.1 ; 38742.1 ;
correctionTimer ; 174.71 ; 3.23537 ; setSolutionTimer ; 12.9526 ; 0.239863 ; cycleWatch ; 38565.7 ; 4285.07 ; setupWatch ; 39.3899 ; 39.3899 ; restrictionTimer ; 278.69 ; 5.16093 ; preSmoothTimer ; 18591.7 ; 344.29 ; upResidualTimer ; 575.609 ; 10.6594 ; postSmoothTimer ; 18460.3 ; 341.858 ; commTimer ; 2285.67 ; 3.43193 ; timeToSolveWatch ; 38742.1 ; 38742.1 ;
correctionTimer ; 169.342 ; 3.13597 ; setSolutionTimer ; 12.8568 ; 0.238088 ; cycleWatch ; 38541.5 ; 4282.38 ; setupWatch ; 39.36 ; 39.36 ; restrictionTimer ; 308.651 ; 5.71577 ; preSmoothTimer ; 18538.2 ; 343.3 ; upResidualTimer ; 599.013 ; 11.0928 ; postSmoothTimer ; 18415.5 ; 341.028 ; commTimer ; 2594.26 ; 3.89528 ; timeToSolveWatch ; 38742.1 ; 38742.1 ;
correctionTimer ; 169.533 ; 3.1395 ; setSolutionTimer ; 12.9962 ; 0.24067 ; cycleWatch ; 38660.3 ; 4295.59 ; setupWatch ; 37.2213 ; 37.2213 ; restrictionTimer ; 282.335 ; 5.22842 ; preSmoothTimer ; 18607.1 ; 344.577 ; upResidualTimer ; 556.328 ; 10.3024 ; postSmoothTimer ; 18590.4 ; 344.266 ; commTimer ; 2217.43 ; 3.32947 ; timeToSolveWatch ; 38742.1 ; 38742.1 ;
correctionTimer ; 173.552 ; 3.21392 ; setSolutionTimer ; 12.0178 ; 0.222551 ; cycleWatch ; 38664.8 ; 4296.08 ; setupWatch ; 39.5337 ; 39.5337 ; restrictionTimer ; 276.286 ; 5.1164 ; preSmoothTimer ; 18586.3 ; 344.191 ; upResidualTimer ; 584.347 ; 10.8212 ; postSmoothTimer ; 18541.7 ; 343.365 ; commTimer ; 2388.07 ; 3.5857 ; timeToSolveWatch ; 38742.1 ; 38742.1 ;
correctionTimer ; 172.713 ; 3.19839 ; setSolutionTimer ; 12.2645 ; 0.227121 ; cycleWatch ; 38663.7 ; 4295.97 ; setupWatch ; 37.3183 ; 37.3183 ; restrictionTimer ; 283.018 ; 5.24107 ; preSmoothTimer ; 18580.3 ; 344.079 ; upResidualTimer ; 583.363 ; 10.803 ; postSmoothTimer ; 18543.3 ; 343.395 ; commTimer ; 2386.43 ; 3.58323 ; timeToSolveWatch ; 38742.1 ; 38742.1 ;
