correctionTimer ; 154.435 ; 2.85991 ; setSolutionTimer ; 4.64064 ; 0.0859377 ; cycleWatch ; 10773 ; 1197 ; setupWatch ; 27.8645 ; 27.8645 ; restrictionTimer ; 200.25 ; 3.70833 ; preSmoothTimer ; 4815.24 ; 89.1712 ; upResidualTimer ; 410.758 ; 7.60663 ; postSmoothTimer ; 4798.62 ; 88.8633 ; commTimer ; 1264.84 ; 1.90488 ; timeToSolveWatch ; 10902.8 ; 10902.8 ;
correctionTimer ; 157.233 ; 2.91172 ; setSolutionTimer ; 3.86752 ; 0.0716208 ; cycleWatch ; 10790.6 ; 1198.96 ; setupWatch ; 32.0342 ; 32.0342 ; restrictionTimer ; 208.075 ; 3.85324 ; preSmoothTimer ; 4819.36 ; 89.2474 ; upResidualTimer ; 404.545 ; 7.49157 ; postSmoothTimer ; 4813.64 ; 89.1415 ; commTimer ; 1217.96 ; 1.83427 ; timeToSolveWatch ; 10902.4 ; 10902.4 ;
correctionTimer ; 157.271 ; 2.91242 ; setSolutionTimer ; 3.87533 ; 0.0717655 ; cycleWatch ; 10785.3 ; 1198.37 ; setupWatch ; 30.6166 ; 30.6166 ; restrictionTimer ; 196.894 ; 3.64618 ; preSmoothTimer ; 4829.78 ; 89.4404 ; upResidualTimer ; 405.352 ; 7.50651 ; postSmoothTimer ; 4810.5 ; 89.0834 ; commTimer ; 1214.64 ; 1.82927 ; timeToSolveWatch ; 10902.4 ; 10902.4 ;
correctionTimer ; 155.628 ; 2.882 ; setSolutionTimer ; 3.61433 ; 0.0669321 ; cycleWatch ; 10787.4 ; 1198.6 ; setupWatch ; 32.8152 ; 32.8152 ; restrictionTimer ; 203.933 ; 3.77655 ; preSmoothTimer ; 4824.13 ; 89.3357 ; upResidualTimer ; 404.076 ; 7.48288 ; postSmoothTimer ; 4815.75 ; 89.1805 ; commTimer ; 1209.94 ; 1.82219 ; timeToSolveWatch ; 10902.4 ; 10902.4 ;
correctionTimer ; 155.099 ; 2.87221 ; setSolutionTimer ; 4.85981 ; 0.0899965 ; cycleWatch ; 10779 ; 1197.67 ; setupWatch ; 31.2716 ; 31.2716 ; restrictionTimer ; 200.107 ; 3.70569 ; preSmoothTimer ; 4826.17 ; 89.3735 ; upResidualTimer ; 404.794 ; 7.49618 ; postSmoothTimer ; 4803.99 ; 88.9627 ; commTimer ; 1229.77 ; 1.85206 ; timeToSolveWatch ; 10902.4 ; 10902.4 ;
correctionTimer ; 157.923 ; 2.9245 ; setSolutionTimer ; 3.74341 ; 0.0693225 ; cycleWatch ; 10791.7 ; 1199.08 ; setupWatch ; 31.2353 ; 31.2353 ; restrictionTimer ; 209.141 ; 3.87298 ; preSmoothTimer ; 4824.44 ; 89.3415 ; upResidualTimer ; 398.81 ; 7.38536 ; postSmoothTimer ; 4818.95 ; 89.2398 ; commTimer ; 1183.71 ; 1.7827 ; timeToSolveWatch ; 10902.4 ; 10902.4 ;
correctionTimer ; 157.924 ; 2.92452 ; setSolutionTimer ; 3.83653 ; 0.0710469 ; cycleWatch ; 10787.2 ; 1198.58 ; setupWatch ; 32.6323 ; 32.6323 ; restrictionTimer ; 196.669 ; 3.64202 ; preSmoothTimer ; 4835.36 ; 89.5438 ; upResidualTimer ; 400.323 ; 7.41338 ; postSmoothTimer ; 4815.85 ; 89.1824 ; commTimer ; 1176.11 ; 1.77125 ; timeToSolveWatch ; 10902.4 ; 10902.4 ;
correctionTimer ; 156.339 ; 2.89517 ; setSolutionTimer ; 3.73781 ; 0.0692186 ; cycleWatch ; 10789.4 ; 1198.83 ; setupWatch ; 33.2438 ; 33.2438 ; restrictionTimer ; 202.638 ; 3.75255 ; preSmoothTimer ; 4829.87 ; 89.4421 ; upResidualTimer ; 399.8 ; 7.4037 ; postSmoothTimer ; 4821.02 ; 89.2781 ; commTimer ; 1175.57 ; 1.77043 ; timeToSolveWatch ; 10902.4 ; 10902.4 ;
correctionTimer ; 155.108 ; 2.87237 ; setSolutionTimer ; 4.8143 ; 0.0891537 ; cycleWatch ; 10779.6 ; 1197.73 ; setupWatch ; 31.3169 ; 31.3169 ; restrictionTimer ; 199.471 ; 3.6939 ; preSmoothTimer ; 4826.73 ; 89.3839 ; upResidualTimer ; 404.878 ; 7.49774 ; postSmoothTimer ; 4804.32 ; 88.9688 ; commTimer ; 1228.78 ; 1.85057 ; timeToSolveWatch ; 10902.4 ; 10902.4 ;
correctionTimer ; 157.952 ; 2.92504 ; setSolutionTimer ; 3.73551 ; 0.069176 ; cycleWatch ; 10792.3 ; 1199.15 ; setupWatch ; 31.5021 ; 31.5021 ; restrictionTimer ; 209.503 ; 3.87969 ; preSmoothTimer ; 4824.22 ; 89.3373 ; upResidualTimer ; 398.615 ; 7.38176 ; postSmoothTimer ; 4819.18 ; 89.2441 ; commTimer ; 1182.24 ; 1.78048 ; timeToSolveWatch ; 10902.4 ; 10902.4 ;
correctionTimer ; 157.89 ; 2.92389 ; setSolutionTimer ; 3.91622 ; 0.0725225 ; cycleWatch ; 10786.8 ; 1198.54 ; setupWatch ; 33.2394 ; 33.2394 ; restrictionTimer ; 197.084 ; 3.6497 ; preSmoothTimer ; 4835.4 ; 89.5445 ; upResidualTimer ; 399.707 ; 7.40198 ; postSmoothTimer ; 4816.47 ; 89.1938 ; commTimer ; 1174.97 ; 1.76953 ; timeToSolveWatch ; 10902.4 ; 10902.4 ;
