correctionTimer ; 137.56 ; 2.86583 ; setSolutionTimer ; 4.34089 ; 0.0904353 ; cycleWatch ; 5343.48 ; 667.935 ; setupWatch ; 32.9147 ; 32.9147 ; restrictionTimer ; 213.702 ; 4.45212 ; preSmoothTimer ; 2157.96 ; 44.9575 ; upResidualTimer ; 369.743 ; 7.70297 ; postSmoothTimer ; 2129.19 ; 44.3581 ; commTimer ; 2001 ; 2.39928 ; timeToSolveWatch ; 5456.49 ; 5456.49 ;
correctionTimer ; 139.935 ; 2.91532 ; setSolutionTimer ; 4.14934 ; 0.0864446 ; cycleWatch ; 5360.94 ; 670.118 ; setupWatch ; 32.8356 ; 32.8356 ; restrictionTimer ; 209.575 ; 4.36614 ; preSmoothTimer ; 2168.11 ; 45.1689 ; upResidualTimer ; 368.322 ; 7.67337 ; postSmoothTimer ; 2136.88 ; 44.5183 ; commTimer ; 1984.55 ; 2.37956 ; timeToSolveWatch ; 5456.08 ; 5456.08 ;
correctionTimer ; 139.926 ; 2.91513 ; setSolutionTimer ; 4.04285 ; 0.084226 ; cycleWatch ; 5362.21 ; 670.277 ; setupWatch ; 32.5899 ; 32.5899 ; restrictionTimer ; 208.217 ; 4.33785 ; preSmoothTimer ; 2169.1 ; 45.1897 ; upResidualTimer ; 368.63 ; 7.67978 ; postSmoothTimer ; 2139.91 ; 44.5814 ; commTimer ; 1983.43 ; 2.37822 ; timeToSolveWatch ; 5456.08 ; 5456.08 ;
correctionTimer ; 138.388 ; 2.88309 ; setSolutionTimer ; 4.36123 ; 0.0908589 ; cycleWatch ; 5353.74 ; 669.218 ; setupWatch ; 31.799 ; 31.799 ; restrictionTimer ; 214.954 ; 4.47822 ; preSmoothTimer ; 2162.23 ; 45.0465 ; upResidualTimer ; 368.259 ; 7.67206 ; postSmoothTimer ; 2133.42 ; 44.4462 ; commTimer ; 1989.29 ; 2.38523 ; timeToSolveWatch ; 5456.08 ; 5456.08 ;
correctionTimer ; 138.215 ; 2.87948 ; setSolutionTimer ; 4.41826 ; 0.0920472 ; cycleWatch ; 5358.92 ; 669.865 ; setupWatch ; 32.8766 ; 32.8766 ; restrictionTimer ; 203.919 ; 4.24831 ; preSmoothTimer ; 2172 ; 45.2501 ; upResidualTimer ; 369.837 ; 7.70494 ; postSmoothTimer ; 2139.67 ; 44.5764 ; commTimer ; 1958 ; 2.34772 ; timeToSolveWatch ; 5456.08 ; 5456.08 ;
correctionTimer ; 140.571 ; 2.92857 ; setSolutionTimer ; 4.33792 ; 0.0903733 ; cycleWatch ; 5366.18 ; 670.773 ; setupWatch ; 32.8535 ; 32.8535 ; restrictionTimer ; 206.898 ; 4.31038 ; preSmoothTimer ; 2169.6 ; 45.2 ; upResidualTimer ; 369.535 ; 7.69865 ; postSmoothTimer ; 2142.79 ; 44.6414 ; commTimer ; 1941.68 ; 2.32816 ; timeToSolveWatch ; 5456.08 ; 5456.08 ;
correctionTimer ; 140.558 ; 2.92829 ; setSolutionTimer ; 4.06185 ; 0.0846219 ; cycleWatch ; 5369.74 ; 671.218 ; setupWatch ; 32.923 ; 32.923 ; restrictionTimer ; 207.298 ; 4.31871 ; preSmoothTimer ; 2170.44 ; 45.2176 ; upResidualTimer ; 368.416 ; 7.67534 ; postSmoothTimer ; 2148.14 ; 44.7529 ; commTimer ; 1930.08 ; 2.31425 ; timeToSolveWatch ; 5456.08 ; 5456.08 ;
correctionTimer ; 139.008 ; 2.89599 ; setSolutionTimer ; 4.35706 ; 0.0907722 ; cycleWatch ; 5365.5 ; 670.687 ; setupWatch ; 33.0142 ; 33.0142 ; restrictionTimer ; 203.978 ; 4.24954 ; preSmoothTimer ; 2173.94 ; 45.2905 ; upResidualTimer ; 367.748 ; 7.66142 ; postSmoothTimer ; 2146.13 ; 44.711 ; commTimer ; 1938.11 ; 2.32387 ; timeToSolveWatch ; 5456.08 ; 5456.08 ;
correctionTimer ; 138.215 ; 2.87948 ; setSolutionTimer ; 4.42846 ; 0.0922595 ; cycleWatch ; 5356.79 ; 669.598 ; setupWatch ; 32.8955 ; 32.8955 ; restrictionTimer ; 204.928 ; 4.26933 ; preSmoothTimer ; 2169.55 ; 45.1989 ; upResidualTimer ; 371.192 ; 7.73317 ; postSmoothTimer ; 2137.65 ; 44.5344 ; commTimer ; 1962.34 ; 2.35293 ; timeToSolveWatch ; 5456.08 ; 5456.08 ;
correctionTimer ; 140.59 ; 2.92896 ; setSolutionTimer ; 4.22098 ; 0.0879372 ; cycleWatch ; 5365.35 ; 670.669 ; setupWatch ; 32.9395 ; 32.9395 ; restrictionTimer ; 207.441 ; 4.32168 ; preSmoothTimer ; 2168.77 ; 45.1827 ; upResidualTimer ; 369.805 ; 7.70426 ; postSmoothTimer ; 2141.92 ; 44.6233 ; commTimer ; 1944.62 ; 2.33167 ; timeToSolveWatch ; 5456.08 ; 5456.08 ;
correctionTimer ; 140.535 ; 2.92781 ; setSolutionTimer ; 4.14677 ; 0.086391 ; cycleWatch ; 5368.58 ; 671.073 ; setupWatch ; 32.7818 ; 32.7818 ; restrictionTimer ; 208.207 ; 4.33765 ; preSmoothTimer ; 2169.93 ; 45.2068 ; upResidualTimer ; 367.818 ; 7.66287 ; postSmoothTimer ; 2146.43 ; 44.7174 ; commTimer ; 1927.29 ; 2.3109 ; timeToSolveWatch ; 5456.08 ; 5456.08 ;
correctionTimer ; 138.993 ; 2.89568 ; setSolutionTimer ; 4.15678 ; 0.0865996 ; cycleWatch ; 5363.86 ; 670.482 ; setupWatch ; 32.8909 ; 32.8909 ; restrictionTimer ; 211.832 ; 4.41317 ; preSmoothTimer ; 2165.81 ; 45.121 ; upResidualTimer ; 368.165 ; 7.67011 ; postSmoothTimer ; 2143.77 ; 44.6618 ; commTimer ; 1935.43 ; 2.32065 ; timeToSolveWatch ; 5456.08 ; 5456.08 ;
correctionTimer ; 137.525 ; 2.86511 ; setSolutionTimer ; 4.26001 ; 0.0887502 ; cycleWatch ; 5356.81 ; 669.601 ; setupWatch ; 32.9187 ; 32.9187 ; restrictionTimer ; 202.723 ; 4.22339 ; preSmoothTimer ; 2174.14 ; 45.2946 ; upResidualTimer ; 368.804 ; 7.68342 ; postSmoothTimer ; 2138.25 ; 44.5468 ; commTimer ; 1969.92 ; 2.36201 ; timeToSolveWatch ; 5456.08 ; 5456.08 ;
correctionTimer ; 139.905 ; 2.91468 ; setSolutionTimer ; 4.25274 ; 0.0885987 ; cycleWatch ; 5363.37 ; 670.422 ; setupWatch ; 32.8665 ; 32.8665 ; restrictionTimer ; 206.305 ; 4.29801 ; preSmoothTimer ; 2170.01 ; 45.2086 ; upResidualTimer ; 369.507 ; 7.69805 ; postSmoothTimer ; 2141.02 ; 44.6046 ; commTimer ; 1952.84 ; 2.34153 ; timeToSolveWatch ; 5456.08 ; 5456.08 ;
correctionTimer ; 139.921 ; 2.91503 ; setSolutionTimer ; 3.85056 ; 0.08022 ; cycleWatch ; 5366.13 ; 670.767 ; setupWatch ; 32.7693 ; 32.7693 ; restrictionTimer ; 209.423 ; 4.36297 ; preSmoothTimer ; 2167.25 ; 45.1511 ; upResidualTimer ; 369.435 ; 7.69656 ; postSmoothTimer ; 2142.17 ; 44.6285 ; commTimer ; 1965.87 ; 2.35715 ; timeToSolveWatch ; 5456.08 ; 5456.08 ;
correctionTimer ; 138.353 ; 2.88236 ; setSolutionTimer ; 4.40686 ; 0.0918096 ; cycleWatch ; 5358.29 ; 669.786 ; setupWatch ; 32.8821 ; 32.8821 ; restrictionTimer ; 215.499 ; 4.48956 ; preSmoothTimer ; 2161.47 ; 45.0306 ; upResidualTimer ; 368.446 ; 7.67595 ; postSmoothTimer ; 2136.08 ; 44.5016 ; commTimer ; 1974.45 ; 2.36745 ; timeToSolveWatch ; 5456.08 ; 5456.08 ;
