correctionTimer ; 234.335 ; 2.7897 ; setSolutionTimer ; 6.78908 ; 0.0808224 ; cycleWatch ; 4911.32 ; 350.809 ; setupWatch ; 38.2292 ; 38.2292 ; restrictionTimer ; 250.674 ; 2.98422 ; preSmoothTimer ; 1621 ; 19.2976 ; upResidualTimer ; 643.972 ; 7.66633 ; postSmoothTimer ; 1561.17 ; 18.5853 ; commTimer ; 1469.61 ; 1.5535 ; timeToSolveWatch ; 5087.53 ; 5087.53 ;
correctionTimer ; 236.261 ; 2.81263 ; setSolutionTimer ; 6.03245 ; 0.0718149 ; cycleWatch ; 4912.64 ; 350.903 ; setupWatch ; 42.9209 ; 42.9209 ; restrictionTimer ; 261.256 ; 3.11019 ; preSmoothTimer ; 1622.42 ; 19.3145 ; upResidualTimer ; 640.092 ; 7.62014 ; postSmoothTimer ; 1557.75 ; 18.5447 ; commTimer ; 1460.43 ; 1.5438 ; timeToSolveWatch ; 5087.01 ; 5087.01 ;
correctionTimer ; 238.746 ; 2.84221 ; setSolutionTimer ; 5.75631 ; 0.0685275 ; cycleWatch ; 4955.8 ; 353.986 ; setupWatch ; 43.6951 ; 43.6951 ; restrictionTimer ; 260.777 ; 3.10449 ; preSmoothTimer ; 1635.78 ; 19.4736 ; upResidualTimer ; 628.171 ; 7.47823 ; postSmoothTimer ; 1595 ; 18.9881 ; commTimer ; 1455.41 ; 1.53849 ; timeToSolveWatch ; 5087.01 ; 5087.01 ;
correctionTimer ; 240.536 ; 2.86352 ; setSolutionTimer ; 5.74327 ; 0.0683723 ; cycleWatch ; 4948.62 ; 353.473 ; setupWatch ; 41.4027 ; 41.4027 ; restrictionTimer ; 267.908 ; 3.18938 ; preSmoothTimer ; 1631.47 ; 19.4222 ; upResidualTimer ; 625.34 ; 7.44452 ; postSmoothTimer ; 1590.66 ; 18.9365 ; commTimer ; 1438.73 ; 1.52086 ; timeToSolveWatch ; 5087.01 ; 5087.01 ;
correctionTimer ; 238.591 ; 2.84037 ; setSolutionTimer ; 5.6806 ; 0.0676262 ; cycleWatch ; 4960.34 ; 354.31 ; setupWatch ; 43.0091 ; 43.0091 ; restrictionTimer ; 269.12 ; 3.2038 ; preSmoothTimer ; 1633.64 ; 19.4481 ; upResidualTimer ; 622.496 ; 7.41067 ; postSmoothTimer ; 1618.54 ; 19.2683 ; commTimer ; 1323.4 ; 1.39894 ; timeToSolveWatch ; 5087.01 ; 5087.01 ;
correctionTimer ; 240.399 ; 2.86189 ; setSolutionTimer ; 5.8063 ; 0.0691226 ; cycleWatch ; 4955.89 ; 353.992 ; setupWatch ; 41.2647 ; 41.2647 ; restrictionTimer ; 276.628 ; 3.29319 ; preSmoothTimer ; 1625.67 ; 19.3532 ; upResidualTimer ; 622.836 ; 7.41471 ; postSmoothTimer ; 1612.09 ; 19.1916 ; commTimer ; 1315.45 ; 1.39054 ; timeToSolveWatch ; 5087.01 ; 5087.01 ;
correctionTimer ; 238.597 ; 2.84044 ; setSolutionTimer ; 6.74154 ; 0.0802564 ; cycleWatch ; 4947.41 ; 353.386 ; setupWatch ; 43.805 ; 43.805 ; restrictionTimer ; 272.888 ; 3.24867 ; preSmoothTimer ; 1642.29 ; 19.5511 ; upResidualTimer ; 608.941 ; 7.2493 ; postSmoothTimer ; 1620.26 ; 19.2888 ; commTimer ; 1313.21 ; 1.38818 ; timeToSolveWatch ; 5087.01 ; 5087.01 ;
correctionTimer ; 240.495 ; 2.86304 ; setSolutionTimer ; 6.07433 ; 0.0723134 ; cycleWatch ; 4942.58 ; 353.042 ; setupWatch ; 38.869 ; 38.869 ; restrictionTimer ; 285.481 ; 3.39858 ; preSmoothTimer ; 1633.45 ; 19.4459 ; upResidualTimer ; 605.852 ; 7.21252 ; postSmoothTimer ; 1613.43 ; 19.2075 ; commTimer ; 1311.64 ; 1.38651 ; timeToSolveWatch ; 5087.01 ; 5087.01 ;
correctionTimer ; 238.677 ; 2.84139 ; setSolutionTimer ; 5.55601 ; 0.066143 ; cycleWatch ; 4957.07 ; 354.076 ; setupWatch ; 43.7277 ; 43.7277 ; restrictionTimer ; 267.522 ; 3.18478 ; preSmoothTimer ; 1638.57 ; 19.5067 ; upResidualTimer ; 619.125 ; 7.37054 ; postSmoothTimer ; 1622.75 ; 19.3184 ; commTimer ; 1324.73 ; 1.40035 ; timeToSolveWatch ; 5087.01 ; 5087.01 ;
correctionTimer ; 240.379 ; 2.86166 ; setSolutionTimer ; 5.65169 ; 0.067282 ; cycleWatch ; 4952.3 ; 353.736 ; setupWatch ; 41.3826 ; 41.3826 ; restrictionTimer ; 276.024 ; 3.286 ; preSmoothTimer ; 1629.71 ; 19.4013 ; upResidualTimer ; 619.393 ; 7.37373 ; postSmoothTimer ; 1616.43 ; 19.2432 ; commTimer ; 1317.62 ; 1.39284 ; timeToSolveWatch ; 5087.01 ; 5087.01 ;
correctionTimer ; 238.677 ; 2.8414 ; setSolutionTimer ; 7.28716 ; 0.0867519 ; cycleWatch ; 4941.67 ; 352.976 ; setupWatch ; 38.687 ; 38.687 ; restrictionTimer ; 270.438 ; 3.2195 ; preSmoothTimer ; 1655.44 ; 19.7076 ; upResidualTimer ; 597.364 ; 7.11148 ; postSmoothTimer ; 1612.79 ; 19.1999 ; commTimer ; 1318.36 ; 1.39362 ; timeToSolveWatch ; 5087.01 ; 5087.01 ;
correctionTimer ; 240.51 ; 2.86321 ; setSolutionTimer ; 5.92975 ; 0.0705923 ; cycleWatch ; 4937.23 ; 352.659 ; setupWatch ; 43.1493 ; 43.1493 ; restrictionTimer ; 277.622 ; 3.30503 ; preSmoothTimer ; 1645.21 ; 19.5858 ; upResidualTimer ; 601.754 ; 7.16374 ; postSmoothTimer ; 1607.44 ; 19.1361 ; commTimer ; 1302.32 ; 1.37666 ; timeToSolveWatch ; 5087.01 ; 5087.01 ;
correctionTimer ; 238.546 ; 2.83984 ; setSolutionTimer ; 5.76495 ; 0.0686303 ; cycleWatch ; 4950.12 ; 353.58 ; setupWatch ; 42.9094 ; 42.9094 ; restrictionTimer ; 268.133 ; 3.19206 ; preSmoothTimer ; 1639.9 ; 19.5226 ; upResidualTimer ; 616.54 ; 7.33976 ; postSmoothTimer ; 1617.2 ; 19.2523 ; commTimer ; 1294.56 ; 1.36846 ; timeToSolveWatch ; 5087.01 ; 5087.01 ;
correctionTimer ; 240.276 ; 2.86043 ; setSolutionTimer ; 5.84982 ; 0.0696407 ; cycleWatch ; 4944.08 ; 353.148 ; setupWatch ; 38.4651 ; 38.4651 ; restrictionTimer ; 276.251 ; 3.2887 ; preSmoothTimer ; 1631.4 ; 19.4215 ; upResidualTimer ; 616.824 ; 7.34314 ; postSmoothTimer ; 1610.43 ; 19.1718 ; commTimer ; 1290.36 ; 1.36402 ; timeToSolveWatch ; 5087.01 ; 5087.01 ;
correctionTimer ; 238.784 ; 2.84267 ; setSolutionTimer ; 6.96312 ; 0.0828943 ; cycleWatch ; 4949.01 ; 353.501 ; setupWatch ; 41.3867 ; 41.3867 ; restrictionTimer ; 271.275 ; 3.22946 ; preSmoothTimer ; 1636.52 ; 19.4823 ; upResidualTimer ; 615.546 ; 7.32793 ; postSmoothTimer ; 1614.91 ; 19.2252 ; commTimer ; 1297.84 ; 1.37192 ; timeToSolveWatch ; 5087.01 ; 5087.01 ;
correctionTimer ; 240.351 ; 2.86132 ; setSolutionTimer ; 6.15544 ; 0.073279 ; cycleWatch ; 4942.9 ; 353.065 ; setupWatch ; 43.7167 ; 43.7167 ; restrictionTimer ; 283.764 ; 3.37814 ; preSmoothTimer ; 1625.54 ; 19.3516 ; upResidualTimer ; 614.802 ; 7.31907 ; postSmoothTimer ; 1607.69 ; 19.1392 ; commTimer ; 1287.1 ; 1.36058 ; timeToSolveWatch ; 5087.01 ; 5087.01 ;
correctionTimer ; 238.628 ; 2.84081 ; setSolutionTimer ; 6.62079 ; 0.0788189 ; cycleWatch ; 4954.05 ; 353.861 ; setupWatch ; 43.6652 ; 43.6652 ; restrictionTimer ; 264.201 ; 3.14525 ; preSmoothTimer ; 1641.78 ; 19.545 ; upResidualTimer ; 618.033 ; 7.35754 ; postSmoothTimer ; 1619.01 ; 19.2739 ; commTimer ; 1301.43 ; 1.37572 ; timeToSolveWatch ; 5087.01 ; 5087.01 ;
correctionTimer ; 240.333 ; 2.86111 ; setSolutionTimer ; 5.86052 ; 0.0697681 ; cycleWatch ; 4947.24 ; 353.375 ; setupWatch ; 43.1032 ; 43.1032 ; restrictionTimer ; 277.042 ; 3.29812 ; preSmoothTimer ; 1634.7 ; 19.4607 ; upResidualTimer ; 613.06 ; 7.29833 ; postSmoothTimer ; 1610.53 ; 19.173 ; commTimer ; 1292.15 ; 1.36591 ; timeToSolveWatch ; 5087.01 ; 5087.01 ;
correctionTimer ; 238.66 ; 2.84119 ; setSolutionTimer ; 5.6765 ; 0.0675774 ; cycleWatch ; 4949.7 ; 353.55 ; setupWatch ; 38.6857 ; 38.6857 ; restrictionTimer ; 278.317 ; 3.3133 ; preSmoothTimer ; 1636.71 ; 19.4847 ; upResidualTimer ; 610.014 ; 7.26207 ; postSmoothTimer ; 1616.71 ; 19.2466 ; commTimer ; 1305.4 ; 1.37992 ; timeToSolveWatch ; 5087.01 ; 5087.01 ;
correctionTimer ; 240.399 ; 2.86189 ; setSolutionTimer ; 5.74975 ; 0.0684494 ; cycleWatch ; 4942.14 ; 353.01 ; setupWatch ; 41.7088 ; 41.7088 ; restrictionTimer ; 285.358 ; 3.39712 ; preSmoothTimer ; 1631.41 ; 19.4215 ; upResidualTimer ; 608.151 ; 7.23989 ; postSmoothTimer ; 1614.65 ; 19.2221 ; commTimer ; 1288.64 ; 1.3622 ; timeToSolveWatch ; 5087.01 ; 5087.01 ;
correctionTimer ; 238.546 ; 2.83983 ; setSolutionTimer ; 5.38949 ; 0.0641606 ; cycleWatch ; 4960.59 ; 354.328 ; setupWatch ; 38.398 ; 38.398 ; restrictionTimer ; 278.897 ; 3.3202 ; preSmoothTimer ; 1633.44 ; 19.4457 ; upResidualTimer ; 613.173 ; 7.29968 ; postSmoothTimer ; 1620.39 ; 19.2903 ; commTimer ; 1337.45 ; 1.41379 ; timeToSolveWatch ; 5087.01 ; 5087.01 ;
correctionTimer ; 240.34 ; 2.86119 ; setSolutionTimer ; 5.87963 ; 0.0699955 ; cycleWatch ; 4950.77 ; 353.627 ; setupWatch ; 43.7425 ; 43.7425 ; restrictionTimer ; 281.149 ; 3.34701 ; preSmoothTimer ; 1630.71 ; 19.4133 ; upResidualTimer ; 613.141 ; 7.29929 ; postSmoothTimer ; 1618.09 ; 19.263 ; commTimer ; 1310.53 ; 1.38534 ; timeToSolveWatch ; 5087.01 ; 5087.01 ;
correctionTimer ; 238.614 ; 2.84065 ; setSolutionTimer ; 6.41255 ; 0.0763399 ; cycleWatch ; 4941.7 ; 352.979 ; setupWatch ; 42.8487 ; 42.8487 ; restrictionTimer ; 276.168 ; 3.28772 ; preSmoothTimer ; 1634.23 ; 19.4552 ; upResidualTimer ; 614.003 ; 7.30955 ; postSmoothTimer ; 1608.73 ; 19.1515 ; commTimer ; 1311.8 ; 1.38668 ; timeToSolveWatch ; 5087.01 ; 5087.01 ;
correctionTimer ; 240.536 ; 2.86353 ; setSolutionTimer ; 6.38074 ; 0.0759612 ; cycleWatch ; 4938.54 ; 352.753 ; setupWatch ; 41.6128 ; 41.6128 ; restrictionTimer ; 285.79 ; 3.40226 ; preSmoothTimer ; 1628.06 ; 19.3816 ; upResidualTimer ; 610.534 ; 7.26826 ; postSmoothTimer ; 1605.35 ; 19.1113 ; commTimer ; 1307.73 ; 1.38237 ; timeToSolveWatch ; 5087.01 ; 5087.01 ;
correctionTimer ; 238.54 ; 2.83976 ; setSolutionTimer ; 5.43421 ; 0.064693 ; cycleWatch ; 4952.96 ; 353.783 ; setupWatch ; 41.1818 ; 41.1818 ; restrictionTimer ; 272.812 ; 3.24776 ; preSmoothTimer ; 1639.02 ; 19.5121 ; upResidualTimer ; 613.531 ; 7.30394 ; postSmoothTimer ; 1613 ; 19.2023 ; commTimer ; 1326.86 ; 1.4026 ; timeToSolveWatch ; 5087.01 ; 5087.01 ;
correctionTimer ; 240.392 ; 2.86181 ; setSolutionTimer ; 5.7061 ; 0.0679298 ; cycleWatch ; 4947.15 ; 353.368 ; setupWatch ; 43.105 ; 43.105 ; restrictionTimer ; 278.263 ; 3.31266 ; preSmoothTimer ; 1631.12 ; 19.4181 ; upResidualTimer ; 615.696 ; 7.32971 ; postSmoothTimer ; 1610 ; 19.1667 ; commTimer ; 1307.73 ; 1.38238 ; timeToSolveWatch ; 5087.01 ; 5087.01 ;
correctionTimer ; 238.723 ; 2.84194 ; setSolutionTimer ; 6.83484 ; 0.0813672 ; cycleWatch ; 4933.14 ; 352.367 ; setupWatch ; 38.7108 ; 38.7108 ; restrictionTimer ; 277.185 ; 3.29982 ; preSmoothTimer ; 1634.72 ; 19.4609 ; upResidualTimer ; 611.834 ; 7.28374 ; postSmoothTimer ; 1600.33 ; 19.0515 ; commTimer ; 1312.56 ; 1.38748 ; timeToSolveWatch ; 5087.01 ; 5087.01 ;
correctionTimer ; 240.47 ; 2.86273 ; setSolutionTimer ; 6.10807 ; 0.0727152 ; cycleWatch ; 4929.88 ; 352.135 ; setupWatch ; 43.7061 ; 43.7061 ; restrictionTimer ; 284.541 ; 3.38739 ; preSmoothTimer ; 1629.73 ; 19.4015 ; upResidualTimer ; 610.159 ; 7.26379 ; postSmoothTimer ; 1596.51 ; 19.0061 ; commTimer ; 1299.27 ; 1.37343 ; timeToSolveWatch ; 5087.01 ; 5087.01 ;
correctionTimer ; 238.687 ; 2.84151 ; setSolutionTimer ; 5.55122 ; 0.066086 ; cycleWatch ; 4939.2 ; 352.8 ; setupWatch ; 43.7123 ; 43.7123 ; restrictionTimer ; 263.425 ; 3.13601 ; preSmoothTimer ; 1633.55 ; 19.447 ; upResidualTimer ; 627.814 ; 7.47397 ; postSmoothTimer ; 1592.51 ; 18.9585 ; commTimer ; 1362.02 ; 1.43977 ; timeToSolveWatch ; 5087.01 ; 5087.01 ;
correctionTimer ; 240.567 ; 2.86389 ; setSolutionTimer ; 5.52287 ; 0.0657484 ; cycleWatch ; 4934.97 ; 352.498 ; setupWatch ; 38.3691 ; 38.3691 ; restrictionTimer ; 271.725 ; 3.23482 ; preSmoothTimer ; 1623.87 ; 19.3318 ; upResidualTimer ; 629.134 ; 7.48969 ; postSmoothTimer ; 1587.33 ; 18.8967 ; commTimer ; 1353.86 ; 1.43114 ; timeToSolveWatch ; 5087.01 ; 5087.01 ;
correctionTimer ; 234.302 ; 2.78931 ; setSolutionTimer ; 6.73317 ; 0.0801567 ; cycleWatch ; 4917.17 ; 351.227 ; setupWatch ; 41.3688 ; 41.3688 ; restrictionTimer ; 266.789 ; 3.17606 ; preSmoothTimer ; 1618.38 ; 19.2664 ; upResidualTimer ; 638.055 ; 7.59589 ; postSmoothTimer ; 1573.71 ; 18.7346 ; commTimer ; 1388.58 ; 1.46784 ; timeToSolveWatch ; 5087.01 ; 5087.01 ;
correctionTimer ; 236.258 ; 2.81259 ; setSolutionTimer ; 5.88626 ; 0.0700746 ; cycleWatch ; 4914.32 ; 351.023 ; setupWatch ; 42.994 ; 42.994 ; restrictionTimer ; 273.732 ; 3.25872 ; preSmoothTimer ; 1612.95 ; 19.2017 ; upResidualTimer ; 637.365 ; 7.58768 ; postSmoothTimer ; 1571.41 ; 18.7072 ; commTimer ; 1378.35 ; 1.45703 ; timeToSolveWatch ; 5087.01 ; 5087.01 ;
correctionTimer ; 259.458 ; 3.08879 ; setSolutionTimer ; 7.2692 ; 0.0865381 ; cycleWatch ; 4936.88 ; 352.634 ; setupWatch ; 42.7833 ; 42.7833 ; restrictionTimer ; 238.062 ; 2.83407 ; preSmoothTimer ; 1640.37 ; 19.5282 ; upResidualTimer ; 644.544 ; 7.67315 ; postSmoothTimer ; 1553.55 ; 18.4946 ; commTimer ; 1295.12 ; 1.36905 ; timeToSolveWatch ; 5087.01 ; 5087.01 ;
correctionTimer ; 261.462 ; 3.11265 ; setSolutionTimer ; 7.35 ; 0.0875 ; cycleWatch ; 4933.04 ; 352.36 ; setupWatch ; 43.7405 ; 43.7405 ; restrictionTimer ; 243.846 ; 2.90293 ; preSmoothTimer ; 1635.54 ; 19.4708 ; upResidualTimer ; 643.497 ; 7.66068 ; postSmoothTimer ; 1552.02 ; 18.4764 ; commTimer ; 1283.28 ; 1.35653 ; timeToSolveWatch ; 5087.01 ; 5087.01 ;
correctionTimer ; 264.133 ; 3.14444 ; setSolutionTimer ; 6.82231 ; 0.081218 ; cycleWatch ; 4966.82 ; 354.773 ; setupWatch ; 41.5994 ; 41.5994 ; restrictionTimer ; 250.457 ; 2.98163 ; preSmoothTimer ; 1650.08 ; 19.6439 ; upResidualTimer ; 623.494 ; 7.42255 ; postSmoothTimer ; 1594.87 ; 18.9865 ; commTimer ; 1284.53 ; 1.35785 ; timeToSolveWatch ; 5087.01 ; 5087.01 ;
correctionTimer ; 266.161 ; 3.16858 ; setSolutionTimer ; 6.84377 ; 0.0814734 ; cycleWatch ; 4959.94 ; 354.281 ; setupWatch ; 38.7902 ; 38.7902 ; restrictionTimer ; 257.882 ; 3.07003 ; preSmoothTimer ; 1645.79 ; 19.5927 ; upResidualTimer ; 620.352 ; 7.38515 ; postSmoothTimer ; 1588.93 ; 18.9159 ; commTimer ; 1274.98 ; 1.34776 ; timeToSolveWatch ; 5087.01 ; 5087.01 ;
correctionTimer ; 264.091 ; 3.14394 ; setSolutionTimer ; 6.57636 ; 0.07829 ; cycleWatch ; 4980.66 ; 355.761 ; setupWatch ; 42.7775 ; 42.7775 ; restrictionTimer ; 265.265 ; 3.15792 ; preSmoothTimer ; 1651.54 ; 19.6612 ; upResidualTimer ; 607.965 ; 7.23768 ; postSmoothTimer ; 1626.33 ; 19.3611 ; commTimer ; 1133.79 ; 1.19851 ; timeToSolveWatch ; 5087.01 ; 5087.01 ;
correctionTimer ; 266.092 ; 3.16776 ; setSolutionTimer ; 6.62007 ; 0.0788104 ; cycleWatch ; 4974.5 ; 355.322 ; setupWatch ; 38.5585 ; 38.5585 ; restrictionTimer ; 269.288 ; 3.2058 ; preSmoothTimer ; 1644.19 ; 19.5737 ; upResidualTimer ; 611.265 ; 7.27697 ; postSmoothTimer ; 1619.43 ; 19.279 ; commTimer ; 1127.43 ; 1.19178 ; timeToSolveWatch ; 5087.01 ; 5087.01 ;
correctionTimer ; 264.181 ; 3.14502 ; setSolutionTimer ; 6.68918 ; 0.0796331 ; cycleWatch ; 4970.5 ; 355.036 ; setupWatch ; 41.2685 ; 41.2685 ; restrictionTimer ; 272.612 ; 3.24538 ; preSmoothTimer ; 1646.88 ; 19.6057 ; upResidualTimer ; 605.153 ; 7.2042 ; postSmoothTimer ; 1622.28 ; 19.3128 ; commTimer ; 1125.3 ; 1.18954 ; timeToSolveWatch ; 5087.01 ; 5087.01 ;
correctionTimer ; 266.36 ; 3.17096 ; setSolutionTimer ; 7.24771 ; 0.0862823 ; cycleWatch ; 4968.6 ; 354.9 ; setupWatch ; 43.703 ; 43.703 ; restrictionTimer ; 271.832 ; 3.23609 ; preSmoothTimer ; 1647.44 ; 19.6123 ; upResidualTimer ; 604.801 ; 7.20002 ; postSmoothTimer ; 1616.99 ; 19.2499 ; commTimer ; 1115.83 ; 1.17952 ; timeToSolveWatch ; 5087.01 ; 5087.01 ;
